                    	simple_wmemchr	__wmemchr_avx2	__wmemchr_avx2_rtm	__wmemchr_evex	__wmemchr_evex_rtm	__wmemchr_sse2
Length    5, position    6, alignment  6:	5.33313	2.22305	4.15016	2.22253	2.22231	3.55693
Length    5, position    6, alignment  6:	5.36406	2.22253	4.44431	2.2224	2.26585	3.55681
Length    8, position    7, alignment  0:	8.93373	2.2233	4.0007	2.22253	2.31166	3.87263
Length    8, position    7, alignment  0:	9.681	2.22266	4.44431	2.22246	2.25873	3.55623
Length    8, position    7, alignment  7:	8.92998	2.22311	4.44434	2.22244	2.22244	4.09451
Length    8, position    7, alignment  7:	8.93524	2.22252	4.44438	2.22247	2.22246	4.09421
Length    6, position    7, alignment  0:	8.46158	2.25815	4.44441	2.22244	2.2224	3.59906
Length    6, position    7, alignment  0:	9.82129	2.22333	4.44431	2.22243	2.22246	3.59619
Length    6, position    7, alignment  7:	9.81091	2.22333	4.00047	2.2225	2.2224	4.58107
Length    6, position    7, alignment  7:	9.82657	2.2225	4.00056	2.22235	2.22235	4.92648
Length    9, position    8, alignment  0:	12.6707	4.57239	5.44669	4.57207	4.57227	5.73293
Length    9, position    8, alignment  0:	12.0434	4.5724	4.94754	4.57172	4.57187	5.73178
Length    9, position    8, alignment  0:	12.0445	4.57214	5.42041	4.57172	4.61781	5.20641
Length    9, position    8, alignment  0:	11.6924	4.4142	4.82693	3.95926	3.95428	4.96776
Length    7, position    8, alignment  0:	7.48401	2.62491	4.13034	2.58107	2.58127	4.02513
Length    7, position    8, alignment  0:	7.03029	2.42506	4.88841	2.42458	2.42459	3.91653
Length    7, position    8, alignment  0:	7.03009	2.42508	4.6373	2.4247	2.42456	3.88016
Length    7, position    8, alignment  0:	7.0797	2.42508	4.46532	2.42468	2.4245	3.88007
Length   10, position    9, alignment  0:	11.3734	3.59569	5.0994	4.57159	4.60898	5.41597
Length   10, position    9, alignment  0:	14.3252	4.60713	5.71555	4.61301	4.57166	5.20584
Length   10, position    9, alignment  1:	14.3785	4.57156	4.647	4.60951	4.57135	5.20572
Length   10, position    9, alignment  1:	14.3753	4.5351	6.03479	4.45155	4.30232	4.54749
Length    8, position    9, alignment  0:	8.60611	2.22256	4.47755	2.22243	2.22249	3.71597
Length    8, position    9, alignment  0:	9.33852	2.42464	4.86972	2.42461	2.42462	3.91843
Length    8, position    9, alignment  1:	9.21198	2.45621	4.84854	2.4247	2.4245	5.18163
Length    8, position    9, alignment  1:	9.38506	2.58112	4.64592	2.58121	2.61806	5.16339
