                       	strtok	oldstrtok
Length  135/15, alignment  3/ 3, fail:	32.5469	60.5703
Length  135/15, alignment  3/ 9, found:	29.6016	64.8203
Length  135/15, alignment  3/ 9, fail:	32.2656	60.5312
Length  135/15, alignment  3/15, found:	29.625	64.9766
Length  135/15, alignment  3/15, fail:	32.25	60.5469
Length  135/15, alignment  9/ 0, found:	28.5703	65.0078
Length  135/15, alignment  9/ 0, fail:	28.2188	60.5547
Length  135/15, alignment  9/ 3, found:	30.2656	63.4922
Length  135/15, alignment  9/ 3, fail:	31.5625	60.5
Length  135/15, alignment  9/ 9, found:	33.3125	63.0781
Length  135/15, alignment  9/ 9, fail:	31.1953	60.4688
Length  135/15, alignment  9/15, found:	33.3672	63.0156
Length  135/15, alignment  9/15, fail:	31.1406	60.6172
Length  135/15, alignment 15/ 0, found:	28.6562	66.4141
Length  135/15, alignment 15/ 0, fail:	28.3906	60.5938
Length  135/15, alignment 15/ 3, found:	30.2188	66.1875
Length  135/15, alignment 15/ 3, fail:	32.625	60.5078
Length  135/15, alignment 15/ 9, found:	33.3906	66.0312
Length  135/15, alignment 15/ 9, fail:	31.8828	60.5938
Length  135/15, alignment 15/15, found:	33.25	65.9453
Length  135/15, alignment 15/15, fail:	31.7422	60.4766
Length  150/15, alignment  0/ 0, found:	29.5859	64.3203
Length  150/15, alignment  0/ 0, fail:	27.2266	57.8594
Length  150/15, alignment  0/ 3, found:	31.1797	64.3828
Length  150/15, alignment  0/ 3, fail:	31.5	57.9141
Length  150/15, alignment  0/ 9, found:	31.2109	64.25
Length  150/15, alignment  0/ 9, fail:	31.4609	57.9141
Length  150/15, alignment  0/15, found:	30.6094	64.1875
Length  150/15, alignment  0/15, fail:	31.6016	57.8281
Length  150/15, alignment  3/ 0, found:	30.7578	66.4062
Length  150/15, alignment  3/ 0, fail:	27.5156	60.625
Length  150/15, alignment  3/ 3, found:	28.7109	66.2031
Length  150/15, alignment  3/ 3, fail:	31.9766	60.6562
Length  150/15, alignment  3/ 9, found:	29.75	66.0156
Length  150/15, alignment  3/ 9, fail:	30.6953	60.4922
Length  150/15, alignment  3/15, found:	32.1328	66.0078
Length  150/15, alignment  3/15, fail:	30.3438	60.625
Length  150/15, alignment  9/ 0, found:	30.6562	66.3828
Length  150/15, alignment  9/ 0, fail:	27.1719	60.5938
Length  150/15, alignment  9/ 3, found:	31.5781	65.8594
Length  150/15, alignment  9/ 3, fail:	30.6875	60.5547
Length  150/15, alignment  9/ 9, found:	31.8438	65.8984
Length  150/15, alignment  9/ 9, fail:	30.5469	60.4922
Length  150/15, alignment  9/15, found:	31.9922	65.8594
Length  150/15, alignment  9/15, fail:	30.5781	60.4844
Length  150/15, alignment 15/ 0, found:	29.5078	66.875
Length  150/15, alignment 15/ 0, fail:	27.2188	60.6641
Length  150/15, alignment 15/ 3, found:	30.8906	67.0781
Length  150/15, alignment 15/ 3, fail:	30.7891	60.5078
Length  150/15, alignment 15/ 9, found:	31.2031	67
Length  150/15, alignment 15/ 9, fail:	30.6719	60.5234
Length  150/15, alignment 15/15, found:	30.8047	66.9141
Length  150/15, alignment 15/15, fail:	30.6641	60.5547
Length  165/15, alignment  0/ 0, found:	27.5391	64.9766
Length  165/15, alignment  0/ 0, fail:	25.9844	57.8906
Length  165/15, alignment  0/ 3, found:	30.7188	65.125
Length  165/15, alignment  0/ 3, fail:	30.4609	57.8438
Length  165/15, alignment  0/ 9, found:	30.8594	64.7344
Length  165/15, alignment  0/ 9, fail:	30.3203	57.9844
Length  165/15, alignment  0/15, found:	31.0156	64.7266
Length  165/15, alignment  0/15, fail:	30.25	57.7891
Length  165/15, alignment  3/ 0, found:	29.2734	66.8594
Length  165/15, alignment  3/ 0, fail:	38.4297	60.6328
Length  165/15, alignment  3/ 3, found:	30.6953	67.0078
Length  165/15, alignment  3/ 3, fail:	30.0078	60.6562
Length  165/15, alignment  3/ 9, found:	31.6328	66.9922
Length  165/15, alignment  3/ 9, fail:	29.5859	60.5391
Length  165/15, alignment  3/15, found:	30.4609	67.0078
Length  165/15, alignment  3/15, fail:	29.5859	60.7109
Length  165/15, alignment  9/ 0, found:	29.3672	66.8672
Length  165/15, alignment  9/ 0, fail:	25.8516	60.6172
Length  165/15, alignment  9/ 3, found:	31.0547	66.8281
Length  165/15, alignment  9/ 3, fail:	29.3906	60.5938
Length  165/15, alignment  9/ 9, found:	30.8906	66.8984
Length  165/15, alignment  9/ 9, fail:	29.5	60.4453
Length  165/15, alignment  9/15, found:	30.5234	66.8984
Length  165/15, alignment  9/15, fail:	29.375	60.4688
Length  165/15, alignment 15/ 0, found:	30.0234	69.0391
Length  165/15, alignment 15/ 0, fail:	25.9844	60.6406
Length  165/15, alignment 15/ 3, found:	32.1641	69.5469
Length  165/15, alignment 15/ 3, fail:	29.8516	60.6016
Length  165/15, alignment 15/ 9, found:	31.8516	69.5
Length  165/15, alignment 15/ 9, fail:	29.9453	60.5156
Length  165/15, alignment 15/15, found:	32.1484	69.4297
Length  165/15, alignment 15/15, fail:	30.1016	60.5547
Length  180/15, alignment  0/ 0, found:	29.9609	65.4922
Length  180/15, alignment  0/ 0, fail:	25.9375	57.9844
Length  180/15, alignment  0/ 3, found:	31.7656	65.9375
Length  180/15, alignment  0/ 3, fail:	30.9297	57.8281
Length  180/15, alignment  0/ 9, found:	31.5	65.8594
Length  180/15, alignment  0/ 9, fail:	30.3203	58.4141
Length  180/15, alignment  0/15, found:	31.1094	65.7656
Length  180/15, alignment  0/15, fail:	30.4453	57.8438
Length  180/15, alignment  3/ 0, found:	30.2422	69.1406
Length  180/15, alignment  3/ 0, fail:	27.1797	60.7188
Length  180/15, alignment  3/ 3, found:	31.7812	69.4766
Length  180/15, alignment  3/ 3, fail:	31.0938	60.5781
Length  180/15, alignment  3/ 9, found:	31.7578	69.4766
Length  180/15, alignment  3/ 9, fail:	30.5625	60.4844
Length  180/15, alignment  3/15, found:	31.7031	69.4844
Length  180/15, alignment  3/15, fail:	30.0938	60.5547
Length  180/15, alignment  9/ 0, found:	30.0391	69.1406
Length  180/15, alignment  9/ 0, fail:	27.0312	60.6016
Length  180/15, alignment  9/ 3, found:	31.7344	69.4062
Length  180/15, alignment  9/ 3, fail:	30.6953	60.5
Length  180/15, alignment  9/ 9, found:	31.5	69.5
Length  180/15, alignment  9/ 9, fail:	30.6562	60.5
Length  180/15, alignment  9/15, found:	31.4922	69.3906
Length  180/15, alignment  9/15, fail:	30.5312	60.5078
Length  180/15, alignment 15/ 0, found:	31.4297	72.6328
Length  180/15, alignment 15/ 0, fail:	27.2969	60.5156
Length  180/15, alignment 15/ 3, found:	33.9922	72.2344
Length  180/15, alignment 15/ 3, fail:	31.3125	60.5938
Length  180/15, alignment 15/ 9, found:	33.625	71.8125
Length  180/15, alignment 15/ 9, fail:	30.7109	60.5234
Length  180/15, alignment 15/15, found:	33.7109	71.9453
Length  180/15, alignment 15/15, fail:	30.7812	60.4922
Length  195/15, alignment  0/ 0, found:	47.3984	70.8125
Length  195/15, alignment  0/ 0, fail:	25.8828	58.0703
Length  195/15, alignment  0/ 3, found:	33.3281	70.5859
Length  195/15, alignment  0/ 3, fail:	28.9062	57.9688
Length  195/15, alignment  0/ 9, found:	31.7969	70.2266
Length  195/15, alignment  0/ 9, fail:	29.7734	58.0938
Length  195/15, alignment  0/15, found:	31.8047	70.2969
Length  195/15, alignment  0/15, fail:	30.2109	57.875
Length  195/15, alignment  3/ 0, found:	30.7422	72.5391
Length  195/15, alignment  3/ 0, fail:	27.1797	60.6875
Length  195/15, alignment  3/ 3, found:	32.2188	71.8438
Length  195/15, alignment  3/ 3, fail:	30.7109	60.6641
Length  195/15, alignment  3/ 9, found:	32.2344	71.8672
Length  195/15, alignment  3/ 9, fail:	30.6562	60.5312
Length  195/15, alignment  3/15, found:	32.1172	71.8203
Length  195/15, alignment  3/15, fail:	30.6328	60.5625
Length  195/15, alignment  9/ 0, found:	30.6875	72.6406
Length  195/15, alignment  9/ 0, fail:	27.1328	60.5859
Length  195/15, alignment  9/ 3, found:	32.375	71.9453
Length  195/15, alignment  9/ 3, fail:	31.0312	60.4844
Length  195/15, alignment  9/ 9, found:	32.5391	71.9297
Length  195/15, alignment  9/ 9, fail:	30.6797	60.4375
Length  195/15, alignment  9/15, found:	31.6719	71.9844
Length  195/15, alignment  9/15, fail:	30.5703	60.5312
Length  195/15, alignment 15/ 0, found:	31.6094	73.5
Length  195/15, alignment 15/ 0, fail:	27.1484	60.5859
Length  195/15, alignment 15/ 3, found:	32.9609	73.3438
Length  195/15, alignment 15/ 3, fail:	30.9688	60.6641
Length  195/15, alignment 15/ 9, found:	33.4766	73.2031
Length  195/15, alignment 15/ 9, fail:	31.1094	60.5703
Length  195/15, alignment 15/15, found:	33.0156	73
Length  195/15, alignment 15/15, fail:	31.1094	60.6641
Length  210/15, alignment  0/ 0, found:	33.2422	71.4453
Length  210/15, alignment  0/ 0, fail:	25.8516	58.0703
Length  210/15, alignment  0/ 3, found:	33.3203	71.3125
Length  210/15, alignment  0/ 3, fail:	30.7422	57.9688
Length  210/15, alignment  0/ 9, found:	32.2969	71.2422
Length  210/15, alignment  0/ 9, fail:	30.1875	57.7656
Length  210/15, alignment  0/15, found:	34.125	71.4531
Length  210/15, alignment  0/15, fail:	29.9609	57.8672
Length  210/15, alignment  3/ 0, found:	31.2812	73.375
Length  210/15, alignment  3/ 0, fail:	27.125	60.6172
Length  210/15, alignment  3/ 3, found:	32.9219	72.9844
Length  210/15, alignment  3/ 3, fail:	31.4609	60.6562
Length  210/15, alignment  3/ 9, found:	33.2969	73.1094
Length  210/15, alignment  3/ 9, fail:	31.3594	60.6406
Length  210/15, alignment  3/15, found:	32.8672	73
Length  210/15, alignment  3/15, fail:	31.2188	60.4297
Length  210/15, alignment  9/ 0, found:	30.7031	73.3984
Length  210/15, alignment  9/ 0, fail:	26.6016	60.6094
Length  210/15, alignment  9/ 3, found:	32.7266	73.0547
Length  210/15, alignment  9/ 3, fail:	30.5859	60.5156
Length  210/15, alignment  9/ 9, found:	32.8359	72.9922
Length  210/15, alignment  9/ 9, fail:	30.1328	60.4766
Length  210/15, alignment  9/15, found:	47.3125	72.9922
Length  210/15, alignment  9/15, fail:	30.5391	60.6172
Length  210/15, alignment 15/ 0, found:	33.3828	74.5391
Length  210/15, alignment 15/ 0, fail:	26.75	60.6172
Length  210/15, alignment 15/ 3, found:	33.6484	74.8281
Length  210/15, alignment 15/ 3, fail:	31	60.6797
Length  210/15, alignment 15/ 9, found:	34.9531	74.5156
Length  210/15, alignment 15/ 9, fail:	31.2656	60.5156
Length  210/15, alignment 15/15, found:	34.5078	74.3203
Length  210/15, alignment 15/15, fail:	31.375	60.5703
Length  225/15, alignment  0/ 0, found:	33.5469	72.4688
Length  225/15, alignment  0/ 0, fail:	26.0859	58.0781
Length  225/15, alignment  0/ 3, found:	34.2031	72.3203
Length  225/15, alignment  0/ 3, fail:	30.6797	58
Length  225/15, alignment  0/ 9, found:	33.7344	71.7969
Length  225/15, alignment  0/ 9, fail:	30.2344	57.9531
Length  225/15, alignment  0/15, found:	35.9453	71.7734
Length  225/15, alignment  0/15, fail:	30.3281	57.8984
Length  225/15, alignment  3/ 0, found:	33.75	74.2031
Length  225/15, alignment  3/ 0, fail:	27.3203	60.6719
Length  225/15, alignment  3/ 3, found:	35.5547	74.8984
Length  225/15, alignment  3/ 3, fail:	31.5312	60.7188
Length  225/15, alignment  3/ 9, found:	35.2031	74.4375
Length  225/15, alignment  3/ 9, fail:	30.6953	60.6172
Length  225/15, alignment  3/15, found:	35.1094	74.4219
Length  225/15, alignment  3/15, fail:	30.3594	60.5625
Length  225/15, alignment  9/ 0, found:	33.8203	74.125
Length  225/15, alignment  9/ 0, fail:	27.1172	60.7734
Length  225/15, alignment  9/ 3, found:	35.1562	74.5469
Length  225/15, alignment  9/ 3, fail:	30.6797	60.6094
Length  225/15, alignment  9/ 9, found:	35.3125	74.5391
Length  225/15, alignment  9/ 9, fail:	30.5703	60.5703
Length  225/15, alignment  9/15, found:	35.2812	74.3203
Length  225/15, alignment  9/15, fail:	30.5312	60.5703
Length  225/15, alignment 15/ 0, found:	34.375	75.2109
Length  225/15, alignment 15/ 0, fail:	27.1328	60.6406
Length  225/15, alignment 15/ 3, found:	35.6797	73.8047
Length  225/15, alignment 15/ 3, fail:	30.4766	60.5156
Length  225/15, alignment 15/ 9, found:	35.4531	73.3906
Length  225/15, alignment 15/ 9, fail:	30.0156	60.4297
Length  225/15, alignment 15/15, found:	35.2031	73.4766
Length  225/15, alignment 15/15, fail:	30.1328	60.5703
Length   32/16, alignment  0/ 0, found:	21.6484	48.1094
Length   32/16, alignment  0/ 0, fail:	21.2578	47.7109
Length   32/16, alignment  0/ 3, found:	21.7812	48.0469
Length   32/16, alignment  0/ 3, fail:	20.3125	47.7578
Length   32/16, alignment  0/ 9, found:	21.4219	47.5469
Length   32/16, alignment  0/ 9, fail:	22.0078	47.5234
Length   32/16, alignment  0/15, found:	22.0234	47.5547
Length   32/16, alignment  0/15, fail:	20.9922	47.6484
Length   32/16, alignment  3/ 0, found:	22.3125	51.4141
Length   32/16, alignment  3/ 0, fail:	21.9375	51.1094
Length   32/16, alignment  3/ 3, found:	22.4844	51.2109
Length   32/16, alignment  3/ 3, fail:	20.6719	51.3984
Length   32/16, alignment  3/ 9, found:	22.1875	51.1719
Length   32/16, alignment  3/ 9, fail:	21.0547	51.1016
Length   32/16, alignment  3/15, found:	21.6094	65.8984
Length   32/16, alignment  3/15, fail:	23.1406	51.125
Length   32/16, alignment  9/ 0, found:	22.3203	50.8828
Length   32/16, alignment  9/ 0, fail:	22.875	50.6875
Length   32/16, alignment  9/ 3, found:	23.3828	51.1562
Length   32/16, alignment  9/ 3, fail:	22.8359	51.1328
Length   32/16, alignment  9/ 9, found:	22.8047	51.1484
Length   32/16, alignment  9/ 9, fail:	22.6406	51.1797
Length   32/16, alignment  9/15, found:	22.625	51.2188
Length   32/16, alignment  9/15, fail:	22.6094	51.1719
Length   32/16, alignment 15/ 0, found:	23.4141	50.6641
Length   32/16, alignment 15/ 0, fail:	22.4141	50.8125
Length   32/16, alignment 15/ 3, found:	23.2188	51.0859
Length   32/16, alignment 15/ 3, fail:	24.3516	51.1719
Length   32/16, alignment 15/ 9, found:	24.3359	51.1641
Length   32/16, alignment 15/ 9, fail:	24.3594	51.1172
Length   32/16, alignment 15/15, found:	24.3438	51.125
Length   32/16, alignment 15/15, fail:	23.7812	51.1016
Length   48/16, alignment  0/ 0, found:	26.6094	48.8125
Length   48/16, alignment  0/ 0, fail:	25.9219	48.3828
Length   48/16, alignment  0/ 3, found:	25.1406	48.7266
Length   48/16, alignment  0/ 3, fail:	26.2344	48.3828
Length   48/16, alignment  0/ 9, found:	25.9453	48.2656
Length   48/16, alignment  0/ 9, fail:	26.8203	48.1797
Length   48/16, alignment  0/15, found:	25.7969	48.2656
Length   48/16, alignment  0/15, fail:	26.1328	48.2109
Length   48/16, alignment  3/ 0, found:	23.4062	55.4844
Length   48/16, alignment  3/ 0, fail:	22.7344	54.9766
Length   48/16, alignment  3/ 3, found:	24.8594	55.1719
Length   48/16, alignment  3/ 3, fail:	24.9219	54.9609
Length   48/16, alignment  3/ 9, found:	25.2656	54.9219
Length   48/16, alignment  3/ 9, fail:	24.8359	54.7969
Length   48/16, alignment  3/15, found:	24.6328	54.9219
Length   48/16, alignment  3/15, fail:	25.0156	54.7812
Length   48/16, alignment  9/ 0, found:	24.5703	54.7656
Length   48/16, alignment  9/ 0, fail:	24.3672	54.8125
Length   48/16, alignment  9/ 3, found:	25.2188	54.8125
Length   48/16, alignment  9/ 3, fail:	24.4062	54.8047
Length   48/16, alignment  9/ 9, found:	24.7344	54.7578
Length   48/16, alignment  9/ 9, fail:	24.3984	54.8203
Length   48/16, alignment  9/15, found:	25.0781	54.7656
Length   48/16, alignment  9/15, fail:	24.9609	54.7891
Length   48/16, alignment 15/ 0, found:	24.0625	54.8359
Length   48/16, alignment 15/ 0, fail:	23.9141	54.8125
Length   48/16, alignment 15/ 3, found:	24.9375	54.7891
Length   48/16, alignment 15/ 3, fail:	24.6953	54.7578
Length   48/16, alignment 15/ 9, found:	24.7578	54.8906
Length   48/16, alignment 15/ 9, fail:	24.8516	54.8438
Length   48/16, alignment 15/15, found:	24.9141	54.7969
Length   48/16, alignment 15/15, fail:	24.9922	54.7812
Length   64/16, alignment  0/ 0, found:	27.1562	53.1797
Length   64/16, alignment  0/ 0, fail:	26.8516	52.8516
Length   64/16, alignment  0/ 3, found:	26.8906	53.9219
Length   64/16, alignment  0/ 3, fail:	27.4922	53.4219
Length   64/16, alignment  0/ 9, found:	27.0703	53.3281
Length   64/16, alignment  0/ 9, fail:	27.2031	53.2109
Length   64/16, alignment  0/15, found:	27.2422	53.25
Length   64/16, alignment  0/15, fail:	27.1562	53.1641
Length   64/16, alignment  3/ 0, found:	27.6641	58.0391
Length   64/16, alignment  3/ 0, fail:	27.3047	57.8906
Length   64/16, alignment  3/ 3, found:	28.0234	58.3281
Length   64/16, alignment  3/ 3, fail:	26.9219	58.0547
Length   64/16, alignment  3/ 9, found:	27.625	57.9609
Length   64/16, alignment  3/ 9, fail:	26.8516	57.8672
Length   64/16, alignment  3/15, found:	27.4766	57.8594
Length   64/16, alignment  3/15, fail:	26.9219	57.9375
Length   64/16, alignment  9/ 0, found:	26.2188	57.75
Length   64/16, alignment  9/ 0, fail:	25.4688	57.5859
Length   64/16, alignment  9/ 3, found:	25.9844	57.8281
Length   64/16, alignment  9/ 3, fail:	25.5625	57.8125
Length   64/16, alignment  9/ 9, found:	25.5312	57.8672
Length   64/16, alignment  9/ 9, fail:	25.5391	57.8438
Length   64/16, alignment  9/15, found:	25.5156	57.8359
Length   64/16, alignment  9/15, fail:	25.5469	57.8516
Length   64/16, alignment 15/ 0, found:	25.1953	57.6094
Length   64/16, alignment 15/ 0, fail:	25.0312	57.6094
Length   64/16, alignment 15/ 3, found:	25.2422	57.7812
Length   64/16, alignment 15/ 3, fail:	25.6016	57.875
Length   64/16, alignment 15/ 9, found:	25.2812	57.8672
Length   64/16, alignment 15/ 9, fail:	25.7812	57.875
Length   64/16, alignment 15/15, found:	26.2891	57.8047
Length   64/16, alignment 15/15, fail:	25.5938	57.8438
Length   80/16, alignment  0/ 0, found:	28.0547	54.6641
Length   80/16, alignment  0/ 0, fail:	28.2734	54.1172
Length   80/16, alignment  0/ 3, found:	28.6641	54.2656
Length   80/16, alignment  0/ 3, fail:	29.2812	54.2656
Length   80/16, alignment  0/ 9, found:	29.2188	54.0078
Length   80/16, alignment  0/ 9, fail:	29.6953	54.0078
Length   80/16, alignment  0/15, found:	29.2578	54.0156
Length   80/16, alignment  0/15, fail:	29.0469	54.0312
Length   80/16, alignment  3/ 0, found:	26.875	58.9531
Length   80/16, alignment  3/ 0, fail:	26.7266	58.7422
Length   80/16, alignment  3/ 3, found:	27.2266	58.9062
Length   80/16, alignment  3/ 3, fail:	27.375	59.0078
Length   80/16, alignment  3/ 9, found:	27.0547	58.8438
Length   80/16, alignment  3/ 9, fail:	27.0156	58.7969
Length   80/16, alignment  3/15, found:	27.0078	58.7969
Length   80/16, alignment  3/15, fail:	27.0391	58.7344
Length   80/16, alignment  9/ 0, found:	25.9922	58.4531
Length   80/16, alignment  9/ 0, fail:	26.6328	58.3906
Length   80/16, alignment  9/ 3, found:	27.0625	58.8359
Length   80/16, alignment  9/ 3, fail:	27.0469	58.75
Length   80/16, alignment  9/ 9, found:	26.4219	58.8125
Length   80/16, alignment  9/ 9, fail:	26.6484	58.7578
Length   80/16, alignment  9/15, found:	26.4375	58.7578
Length   80/16, alignment  9/15, fail:	26.4766	58.7812
Length   80/16, alignment 15/ 0, found:	26.6953	58.4531
Length   80/16, alignment 15/ 0, fail:	26.6172	58.4688
Length   80/16, alignment 15/ 3, found:	26.7656	58.7266
Length   80/16, alignment 15/ 3, fail:	27.0156	58.7422
Length   80/16, alignment 15/ 9, found:	26.6875	58.75
Length   80/16, alignment 15/ 9, fail:	27.125	58.7969
Length   80/16, alignment 15/15, found:	27.0703	58.7656
Length   80/16, alignment 15/15, fail:	27.3125	58.8281
Length   96/16, alignment  0/ 0, found:	29.7344	55.0703
Length   96/16, alignment  0/ 0, fail:	25.8516	54.7812
Length   96/16, alignment  0/ 3, found:	30.7422	55.4062
Length   96/16, alignment  0/ 3, fail:	26.4375	55.0234
Length   96/16, alignment  0/ 9, found:	29.8828	54.875
Length   96/16, alignment  0/ 9, fail:	26.3516	54.8516
Length   96/16, alignment  0/15, found:	26.9062	54.7031
Length   96/16, alignment  0/15, fail:	26.8828	54.7109
Length   96/16, alignment  3/ 0, found:	29.7344	59.6953
Length   96/16, alignment  3/ 0, fail:	30.1406	59.4922
Length   96/16, alignment  3/ 3, found:	30.0391	59.6094
Length   96/16, alignment  3/ 3, fail:	30.5078	72.9062
Length   96/16, alignment  3/ 9, found:	29.5391	59.5234
Length   96/16, alignment  3/ 9, fail:	30.5078	59.6172
Length   96/16, alignment  3/15, found:	30.1172	59.4297
Length   96/16, alignment  3/15, fail:	29.5156	59.4297
Length   96/16, alignment  9/ 0, found:	30.1484	58.8672
Length   96/16, alignment  9/ 0, fail:	29.7891	59.1094
Length   96/16, alignment  9/ 3, found:	29.4375	59.9844
Length   96/16, alignment  9/ 3, fail:	29.1016	59.3516
Length   96/16, alignment  9/ 9, found:	29.4609	59.3906
Length   96/16, alignment  9/ 9, fail:	29.6875	59.4141
Length   96/16, alignment  9/15, found:	29.4609	59.375
Length   96/16, alignment  9/15, fail:	29.1094	59.3359
Length   96/16, alignment 15/ 0, found:	29.5	58.8359
Length   96/16, alignment 15/ 0, fail:	29.7891	58.8047
Length   96/16, alignment 15/ 3, found:	30.3516	59.3906
Length   96/16, alignment 15/ 3, fail:	30.25	59.3594
Length   96/16, alignment 15/ 9, found:	29.4844	59.4141
Length   96/16, alignment 15/ 9, fail:	29.3984	59.375
Length   96/16, alignment 15/15, found:	29.6797	59.3594
Length   96/16, alignment 15/15, fail:	30.2891	59.3672
Length  112/16, alignment  0/ 0, found:	27.1562	56.4219
Length  112/16, alignment  0/ 0, fail:	26.7031	56.2188
Length  112/16, alignment  0/ 3, found:	26.9453	55.5
Length  112/16, alignment  0/ 3, fail:	27.4688	60.8594
Length  112/16, alignment  0/ 9, found:	26.3125	53.5234
Length  112/16, alignment  0/ 9, fail:	25.9844	53.6641
Length  112/16, alignment  0/15, found:	26.1953	53.5859
Length  112/16, alignment  0/15, fail:	26.1953	53.5391
Length  112/16, alignment  3/ 0, found:	29.1719	59.6641
Length  112/16, alignment  3/ 0, fail:	28.6641	59.7656
Length  112/16, alignment  3/ 3, found:	26.3125	60.3828
Length  112/16, alignment  3/ 3, fail:	26.2422	60.2266
Length  112/16, alignment  3/ 9, found:	26.1875	60.0391
Length  112/16, alignment  3/ 9, fail:	26.2578	60.125
Length  112/16, alignment  3/15, found:	29.1719	59.9609
Length  112/16, alignment  3/15, fail:	29.1875	60.0312
Length  112/16, alignment  9/ 0, found:	26.0547	59.5625
Length  112/16, alignment  9/ 0, fail:	25.9453	59.6875
Length  112/16, alignment  9/ 3, found:	29.7422	59.9375
Length  112/16, alignment  9/ 3, fail:	29.375	60.1094
Length  112/16, alignment  9/ 9, found:	26.4844	59.9688
Length  112/16, alignment  9/ 9, fail:	26.4062	60.0781
Length  112/16, alignment  9/15, found:	26.375	60.0703
Length  112/16, alignment  9/15, fail:	26.4062	60.0156
Length  112/16, alignment 15/ 0, found:	26.0156	59.5547
Length  112/16, alignment 15/ 0, fail:	29.3594	59.6328
Length  112/16, alignment 15/ 3, found:	29.7969	59.9922
Length  112/16, alignment 15/ 3, fail:	30.3203	60.1172
Length  112/16, alignment 15/ 9, found:	30.6484	59.9062
Length  112/16, alignment 15/ 9, fail:	30.3516	60.0469
Length  112/16, alignment 15/15, found:	30.3281	60.0391
Length  112/16, alignment 15/15, fail:	30.8984	60.0703
Length  128/16, alignment  0/ 0, found:	26.625	57.1719
Length  128/16, alignment  0/ 0, fail:	26.2109	57.0781
Length  128/16, alignment  0/ 3, found:	27.1797	58.4062
Length  128/16, alignment  0/ 3, fail:	28.1562	58.1094
Length  128/16, alignment  0/ 9, found:	28.1328	58.1094
Length  128/16, alignment  0/ 9, fail:	28.1406	58.0312
Length  128/16, alignment  0/15, found:	26.875	72.3594
Length  128/16, alignment  0/15, fail:	27.9141	58.0469
Length  128/16, alignment  3/ 0, found:	25.7812	62.6016
Length  128/16, alignment  3/ 0, fail:	27.3672	62.5
Length  128/16, alignment  3/ 3, found:	27.375	63.0703
Length  128/16, alignment  3/ 3, fail:	27.6719	62.6328
Length  128/16, alignment  3/ 9, found:	26.8906	62.5703
Length  128/16, alignment  3/ 9, fail:	30.5938	62.4062
Length  128/16, alignment  3/15, found:	26.8984	62.4219
Length  128/16, alignment  3/15, fail:	31.4844	62.4141
Length  128/16, alignment  9/ 0, found:	27.375	62.4844
Length  128/16, alignment  9/ 0, fail:	31.0156	62.4375
Length  128/16, alignment  9/ 3, found:	28.5625	62.4922
Length  128/16, alignment  9/ 3, fail:	27.8125	62.4297
Length  128/16, alignment  9/ 9, found:	27.7422	62.4219
Length  128/16, alignment  9/ 9, fail:	28.3672	62.4688
Length  128/16, alignment  9/15, found:	27.7656	62.4609
Length  128/16, alignment  9/15, fail:	28.3594	62.4297
Length  128/16, alignment 15/ 0, found:	27.3828	62.3984
Length  128/16, alignment 15/ 0, fail:	27.3516	62.4297
Length  128/16, alignment 15/ 3, found:	28.3906	62.4531
Length  128/16, alignment 15/ 3, fail:	28.3594	62.4844
Length  128/16, alignment 15/ 9, found:	27.7969	62.4688
Length  128/16, alignment 15/ 9, fail:	28.3594	62.3906
Length  128/16, alignment 15/15, found:	28.2969	62.4219
Length  128/16, alignment 15/15, fail:	28.3516	62.4609
Length  144/16, alignment  0/ 0, found:	29.8359	59.0703
Length  144/16, alignment  0/ 0, fail:	29.4766	58.8516
Length  144/16, alignment  0/ 3, found:	30.0312	59.2734
Length  144/16, alignment  0/ 3, fail:	28.9922	59.125
Length  144/16, alignment  0/ 9, found:	28.5703	59.1406
Length  144/16, alignment  0/ 9, fail:	29.3438	59.125
Length  144/16, alignment  0/15, found:	28.9062	59.1094
Length  144/16, alignment  0/15, fail:	29.2344	58.9688
Length  144/16, alignment  3/ 0, found:	27.9688	63.4531
Length  144/16, alignment  3/ 0, fail:	27.8125	63.2109
Length  144/16, alignment  3/ 3, found:	28.4219	63.9219
Length  144/16, alignment  3/ 3, fail:	28.2031	63.8125
Length  144/16, alignment  3/ 9, found:	27.6562	63.7656
Length  144/16, alignment  3/ 9, fail:	28.9688	63.6562
Length  144/16, alignment  3/15, found:	28.9062	63.5625
Length  144/16, alignment  3/15, fail:	28.6016	63.5
Length  144/16, alignment  9/ 0, found:	28.1328	63.2109
Length  144/16, alignment  9/ 0, fail:	28.1719	63.1562
Length  144/16, alignment  9/ 3, found:	28.6562	63.5234
Length  144/16, alignment  9/ 3, fail:	31.5	63.5
Length  144/16, alignment  9/ 9, found:	29.2656	63.5078
Length  144/16, alignment  9/ 9, fail:	28.9609	63.5234
Length  144/16, alignment  9/15, found:	28.9297	63.5234
Length  144/16, alignment  9/15, fail:	28.9688	63.5312
Length  144/16, alignment 15/ 0, found:	28.0156	63.0312
Length  144/16, alignment 15/ 0, fail:	28.0469	62.9922
Length  144/16, alignment 15/ 3, found:	31.5625	63.4844
Length  144/16, alignment 15/ 3, fail:	28.3984	63.5234
Length  144/16, alignment 15/ 9, found:	28.9297	63.4922
Length  144/16, alignment 15/ 9, fail:	28.3906	63.5312
Length  144/16, alignment 15/15, found:	29.0781	63.5469
