                       	strtok	oldstrtok
Length   18/2, alignment 15/ 3, fail:	28.7344	59.9375
Length   18/2, alignment 15/ 9, found:	28.9531	60.9297
Length   18/2, alignment 15/ 9, fail:	26.4062	59.9688
Length   18/2, alignment 15/15, found:	27.6797	61.3438
Length   18/2, alignment 15/15, fail:	27.1641	61.0703
Length   20/2, alignment  0/ 0, found:	22.3281	60.1484
Length   20/2, alignment  0/ 0, fail:	22.3438	58.1953
Length   20/2, alignment  0/ 3, found:	26.75	59.2266
Length   20/2, alignment  0/ 3, fail:	25.3906	58.1797
Length   20/2, alignment  0/ 9, found:	26.3906	58.9922
Length   20/2, alignment  0/ 9, fail:	26.6875	57.75
Length   20/2, alignment  0/15, found:	27.6328	59.3984
Length   20/2, alignment  0/15, fail:	26.3359	58.1562
Length   20/2, alignment  3/ 0, found:	22.0156	60.125
Length   20/2, alignment  3/ 0, fail:	22.0156	61.3047
Length   20/2, alignment  3/ 3, found:	26.9297	60.5547
Length   20/2, alignment  3/ 3, fail:	27.2812	60.8984
Length   20/2, alignment  3/ 9, found:	27.4219	60.1562
Length   20/2, alignment  3/ 9, fail:	26.375	60.4453
Length   20/2, alignment  3/15, found:	27.3906	60.5469
Length   20/2, alignment  3/15, fail:	26.4297	60.7344
Length   20/2, alignment  9/ 0, found:	24.3125	77.0859
Length   20/2, alignment  9/ 0, fail:	24.2188	61.1953
Length   20/2, alignment  9/ 3, found:	26.6562	60.5625
Length   20/2, alignment  9/ 3, fail:	26.7422	60.4531
Length   20/2, alignment  9/ 9, found:	28.7734	60.5
Length   20/2, alignment  9/ 9, fail:	28.7109	60.4609
Length   20/2, alignment  9/15, found:	28.5078	61.2734
Length   20/2, alignment  9/15, fail:	30.1172	60.9844
Length   20/2, alignment 15/ 0, found:	24.4766	61.5078
Length   20/2, alignment 15/ 0, fail:	25.3516	60.6562
Length   20/2, alignment 15/ 3, found:	28.6094	61.0312
Length   20/2, alignment 15/ 3, fail:	29.7344	59.7109
Length   20/2, alignment 15/ 9, found:	28.3203	60.5703
Length   20/2, alignment 15/ 9, fail:	29.0938	59.4219
Length   20/2, alignment 15/15, found:	29.9375	61.4219
Length   20/2, alignment 15/15, fail:	29.3906	60.7656
Length   22/2, alignment  0/ 0, found:	24.4609	59.9844
Length   22/2, alignment  0/ 0, fail:	24.0469	58.0078
Length   22/2, alignment  0/ 3, found:	25.7344	59.2812
Length   22/2, alignment  0/ 3, fail:	28.6953	57.7031
Length   22/2, alignment  0/ 9, found:	28.8125	58.9219
Length   22/2, alignment  0/ 9, fail:	28.8672	58.4062
Length   22/2, alignment  0/15, found:	29.1172	59.6797
Length   22/2, alignment  0/15, fail:	29.8516	57.8438
Length   22/2, alignment  3/ 0, found:	25.9922	60.9531
Length   22/2, alignment  3/ 0, fail:	25.8906	61.2031
Length   22/2, alignment  3/ 3, found:	29.5078	60.5156
Length   22/2, alignment  3/ 3, fail:	29.9141	60.4453
Length   22/2, alignment  3/ 9, found:	30.0312	60.625
Length   22/2, alignment  3/ 9, fail:	29.9922	60.4453
Length   22/2, alignment  3/15, found:	29.7344	60.75
Length   22/2, alignment  3/15, fail:	31.2109	60.9141
Length   22/2, alignment  9/ 0, found:	25.8125	61.2344
Length   22/2, alignment  9/ 0, fail:	25.7188	61.1641
Length   22/2, alignment  9/ 3, found:	28.6953	60.4688
Length   22/2, alignment  9/ 3, fail:	29.3281	60.5703
Length   22/2, alignment  9/ 9, found:	28.7266	60.4531
Length   22/2, alignment  9/ 9, fail:	29.2109	60.4688
Length   22/2, alignment  9/15, found:	29.6328	61.1094
Length   22/2, alignment  9/15, fail:	29.8359	60.9531
Length   22/2, alignment 15/ 0, found:	26.3438	61.5625
Length   22/2, alignment 15/ 0, fail:	27.1328	60.4688
Length   22/2, alignment 15/ 3, found:	29.9297	61.0625
Length   22/2, alignment 15/ 3, fail:	31.8828	59.4531
Length   22/2, alignment 15/ 9, found:	30.0703	60.7656
Length   22/2, alignment 15/ 9, fail:	30.6562	59.3359
Length   22/2, alignment 15/15, found:	29.9453	61.5312
Length   22/2, alignment 15/15, fail:	30.7734	60.2656
Length   24/2, alignment  0/ 0, found:	25.7656	59.2031
Length   24/2, alignment  0/ 0, fail:	24.3125	58.1406
Length   24/2, alignment  0/ 3, found:	30.6328	58.3281
Length   24/2, alignment  0/ 3, fail:	24.7031	58.2344
Length   24/2, alignment  0/ 9, found:	29.8516	57.6719
Length   24/2, alignment  0/ 9, fail:	26.5078	57.8672
Length   24/2, alignment  0/15, found:	28.6562	58.0547
Length   24/2, alignment  0/15, fail:	28.125	58.1953
Length   24/2, alignment  3/ 0, found:	23.4922	61.5
Length   24/2, alignment  3/ 0, fail:	24.5312	61.6953
Length   24/2, alignment  3/ 3, found:	25.8438	60.5547
Length   24/2, alignment  3/ 3, fail:	33.8438	60.8594
Length   24/2, alignment  3/ 9, found:	25.9375	60.5547
Length   24/2, alignment  3/ 9, fail:	25.8125	60.4219
Length   24/2, alignment  3/15, found:	27.9531	60.8281
Length   24/2, alignment  3/15, fail:	28.1641	60.7344
Length   24/2, alignment  9/ 0, found:	22.9375	61.5938
Length   24/2, alignment  9/ 0, fail:	24.9688	61.7422
Length   24/2, alignment  9/ 3, found:	27.9141	60.6562
Length   24/2, alignment  9/ 3, fail:	27.9453	61.0781
Length   24/2, alignment  9/ 9, found:	27.7891	60.5625
Length   24/2, alignment  9/ 9, fail:	27.1797	60.4141
Length   24/2, alignment  9/15, found:	28.5703	61.0625
Length   24/2, alignment  9/15, fail:	29.2344	61.125
Length   24/2, alignment 15/ 0, found:	25.1172	61.7031
Length   24/2, alignment 15/ 0, fail:	25.8828	60.5391
Length   24/2, alignment 15/ 3, found:	28.625	61.1016
Length   24/2, alignment 15/ 3, fail:	29.6953	59.6562
Length   24/2, alignment 15/ 9, found:	28.2188	60.7422
Length   24/2, alignment 15/ 9, fail:	28.9609	59.3984
Length   24/2, alignment 15/15, found:	28.8516	61.25
Length   24/2, alignment 15/15, fail:	29.75	60.6562
Length   26/2, alignment  0/ 0, found:	25.3984	59.8516
Length   26/2, alignment  0/ 0, fail:	23.7031	58.0234
Length   26/2, alignment  0/ 3, found:	30.9844	59.5781
Length   26/2, alignment  0/ 3, fail:	28.875	58.0234
Length   26/2, alignment  0/ 9, found:	30.8203	59.2734
Length   26/2, alignment  0/ 9, fail:	25.5156	57.7344
Length   26/2, alignment  0/15, found:	29.3828	60.0703
Length   26/2, alignment  0/15, fail:	26.1328	57.9531
Length   26/2, alignment  3/ 0, found:	23.6797	61.2812
Length   26/2, alignment  3/ 0, fail:	24.9844	61.1562
Length   26/2, alignment  3/ 3, found:	27.7422	60.5469
Length   26/2, alignment  3/ 3, fail:	29.125	60.5859
Length   26/2, alignment  3/ 9, found:	28.7188	60.6719
Length   26/2, alignment  3/ 9, fail:	27.6094	60.4766
Length   26/2, alignment  3/15, found:	28.5078	60.7266
Length   26/2, alignment  3/15, fail:	29	60.6797
Length   26/2, alignment  9/ 0, found:	25.1016	61.5859
Length   26/2, alignment  9/ 0, fail:	24.9453	61.3047
Length   26/2, alignment  9/ 3, found:	28.3203	60.5938
Length   26/2, alignment  9/ 3, fail:	28.9062	60.5078
Length   26/2, alignment  9/ 9, found:	27.7266	60.5547
Length   26/2, alignment  9/ 9, fail:	27.1016	60.3906
Length   26/2, alignment  9/15, found:	29.1562	61.4062
Length   26/2, alignment  9/15, fail:	29.6797	61.0156
Length   26/2, alignment 15/ 0, found:	25.1094	65.0938
Length   26/2, alignment 15/ 0, fail:	24.9922	60.5469
Length   26/2, alignment 15/ 3, found:	31.4688	65.0547
Length   26/2, alignment 15/ 3, fail:	28.4766	59.9844
Length   26/2, alignment 15/ 9, found:	29.3125	63.8984
Length   26/2, alignment 15/ 9, fail:	29.1172	59.3516
Length   26/2, alignment 15/15, found:	31.9609	65.2734
Length   26/2, alignment 15/15, fail:	29.3359	60.7188
Length   28/2, alignment  0/ 0, found:	25.5078	59.3125
Length   28/2, alignment  0/ 0, fail:	24.25	58.375
Length   28/2, alignment  0/ 3, found:	34.8594	59.5391
Length   28/2, alignment  0/ 3, fail:	30.0547	58.0078
Length   28/2, alignment  0/ 9, found:	32.6562	59.2031
Length   28/2, alignment  0/ 9, fail:	27.7422	65.5781
Length   28/2, alignment  0/15, found:	33.2031	59.5156
Length   28/2, alignment  0/15, fail:	28.4453	57.8906
Length   28/2, alignment  3/ 0, found:	24.2188	61.6094
Length   28/2, alignment  3/ 0, fail:	24.8594	61.3594
Length   28/2, alignment  3/ 3, found:	28.9297	60.7188
Length   28/2, alignment  3/ 3, fail:	29.9062	60.5234
Length   28/2, alignment  3/ 9, found:	27.375	60.7656
Length   28/2, alignment  3/ 9, fail:	27.5703	60.5547
Length   28/2, alignment  3/15, found:	28.3594	60.7422
Length   28/2, alignment  3/15, fail:	28.7656	60.8594
Length   28/2, alignment  9/ 0, found:	25.25	61.8125
Length   28/2, alignment  9/ 0, fail:	24.75	61.4141
Length   28/2, alignment  9/ 3, found:	27.8125	60.7891
Length   28/2, alignment  9/ 3, fail:	27.7656	60.5547
Length   28/2, alignment  9/ 9, found:	28.375	60.7891
Length   28/2, alignment  9/ 9, fail:	28.3125	60.4453
Length   28/2, alignment  9/15, found:	28.7344	61.4297
Length   28/2, alignment  9/15, fail:	29.1953	61.2812
Length   28/2, alignment 15/ 0, found:	28.0625	64.8047
Length   28/2, alignment 15/ 0, fail:	25.7969	60.4297
Length   28/2, alignment 15/ 3, found:	29.3906	64.3438
Length   28/2, alignment 15/ 3, fail:	27.8359	59.4375
Length   28/2, alignment 15/ 9, found:	30.9141	63.7969
Length   28/2, alignment 15/ 9, fail:	28.8125	59.4062
Length   28/2, alignment 15/15, found:	30.0078	65.0781
Length   28/2, alignment 15/15, fail:	29.8438	60.1406
Length   30/2, alignment  0/ 0, found:	26.3516	59.4141
Length   30/2, alignment  0/ 0, fail:	23.2188	58.1484
Length   30/2, alignment  0/ 3, found:	31.9297	59.2188
Length   30/2, alignment  0/ 3, fail:	28.9062	57.6719
Length   30/2, alignment  0/ 9, found:	30.8047	59.1953
