                       	__strcpy_chk	normal_strcpy	simple_strcpy_chk
Length    9, alignment  0/ 1:	8.88867	4.74219	11.9034
Length    9, alignment  1/ 0:	8.88867	4.07758	11.8847
Length   10, alignment  0/ 0:	8.88843	4.94647	11.8871
Length   10, alignment  0/ 2:	9.54242	4.15332	12.7432
Length   10, alignment  2/ 0:	9.48114	4.94678	12.4738
Length   11, alignment  0/ 0:	9.07629	3.5614	14.8148
Length   11, alignment  0/ 3:	9.48114	4.74146	15.0201
Length   11, alignment  3/ 0:	8.88806	4.94727	14.8147
Length   12, alignment  0/ 0:	8.88867	4.15057	16.7515
Length   12, alignment  0/ 4:	8.88812	4.94525	16.6144
Length   12, alignment  4/ 0:	9.08459	4.68591	16.614
Length   13, alignment  0/ 0:	8.46027	3.86273	16.1895
Length   13, alignment  0/ 5:	8.27557	4.60675	17.1033
Length   13, alignment  5/ 0:	8.82751	4.17157	16.0198
Length   14, alignment  0/ 0:	7.72784	3.86322	13.7957
Length   14, alignment  0/ 6:	8.44324	3.88281	13.7933
Length   14, alignment  6/ 0:	8.27527	3.86389	12.2805
Length   15, alignment  0/ 0:	9.25226	4.00104	12.6687
Length   15, alignment  0/ 7:	9.14392	4.77069	13.4114
Length   15, alignment  7/ 0:	9.14209	4.00116	12.6607
Length   16, alignment  7/ 2:	9.14398	4.57275	13.4478
Length   32, alignment  6/ 4:	9.71423	6.28699	24.6805
Length   64, alignment  5/ 6:	10.2879	7.14423	41.61
Length  128, alignment  4/ 0:	12.4687	7.14984	80.6647
Length  256, alignment  3/ 2:	16.7655	10.4655	194.975
Length  512, alignment  2/ 4:	20.1664	15.414	317.998
Length 1024, alignment  1/ 6:	31.0518	29.0753	603.718
Length   16, alignment  1/ 2:	8.82843	4.68835	13.2425
Length   16, alignment  1/ 1:	8.82684	3.32312	13.2858
Length   16, alignment  1/ 1:	9.00903	3.31592	13.3252
Length   32, alignment  2/ 4:	9.93158	4.96661	22.0992
