                    	simple_strrchr	__strrchr_avx2	__strrchr_avx2_rtm	__strrchr_evex	__strrchr_sse2
Length   16, alignment in bytes  0:	14.4305	3.61462	4.13464	2.58423	2.58215
Length   16, alignment in bytes  0:	14.4301	3.61444	4.42133	3.09766	2.58209
Length   17, alignment in bytes  0:	10.8522	3.61426	4.12988	2.58484	5.6181
Length   17, alignment in bytes  0:	10.84	3.79144	4.13367	3.09766	5.61517
Length   18, alignment in bytes  0:	11.3594	3.61377	4.1347	2.58484	5.61047
Length   18, alignment in bytes  0:	11.5189	3.61359	4.13501	3.09766	5.61053
Length   19, alignment in bytes  0:	11.9124	3.09747	4.13397	2.58484	5.60895
Length   19, alignment in bytes  0:	12.5918	3.8623	4.41895	3.31097	6.00153
Length   20, alignment in bytes  0:	13.3456	3.862	4.58588	2.76263	6.00201
Length   20, alignment in bytes  0:	13.3342	3.86377	4.41443	3.31152	6.0033
Length   21, alignment in bytes  0:	14.009	3.86298	4.41943	3.31146	6.00037
Length   21, alignment in bytes  0:	13.8428	3.86322	4.41461	3.44733	5.99158
Length   22, alignment in bytes  0:	14.3991	3.86322	4.42035	3.3111	5.98639
Length   22, alignment in bytes  0:	14.5596	3.86304	4.42047	3.31152	6.00024
Length   23, alignment in bytes  0:	14.945	3.86371	4.57556	2.76196	5.99109
Length   23, alignment in bytes  0:	14.9445	3.86261	4.41443	3.3114	5.99945
Length   24, alignment in bytes  0:	15.6675	3.86249	4.41986	2.76282	5.76282
Length   24, alignment in bytes  0:	14.4984	3.61414	4.29938	3.38733	5.99738
Length   25, alignment in bytes  0:	16.0452	3.86261	4.41888	2.76263	5.99255
Length   25, alignment in bytes  0:	16.1545	3.86365	4.41949	2.76294	5.99719
Length   26, alignment in bytes  0:	16.6122	3.31128	4.66565	3.3111	6.00269
Length   26, alignment in bytes  0:	16.6086	3.86237	4.41382	3.3114	5.99939
Length   27, alignment in bytes  0:	17.3063	3.86304	4.41925	2.76324	5.99469
Length   27, alignment in bytes  0:	17.3294	3.8634	4.42072	3.3114	5.99194
Length   28, alignment in bytes  0:	17.6147	3.09753	4.13361	2.5849	5.7561
Length   28, alignment in bytes  0:	16.576	3.6142	4.13342	3.09747	5.61359
Length   29, alignment in bytes  0:	18.9966	3.61401	4.13403	3.09802	5.61426
Length   29, alignment in bytes  0:	17.1494	3.61383	4.27319	2.58429	5.60791
Length   30, alignment in bytes  0:	17.6124	3.61267	4.12933	3.09814	5.6123
Length   30, alignment in bytes  0:	17.7524	3.61438	4.13354	2.58423	5.61371
Length   31, alignment in bytes  0:	18.1244	3.72784	4.1347	2.58472	5.61084
Length   31, alignment in bytes  0:	18.1288	3.61298	4.13086	3.09778	5.61536
Length   32, alignment in bytes  0:	18.3174	3.39435	3.88452	2.91016	5.38434
Length   32, alignment in bytes  0:	18.7501	3.61456	4.13379	3.0976	5.61646
