                            	generic_strncat	__strncat_avx2	__strncat_avx2_rtm	__strncat_evex	__strncat_ssse3	__strncat_sse2_unaligned	__strncat_sse2
Length    4/   4, alignment  0/ 0, N   32:	20.7783	21.6797	21.4792	22.2925	6.6123	17.8291	22.0599
Length    4/   4, alignment  4/ 0, N   32:	21.3748	22.7787	22.8585	23.3711	6.73889	17.8734	21.9619
Length    8/   8, alignment  0/ 0, N   32:	20.8956	19.0149	19.127	19.5896	7.8244	17.8811	21.4716
Length    8/   8, alignment  0/ 0, N   32:	20.7769	19.1307	18.9998	19.7833	8.35406	17.8553	21.5325
Length   16/  16, alignment  0/ 0, N   32:	20.7776	19.0405	19.205	17.7094	14.556	15.3467	17.4814
Length   16/  16, alignment  7/ 2, N   32:	17.98	15.7578	15.5712	16.0577	15.7076	14.9346	17.5353
Length   16/   4, alignment  0/ 0, N   32:	17.6269	15.1014	15.1051	15.4458	9.2132	14.2131	17.175
Length   16/   4, alignment  7/ 2, N   32:	17.6501	15.5467	15.6782	16.0432	10.2919	15.0608	18.1819
Length   32/  32, alignment  0/ 0, N   32:	17.4566	16.5305	16.6339	17.1401	16.0312	15.8336	17.4549
Length   32/  32, alignment  6/ 4, N   32:	20.9908	19.4088	19.4127	20.1771	19.8867	18.8802	21.0153
Length   32/   8, alignment  0/ 0, N   32:	17.9786	16.1892	16.0127	16.7526	11.8533	17.0441	18.5962
Length   32/   8, alignment  6/ 4, N   32:	19.3007	17.0511	17.0436	18.0144	18.0938	18.2997	19.2361
Length   64/  64, alignment  0/ 0, N   32:	18.5838	17.5774	17.4293	17.5675	17.2575	16.686	18.5823
Length   64/  64, alignment  5/ 6, N   32:	18.7647	17.515	17.6206	17.6099	23.236	16.8259	18.5806
Length   64/  16, alignment  0/ 0, N   32:	19.2537	17.0742	17.0537	18.0286	16.5696	18.3439	19.2993
Length   64/  16, alignment  5/ 6, N   32:	19.1387	17.0518	17.1556	17.8163	21.446	17.1927	17.9738
Length  128/ 128, alignment  0/ 0, N   32:	16.8926	15.1047	14.9644	15.6276	15.7275	14.2947	16.1752
Length  128/ 128, alignment  4/ 0, N   32:	16.0267	15.2735	15.0055	15.5982	20.3912	18.5746	20.6205
Length  128/  32, alignment  0/ 0, N   32:	20.7009	19.4875	19.4775	20.2782	18.8912	18.4211	20.6953
Length  128/  32, alignment  4/ 0, N   32:	21.8802	20.3409	20.3369	21.1616	20.2203	21.6851	23.5731
Length  256/ 256, alignment  0/ 0, N   32:	25.1221	20.0485	20.2302	20.2579	25.8256	19.2986	25.1392
Length  256/ 256, alignment  3/ 2, N   32:	25.2728	19.8875	20.197	20.1479	27.2426	19.2673	25.1588
Length  256/  64, alignment  0/ 0, N   32:	21.4479	20.036	20.1206	20.1672	19.1995	19.2221	21.333
Length  256/  64, alignment  3/ 2, N   32:	21.4532	20.106	20.1568	20.2192	22.5248	19.2447	21.3339
Length  512/ 512, alignment  0/ 0, N   32:	24.1968	18.8628	18.981	19.8425	34.5771	22.3937	23.4229
Length  512/ 512, alignment  2/ 4, N   32:	23.3858	18.8599	18.9529	19.8908	38.3883	22.5526	23.3945
Length  512/ 128, alignment  0/ 0, N   32:	20.6201	19.6068	19.1644	20.6487	20.575	18.4097	20.7343
Length  512/ 128, alignment  2/ 4, N   32:	20.6189	19.5317	19.2812	19.89	24.7026	18.4014	20.6972
Length 1024/1024, alignment  0/ 0, N   32:	26.9732	24.9762	25.4641	23.4233	54.6971	34.9096	26.9504
Length 1024/1024, alignment  1/ 6, N   32:	26.7921	24.8658	25.9982	23.4125	59.9767	34.7744	27.5245
Length 1024/ 256, alignment  0/ 0, N   32:	25.2111	20.0373	19.1979	18.9061	22.9683	16.6989	22.3054
Length 1024/ 256, alignment  1/ 6, N   32:	22.3908	17.5088	17.618	17.5485	25.8408	16.1518	21.373
Length   16/   1, alignment  1/ 2, N   32:	18.6136	15.8554	15.7236	16.0483	8.78308	15.0705	17.9227
Length   16/   1, alignment  2/ 1, N   32:	17.517	15.2304	15.0834	14.7932	8.04926	14.0236	16.5369
Length   16/  10, alignment  1/ 1, N   32:	16.4813	14.4368	14.2496	14.7009	9.78003	13.9819	16.5352
Length   32/   1, alignment  2/ 4, N   32:	16.4805	14.8263	14.6751	15.3511	12.4761	15.746	16.4746
Length   32/   1, alignment  4/ 2, N   32:	16.5322	14.8121	14.6823	15.3486	12.1806	15.6204	19.4758
Length   32/  10, alignment  2/ 2, N   32:	16.5962	14.6826	14.6733	15.2465	14.6851	15.6346	16.6038
Length   64/   1, alignment  3/ 6, N   32:	16.4799	14.6822	14.7957	15.3442	12.0563	15.6237	16.6238
Length   64/   1, alignment  6/ 3, N   32:	16.5287	14.6847	14.7831	15.353	11.5971	15.7083	19.4748
Length   64/  10, alignment  3/ 3, N   32:	16.4806	14.8104	14.6749	15.3387	14.3443	15.6165	16.4747
Length  128/   1, alignment  4/ 0, N   32:	16.6558	14.6883	14.6815	15.1313	11.2623	15.608	19.4761
Length  128/   1, alignment  0/ 4, N   32:	16.6019	14.6903	14.6749	15.4747	8.9469	15.6175	16.6858
Length  128/  10, alignment  4/ 4, N   32:	16.4785	14.6895	14.6757	15.4695	13.8086	15.6187	16.7053
Length  256/   1, alignment  5/ 2, N   32:	16.5272	14.7008	14.7977	15.3641	11.1455	15.7535	19.4749
Length  256/   1, alignment  2/ 5, N   32:	16.4772	14.8275	14.6752	15.3473	11.6071	15.728	16.7312
Length  256/  10, alignment  5/ 5, N   32:	16.4783	14.8051	14.6755	15.3527	14.8118	15.6235	16.5563
Length  512/   1, alignment  6/ 4, N   32:	16.6567	14.6833	14.6744	15.4783	11.1478	15.6011	19.6141
Length  512/   1, alignment  4/ 6, N   32:	16.4778	14.6823	14.6753	15.4744	12.4751	15.6217	16.6009
Length  512/  10, alignment  6/ 6, N   32:	16.4797	14.6937	14.7972	15.3437	13.7809	15.763	16.475
Length 1024/   1, alignment  7/ 6, N   32:	16.531	14.7966	14.6743	15.3517	10.9208	17.179	21.2438
Length 1024/   1, alignment  6/ 7, N   32:	18.1127	16.0297	15.0688	15.3457	13.1819	15.6272	16.5654
Length 1024/  10, alignment  7/ 7, N   32:	20.1026	18.2314	18.3376	19.0573	18.2211	19.5582	20.4519
Length    2/   2, alignment  0/ 2, N  128:	19.4917	17.6904	17.6978	18.4678	5.77502	17.2196	21.4055
Length    4/   4, alignment  0/ 0, N  128:	20.0365	20.6195	20.0704	20.5047	5.66809	15.6638	19.4158
Length    4/   4, alignment  4/ 0, N  128:	19.8989	21.319	21.2015	21.9232	5.33173	16.6391	20.6163
Length    8/   8, alignment  0/ 0, N  128:	19.3454	17.7042	17.8137	18.249	7.78967	16.7958	19.8983
Length    8/   8, alignment  0/ 0, N  128:	19.347	17.8282	17.6896	18.3929	7.28217	16.6334	19.8957
Length   16/  16, alignment  0/ 0, N  128:	19.4907	17.7001	17.824	18.2472	16.3464	16.317	18.6082
Length   16/  16, alignment  7/ 2, N  128:	19.1353	16.6766	16.5535	17.0604	17.1391	17.4526	21.329
Length   16/   4, alignment  0/ 0, N  128:	21.178	18.3215	18.496	19.5439	11.2768	18.5572	21.972
Length   16/   4, alignment  7/ 2, N  128:	22.2391	18.9923	19.0027	19.711	13.735	18.5684	22.0507
Length   32/  32, alignment  0/ 0, N  128:	21.3896	20.308	20.2128	21.0121	19.4958	28.1403	21.3876
Length   32/  32, alignment  6/ 4, N  128:	25.6542	23.7409	23.8858	24.4089	22.6514	29.2482	25.7255
Length   32/   8, alignment  0/ 0, N  128:	22.028	20.3268	20.1705	20.7865	15.8201	26.8796	21.3676
Length   32/   8, alignment  6/ 4, N  128:	21.1909	19.6172	19.4484	20.028	18.2579	26.8778	21.328
Length   64/  64, alignment  0/ 0, N  128:	21.2086	28.6802	28.8138	29.2853	21.1506	25.4688	16.6628
Length   64/  64, alignment  5/ 6, N  128:	21.0489	25.1313	25.2101	27.2436	24.9367	25.4924	22.4448
