                            	generic_strcat	__strcat_avx2	__strcat_avx2_rtm	__strcat_evex	__strcat_ssse3	__strcat_sse2_unaligned	__strcat_sse2
Length  256/ 256, alignment  0/ 0:	35.6163	28.7758	29.3955	29.7742	25.6548	28.4902	41.3918
Length  256/ 256, alignment  3/ 2:	27.9422	25.0773	27.525	33.8174	36.5855	35.676	53.7066
Length  256/  64, alignment  0/ 0:	31.0703	31.734	30.2043	29.1643	21.119	31.0493	32.4548
Length  256/  64, alignment  3/ 2:	30.8647	30.0844	27.4016	29.5367	25.2361	30.9464	36.6577
Length  512/ 512, alignment  0/ 0:	30.1877	35.3315	36.6069	35.377	44.403	35.7104	88.2264
Length  512/ 512, alignment  2/ 4:	32.2899	35.9672	36.4557	36.6753	47.5694	33.6559	84.8395
Length  512/ 128, alignment  0/ 0:	28.9368	34.1435	34.3909	33.6393	28.9228	35.5256	62.7928
Length  512/ 128, alignment  2/ 4:	33.3308	30.8782	30.6725	33.628	40.87	41.3712	69.7134
Length 1024/1024, alignment  0/ 0:	39.3152	38.8862	41.9691	44.2937	84.6225	57.2018	198.074
Length 1024/1024, alignment  1/ 6:	51.2184	47.4054	49.3661	53.8034	94.8087	55.101	173.347
Length 1024/ 256, alignment  0/ 0:	36.6508	37.3847	40.7741	42.1577	52.8368	49.7636	134.262
Length 1024/ 256, alignment  1/ 6:	51.7328	48.5113	49.5131	49.0906	58.7448	52.3857	142.827
Length   16/   1, alignment  1/ 2:	19.539	17.263	16.4275	16.9943	7.26059	16.1558	8.8558
Length   16/   1, alignment  2/ 1:	18.1513	17.7633	17.7187	18.3087	8.69702	16.1451	9.79178
Length   16/  10, alignment  1/ 1:	17.1041	16.5905	16.6251	17.0952	9.84682	16.1033	15.1705
Length   16/  10, alignment  1/ 1:	16.5677	15.758	15.2696	16.8894	9.89665	16.1046	15.9875
Length   32/   1, alignment  2/ 4:	17.6858	17.8108	18.8723	18.0715	11.3568	23.8382	9.74188
Length   32/   1, alignment  4/ 2:	17.499	16.4897	16.6869	19.5299	10.8949	26.9409	11.2755
Length   32/  10, alignment  2/ 2:	19.6647	19.6422	19.5739	18.8398	13.992	26.6935	18.8349
Length   32/  10, alignment  2/ 2:	17.7468	16.3215	19.0953	19.5389	15.475	28.0949	19.5262
Length   64/   1, alignment  3/ 6:	27.8201	24.3677	21.8255	22.5861	10.7137	22.0057	11.1587
Length   64/   1, alignment  6/ 3:	23.8923	24.1991	25.3541	26.1827	12.1609	25.9613	14.3824
Length   64/  10, alignment  3/ 3:	27.9772	28.4571	27.1246	27.3918	15.3749	27.8892	22.2415
Length   64/  10, alignment  3/ 3:	26.3942	25.7171	25.1082	22.9546	13.3762	22.0243	17.8389
Length  128/   1, alignment  4/ 0:	29.9699	33.73	34.6003	36.1827	17.6711	30.0625	22.4169
Length  128/   1, alignment  0/ 4:	25.6991	23.9198	23.0732	25.5941	17.3191	32.4252	18.4431
Length  128/  10, alignment  4/ 4:	32.2303	30.2151	29.0646	27.1656	18.5874	28.3273	25.5985
Length  128/  10, alignment  4/ 4:	29.2587	30.5653	30.5264	31.5087	21.2338	31.8797	27.0276
Length  256/   1, alignment  5/ 2:	32.5441	30.3478	29.0445	28.253	18.792	31.334	29.8341
Length  256/   1, alignment  2/ 5:	29.7135	30.6279	29.2372	29.8674	20.4709	37.2898	35.8229
Length  256/  10, alignment  5/ 5:	33.9177	30.238	30.2188	29.3685	22.6748	32.4167	34.6662
Length  256/  10, alignment  5/ 5:	30.6881	30.9028	29.4565	29.4576	24.5938	31.1907	36.8927
Length  512/   1, alignment  6/ 4:	36.5892	36.4481	34.8228	38.4515	32.532	44.1653	57.4428
Length  512/   1, alignment  4/ 6:	36.7691	37.755	36.4079	31.9121	28.4478	33.8885	56.3245
Length  512/  10, alignment  6/ 6:	36.4891	39.2257	39.1516	35.5459	29.4009	37.7621	61.4501
Length  512/  10, alignment  6/ 6:	36.7535	37.7446	37.2679	37.2674	36.32	41.4936	53.8656
Length 1024/   1, alignment  7/ 6:	33.9153	39.402	41.7917	37.5891	36.5537	36.3232	93.0419
Length 1024/   1, alignment  6/ 7:	43.6105	42.0265	39.0497	43.489	42.9888	49.1947	121.033
Length 1024/  10, alignment  7/ 7:	54.2941	50.2561	41.3533	40.7556	42.8221	52.5723	121.326
Length 1024/  10, alignment  7/ 7:	48.5051	48.1383	50.8356	52.4639	50.0802	54.4017	114.94
