                    	simple_STRCHR	__wcschr_avx2	__wcschr_avx2_rtm	__wcschr_evex	__wcschr_sse2
Length   16, alignment in bytes  0:	13.4404	3.8625	4.41559	4.46053	6.53035
Length   17, alignment in bytes  0:	15.4002	3.86218	5.51694	4.82309	6.53398
Length   17, alignment in bytes  0:	14.264	3.9068	5.51721	4.45473	6.53171
Length   18, alignment in bytes  0:	16.6418	3.86237	5.51813	4.69034	6.53375
Length   18, alignment in bytes  0:	14.5139	3.90846	4.41553	4.41382	6.60774
Length   19, alignment in bytes  0:	14.994	3.91281	4.96628	4.41394	6.58522
Length   19, alignment in bytes  0:	17.2126	3.91771	4.41533	4.41386	6.58183
Length   20, alignment in bytes  0:	17.83	3.91623	4.41519	4.41402	7.49341
Length   20, alignment in bytes  0:	17.8161	3.89627	4.41525	4.47601	7.72389
Length   21, alignment in bytes  0:	18.401	3.86217	5.51698	4.46049	7.72404
Length   21, alignment in bytes  0:	18.3953	3.86226	4.44771	4.41374	7.76096
Length   22, alignment in bytes  0:	18.9128	3.86212	4.45555	4.41373	7.76906
Length   22, alignment in bytes  0:	17.6078	3.89598	5.51697	4.41484	7.49799
Length   23, alignment in bytes  0:	19.3784	3.86217	4.96774	4.66304	7.44868
Length   23, alignment in bytes  0:	19.3941	3.86226	5.28841	4.51114	7.50291
Length   24, alignment in bytes  0:	19.9061	4.61903	5.14424	4.57234	8.89949
Length   24, alignment in bytes  0:	20.6439	4.57167	5.1824	4.57152	8.89418
Length   25, alignment in bytes  0:	20.6642	4.57639	5.14342	4.61577	8.85686
Length   25, alignment in bytes  0:	21.3314	4.61574	5.55345	4.57121	8.89964
Length   26, alignment in bytes  0:	20.3732	4.5764	5.18703	4.57245	8.90466
Length   26, alignment in bytes  0:	21.7704	4.62943	5.14351	4.6196	8.8575
Length   27, alignment in bytes  0:	21.7745	4.67468	5.33409	4.74086	9.59871
Length   27, alignment in bytes  0:	23.2867	4.7411	5.39476	4.74101	9.51549
Length   28, alignment in bytes  0:	21.5308	4.7453	5.37859	4.74075	10.4208
Length   28, alignment in bytes  0:	23.385	4.57147	5.39558	4.57141	9.78413
Length   29, alignment in bytes  0:	22.7893	4.57039	5.20657	4.57143	10.3463
Length   29, alignment in bytes  0:	23.5886	4.57153	5.14352	4.61533	10.1271
Length   30, alignment in bytes  0:	23.2788	4.57571	5.14349	4.60771	10.3331
Length   30, alignment in bytes  0:	24.1212	4.57156	5.24036	4.62361	10.333
Length   31, alignment in bytes  0:	23.9194	4.57616	5.1433	4.62106	10.0468
Length   31, alignment in bytes  0:	24.7032	4.59077	5.14331	4.64629	10.3326
