                    	simple_memchr	__memchr_avx2	__memchr_avx2_rtm	__memchr_evex	__memchr_evex_rtm	__memchr_sse2
Length   10, position   11, alignment  3:	9.79051	3.91119	2.91074	2.42444	2.90924	3.91022
Length   10, position   11, alignment  3:	9.69656	3.91577	2.90936	2.90919	2.68764	3.67918
Length   13, position   12, alignment  0:	14.1273	3.87883	3.05792	2.82016	2.66678	3.11118
Length   13, position   12, alignment  0:	12.9154	3.55563	3.83905	2.42456	2.90929	3.39407
Length   13, position   12, alignment  4:	14.2766	3.87885	3.87874	2.93997	2.90918	3.39417
Length   13, position   12, alignment  4:	15.7942	4.44095	4.41393	2.90538	3.35248	3.91702
Length   11, position   12, alignment  0:	12.3753	4.57132	4.61597	2.85736	2.85786	4
Length   11, position   12, alignment  0:	12.054	4.60133	4.57124	3.42877	3.46707	4.57126
Length   11, position   12, alignment  4:	12.6045	4.59869	4.57138	2.85738	3.42867	4.60162
Length   11, position   12, alignment  4:	12.6161	4.57149	4.61429	2.85719	3.39182	4.41373
Length   14, position   13, alignment  0:	14.4674	3.55556	3.55556	2.66675	2.6992	3.11133
Length   14, position   13, alignment  0:	13.363	3.55547	3.16985	2.66685	2.22273	3.11131
Length   14, position   13, alignment  5:	13.3705	3.59377	2.66689	2.66681	2.66679	3.14793
Length   14, position   13, alignment  5:	13.8154	3.55566	3.55553	2.70084	2.40016	3.39412
Length   12, position   13, alignment  0:	10.9388	3.97441	3.90836	2.9093	2.90932	3.8788
Length   12, position   13, alignment  0:	10.3729	3.55568	3.59172	2.2227	2.82637	3.97813
Length   12, position   13, alignment  5:	13.0933	4.57126	3.43028	3.41759	3.42877	4.00014
Length   12, position   13, alignment  5:	12.8208	4.61162	3.4303	3.42868	3.42883	4.17499
Length   15, position   14, alignment  0:	18.8972	4.61758	4.57152	2.8575	3.47206	4.00032
Length   15, position   14, alignment  0:	18.3995	4.40456	3.09833	2.58089	2.58127	3.65678
Length   15, position   14, alignment  6:	17.0751	4.12926	4.17371	3.03421	2.42453	3.47935
Length   15, position   14, alignment  6:	16.0432	4.12917	3.09854	2.61414	3.09711	3.09714
Length   13, position   14, alignment  0:	13.9784	4.17871	4.1292	3.09702	3.12976	3.61336
Length   13, position   14, alignment  0:	13.9746	4.12923	3.63849	3.09698	3.09698	3.61324
Length   13, position   14, alignment  6:	14.0113	4.12901	4.12918	3.14238	3.09689	4.12901
Length   13, position   14, alignment  6:	14.7848	4.44969	3.31177	2.75897	3.31053	3.95663
Length   16, position   15, alignment  0:	12.5764	4.12924	3.0984	3.1302	3.09705	3.6132
