                    	simple_memrchr	__memrchr_avx2	__memrchr_avx2_rtm	__memrchr_evex	__memrchr_sse2
Length   13, position   14, alignment  6:	12.9432	3.99995	5.33289	3.4576	4.4444
Length   15, position    1, alignment  0:	14.2717	3.83641	4.57149	3.394	4.36363
Length   15, position    2, alignment  0:	14.2168	3.87981	4.84946	3.07712	4.36342
Length   16, position   15, alignment  0:	4.36354	3.92229	4.62155	3.5493	4.03886
Length   16, position   15, alignment  0:	3.99962	3.55643	4.47362	3.11121	3.99966
Length   16, position   15, alignment  7:	4.03505	4.4442	6.04102	3.99651	5.9258
Length   16, position   15, alignment  7:	5.37009	5.92551	7.15199	3.9622	5.79385
Length   14, position   15, alignment  0:	12.8838	4.5726	5.71466	4.18243	5.0831
Length   14, position   15, alignment  0:	16.6931	4.41516	6.62047	3.93536	4.92998
Length   14, position   15, alignment  7:	15.1417	4.25577	5.33308	3.11121	4.08563
Length   14, position   15, alignment  7:	13.8803	4.36359	5.85559	3.3943	4.84862
Length   16, position    1, alignment  0:	11.033	3.58932	4.44499	3.55568	3.65024
Length   16, position    2, alignment  0:	14.1938	3.87868	4.36557	3.43483	4.36345
Length   17, position   16, alignment  0:	4.2561	3.91782	5.33299	3.94012	2.90948
Length   17, position   16, alignment  0:	4.36348	3.87874	4.87819	3.39392	2.9091
Length   17, position   16, alignment  0:	4.40399	3.87958	4.48979	3.60609	2.66669
Length   17, position   16, alignment  0:	3.99937	3.59854	4.00163	3.11127	2.3345
Length   15, position   16, alignment  0:	9.93073	4.49139	5.33296	3.55655	3.11435
Length   15, position   16, alignment  0:	9.81401	4.48714	5.33304	3.99982	3.50491
Length   15, position   16, alignment  0:	12.5486	5.71396	6.88219	5.14256	4.60695
Length   15, position   16, alignment  0:	12.6562	5.71388	6.54842	5.14267	5.14256
Length   17, position    1, alignment  0:	14.5143	4.571	6.2439	4.00015	3.42924
Length   17, position    2, alignment  0:	13.9437	4.60202	6.28503	4.10161	3.43372
Length   18, position   17, alignment  0:	5.1425	4.6147	5.91624	4.12909	2.36705
Length   18, position   17, alignment  0:	3.13438	3.55684	4.48618	3.11101	2.6667
Length   18, position   17, alignment  1:	3.99947	4.47916	5.33322	2.9707	2.70039
Length   18, position   17, alignment  1:	3.99956	4.44417	5.37712	2.97063	2.66667
Length   16, position   17, alignment  0:	10.7476	4.44424	4.92393	3.55655	2.66859
