                    	simple_STRCHR	__strchr_avx2	__strchr_avx2_rtm	__strchr_evex	__strchr_sse2_no_bsf	__strchr_sse2
Length   26, alignment in bytes  0:	48.7107	2.85718	4.57101	2.90164	6.74748	5.04196
Length   26, alignment in bytes  0:	48.7385	2.85718	4.57098	2.88364	6.74733	4.88657
Length   27, alignment in bytes  0:	48.9216	2.75887	4.41364	2.75873	6.93556	4.71892
Length   27, alignment in bytes  0:	48.6895	2.75874	4.45866	2.75865	6.92372	4.71846
Length   28, alignment in bytes  0:	49.8199	2.75868	4.45732	2.75862	5.51854	4.76613
Length   28, alignment in bytes  0:	48.5153	2.58096	4.12883	2.62637	5.0148	4.14011
Length   29, alignment in bytes  0:	46.7847	2.84033	4.60529	2.85722	6.45213	4.91182
Length   29, alignment in bytes  0:	52.6989	2.85727	4.6163	2.85715	6.48822	4.88681
Length   30, alignment in bytes  0:	52.1918	2.58084	4.16235	2.58063	6.54333	4.71924
Length   30, alignment in bytes  0:	52.5536	2.80151	4.41348	2.7587	6.98566	4.71811
Length   31, alignment in bytes  0:	54.4389	2.58083	4.12885	2.58075	6.19305	4.6501
Length   31, alignment in bytes  0:	54.1926	2.75894	4.41347	2.75874	6.66167	4.71828
Length   32, alignment in bytes  0:	58.3554	4.00027	5.20438	3.43056	7.75099	4.88687
Length   32, alignment in bytes  1:	59.0126	3.34514	4.16739	3.31192	8.03758	4.89085
Length   64, alignment in bytes  0:	40.0061	3.92435	5.51761	4.41437	10.041	9.19531
Length   64, alignment in bytes  2:	39.9062	3.90625	5.51729	4.41425	9.7702	9.11784
Length  128, alignment in bytes  0:	74.6889	5.51941	5.92726	5.34511	13.7138	12.1593
Length  128, alignment in bytes  3:	80.6809	4.86452	4.44521	4.00815	11.8101	9.15125
Length  256, alignment in bytes  0:	171.737	9.89636	9.57306	8.02448	18.5513	14.1125
Length  256, alignment in bytes  4:	146.588	8.63081	8.49959	7.90363	20.4696	14.1717
Length  512, alignment in bytes  0:	296.105	16.1138	16.989	14.1182	42.8667	26.9306
Length  512, alignment in bytes  5:	292.863	13.4387	13.9034	11.5824	37.4817	22.8562
Length 1024, alignment in bytes  0:	569.376	22.0335	22.9169	22.841	79.5031	42.7544
Length 1024, alignment in bytes  6:	566.89	25.5642	23.3112	19.7835	67.81	40.3406
Length 2048, alignment in bytes  0:	1085.98	45.5873	46.0961	40.7998	141.218	78.7883
Length 2048, alignment in bytes  7:	1108.38	48.1408	48.1491	39.1074	135.708	88.8389
Length   32, alignment in bytes  0:	24.5222	3.13094	4.1302	3.61295	7.55219	4.41087
