                                	simple_strpbrk	__strpbrk_sse42	__strpbrk_sse2
Length   52, alignment  0, rej len  6:	213.433	8.51465	46.1143
Length   53, alignment  0, rej len  6:	226.929	8.9082	47.0117
Length   54, alignment  0, rej len  6:	233.444	8.90625	47.3291
Length   55, alignment  0, rej len  6:	239.082	9.65918	47.499
Length   56, alignment  0, rej len  6:	239.451	8.5459	48.6045
Length   57, alignment  0, rej len  6:	240.315	8.52637	48.957
Length   58, alignment  0, rej len  6:	243.106	8.40332	48.9834
Length   59, alignment  0, rej len  6:	248.854	8.52539	47.8857
Length   60, alignment  0, rej len  6:	251.854	8.52246	46.6592
Length   61, alignment  0, rej len  6:	256.883	8.56152	46.8535
Length   62, alignment  0, rej len  6:	266.168	9.32715	53.5693
Length   63, alignment  0, rej len  6:	282.536	11.9492	60.9287
