                            	generic_wcsncat	wcsncat
Length  512/ 128, alignment  2/ 4, N  128:	37.2106	37.1837
Length 1024/ 256, alignment  0/ 0, N  128:	31.9774	34.966
Length 1024/ 256, alignment  1/ 6, N  128:	41.1047	39.6407
Length   16/   1, alignment  1/ 2, N  128:	23.9664	23.9478
Length   16/   1, alignment  2/ 1, N  128:	23.7224	23.5107
Length   16/  10, alignment  1/ 1, N  128:	22.7112	23.5982
Length   32/   1, alignment  2/ 4, N  128:	22.2019	22.3342
Length   32/   1, alignment  4/ 2, N  128:	22.1995	22.3774
Length   32/  10, alignment  2/ 2, N  128:	22.9661	23.3913
Length   64/   1, alignment  3/ 6, N  128:	24.8215	25.216
Length   64/   1, alignment  6/ 3, N  128:	24.8074	25.187
Length   64/  10, alignment  3/ 3, N  128:	26.4709	26.6208
Length  128/   1, alignment  4/ 0, N  128:	30.6771	32.3876
Length  128/   1, alignment  0/ 4, N  128:	32.1799	30.0618
Length  128/  10, alignment  4/ 4, N  128:	30.6821	30.6082
Length  256/   1, alignment  5/ 2, N  128:	30.0362	30.3616
Length  256/   1, alignment  2/ 5, N  128:	30.5739	30.2526
Length  256/  10, alignment  5/ 5, N  128:	30.7294	30.5066
Length  512/   1, alignment  6/ 4, N  128:	28.2883	28.6038
Length  512/   1, alignment  4/ 6, N  128:	28.2738	28.9132
Length  512/  10, alignment  6/ 6, N  128:	24.7493	25.0674
Length 1024/   1, alignment  7/ 6, N  128:	28.121	28.5092
Length 1024/   1, alignment  6/ 7, N  128:	28.1782	28.5629
Length 1024/  10, alignment  7/ 7, N  128:	28.7471	28.6141
Length    2/   2, alignment  0/ 2, N  512:	17.5901	17.4941
Length    4/   4, alignment  0/ 0, N  512:	17.4549	17.6047
Length    4/   4, alignment  4/ 0, N  512:	18.4412	18.579
Length    8/   8, alignment  0/ 0, N  512:	19.2597	19.0952
Length    8/   8, alignment  0/ 0, N  512:	19.2454	19.2677
Length   16/  16, alignment  0/ 0, N  512:	19.6136	19.8275
Length   16/  16, alignment  7/ 2, N  512:	22.7078	22.8504
Length   16/   4, alignment  0/ 0, N  512:	22.1918	22.4398
Length   16/   4, alignment  7/ 2, N  512:	22.1923	22.4052
Length   32/  32, alignment  0/ 0, N  512:	20.9236	20.9656
Length   32/  32, alignment  6/ 4, N  512:	23.9423	22.7079
Length   32/   8, alignment  0/ 0, N  512:	23.1162	22.7078
Length   32/   8, alignment  6/ 4, N  512:	23.8036	24.3839
Length   64/  64, alignment  0/ 0, N  512:	28.3162	28.1014
Length   64/  64, alignment  5/ 6, N  512:	30.7632	30.7365
Length   64/  16, alignment  0/ 0, N  512:	24.8469	24.9968
Length   64/  16, alignment  5/ 6, N  512:	27.3099	27.5923
Length  128/ 128, alignment  0/ 0, N  512:	32.2109	32.5542
Length  128/ 128, alignment  4/ 0, N  512:	32.5748	32.5278
Length  128/  32, alignment  0/ 0, N  512:	28.9831	28.9893
Length  128/  32, alignment  4/ 0, N  512:	28.7356	28.9096
Length  256/ 256, alignment  0/ 0, N  512:	46.9316	43.4258
Length  256/ 256, alignment  3/ 2, N  512:	52.6111	51.0959
Length  256/  64, alignment  0/ 0, N  512:	46.6305	46.7656
Length  256/  64, alignment  3/ 2, N  512:	55.1247	54.2062
Length  512/ 512, alignment  0/ 0, N  512:	74.11	73.3728
Length  512/ 512, alignment  2/ 4, N  512:	89.4536	85.4258
Length  512/ 128, alignment  0/ 0, N  512:	51.817	51.3482
Length  512/ 128, alignment  2/ 4, N  512:	66.1829	66.1675
Length 1024/ 256, alignment  0/ 0, N  512:	58.4005	58.6027
Length 1024/ 256, alignment  1/ 6, N  512:	67.715	67.9987
Length   16/   1, alignment  1/ 2, N  512:	22.1919	22.4126
Length   16/   1, alignment  2/ 1, N  512:	21.3041	20.9271
Length   16/  10, alignment  1/ 1, N  512:	21.4875	21.3321
Length   32/   1, alignment  2/ 4, N  512:	20.9981	21.4635
Length   32/   1, alignment  4/ 2, N  512:	21.2259	24.8654
Length   32/  10, alignment  2/ 2, N  512:	26.4223	25.1397
Length   64/   1, alignment  3/ 6, N  512:	28.1266	27.8075
Length   64/   1, alignment  6/ 3, N  512:	28.5826	28.9438
Length   64/  10, alignment  3/ 3, N  512:	30.0811	30.2161
Length  128/   1, alignment  4/ 0, N  512:	34.8589	35.142
Length  128/   1, alignment  0/ 4, N  512:	35.1196	35.1395
Length  128/  10, alignment  4/ 4, N  512:	35.5602	35.3602
Length  256/   1, alignment  5/ 2, N  512:	46.2339	41.8201
Length  256/   1, alignment  2/ 5, N  512:	41.0478	42.0699
Length  256/  10, alignment  5/ 5, N  512:	41.2538	41.3375
Length  512/   1, alignment  6/ 4, N  512:	55.9787	60.2623
Length  512/   1, alignment  4/ 6, N  512:	63.347	63.1696
Length  512/  10, alignment  6/ 6, N  512:	60.9249	60.7281
Length 1024/   1, alignment  7/ 6, N  512:	55.2275	55.054
Length 1024/   1, alignment  6/ 7, N  512:	63.8901	63.0948
Length 1024/  10, alignment  7/ 7, N  512:	65.9736	65.5994
