                    	simple_STRCHRNUL	__strchrnul_avx2	__strchrnul_avx2_rtm	__strchrnul_evex	__strchrnul_sse2
Length 1024, alignment in bytes  6:	587.96	26.7337	26.7383	22.8839	48.1174
Length 2048, alignment in bytes  0:	1148.64	47.8852	49.7998	42.3192	95.6116
Length 2048, alignment in bytes  7:	1164.03	39.5294	45.308	40.8015	86.6502
Length   32, alignment in bytes  0:	19.7553	3.04211	3.403	3.39403	3.90915
Length   32, alignment in bytes  1:	18.5195	3.39407	3.43933	3.39395	3.88121
Length   64, alignment in bytes  0:	34.1651	3.39426	3.91016	3.5556	7.5556
Length   64, alignment in bytes  2:	36.0166	3.61311	5.16095	4.16536	8.26318
Length  128, alignment in bytes  0:	66.1249	4.51234	4.41042	4.36371	9.76985
Length  128, alignment in bytes  3:	67.5947	5.17598	5.14604	5.14275	11.5442
Length  256, alignment in bytes  0:	173.463	10.7298	11.2942	9.60933	16.8882
Length  256, alignment in bytes  4:	161.529	10.7301	11.3353	9.5744	17.2665
Length  512, alignment in bytes  0:	288.977	14.2017	13.8551	11.9529	24.703
Length  512, alignment in bytes  5:	290.306	16.5503	16.6047	14.0717	27.9226
Length 1024, alignment in bytes  0:	571.991	26.7525	26.7353	22.6362	41.0491
Length 1024, alignment in bytes  6:	561.475	26.752	26.8068	22.9015	43.7222
Length 2048, alignment in bytes  0:	1094.02	48.1622	48.0214	33.0621	70.1059
Length 2048, alignment in bytes  7:	1041.35	48.1621	47.7286	40.8202	90.2106
Length   64, alignment in bytes  1:	36.4823	3.61316	5.19536	4.12895	8.29184
Length   64, alignment in bytes  1:	34.8711	3.85867	4.57257	4.60562	9.14113
Length   64, alignment in bytes  2:	40.4159	3.99998	4.0052	4.62392	9.18907
Length   64, alignment in bytes  2:	39.9458	3.68341	4.89838	3.55547	7.26666
Length   64, alignment in bytes  3:	31.4524	3.11113	4.33398	3.55557	7.11182
Length   64, alignment in bytes  3:	37.9797	3.61295	3.61722	4.1765	8.25793
Length   64, alignment in bytes  4:	36.9522	3.90012	5.51831	4.41379	8.35626
Length   64, alignment in bytes  4:	34.0194	3.11105	4.00175	3.65404	7.20522
Length   64, alignment in bytes  5:	35.6012	4.04732	5.14529	4.57121	9.1848
Length   64, alignment in bytes  5:	40.389	4.04172	6.28493	4.61386	9.14217
Length   64, alignment in bytes  6:	37.6887	3.39394	4.84929	3.91721	7.50305
Length   64, alignment in bytes  6:	31.6558	3.14381	4.97316	3.58688	8.44557
Length   64, alignment in bytes  7:	40.4336	3.99989	6.25552	4.57109	9.17509
Length   64, alignment in bytes  7:	40.2891	3.61281	5.05717	4.2663	7.32051
Length  256, alignment in bytes  0:	150.846	8.29567	8.57809	7.21657	12.9227
Length  256, alignment in bytes  0:	153.651	9.50014	9.88026	8.38295	15.007
Length  256, alignment in bytes 16:	163.536	10.6871	11.3314	9.61319	17.2599
Length  256, alignment in bytes 16:	166.113	10.7207	11.3336	9.61674	17.2156
Length  256, alignment in bytes 32:	152.504	11.251	11.261	10.1913	17.2765
Length  256, alignment in bytes 32:	164.777	9.41258	9.24693	8.3083	14.7749
Length  256, alignment in bytes 48:	164.528	11.3119	11.878	10.1973	17.2278
Length  256, alignment in bytes 48:	147.495	10.1882	10.4501	8.88083	16.2735
Length  256, alignment in bytes 64:	170.201	10.2897	10.353	9.3325	15.003
Length  256, alignment in bytes 64:	170.615	11.4815	10.1785	8.72464	14.104
Length  256, alignment in bytes 80:	150.172	10.3338	10.3226	9.15875	14.2471
