                       	strcasestr	simple_strcasestr
Length   14/2, alignment  0/ 0, found:	32.3594	48.75
Length   14/2, alignment  0/ 0, fail:	35.5781	50.9375
Length   14/2, alignment  0/ 3, found:	32.6641	47.4062
Length   14/2, alignment  0/ 3, fail:	34.9844	50.5469
Length   14/2, alignment  0/ 9, found:	32.4531	47.4062
Length   14/2, alignment  0/ 9, fail:	34.6562	50.4141
Length   14/2, alignment  0/15, found:	33.4219	47.4688
Length   14/2, alignment  0/15, fail:	34.2969	51.6328
Length   14/2, alignment  3/ 0, found:	33.3359	49.8906
Length   14/2, alignment  3/ 0, fail:	35.8984	50.6094
Length   14/2, alignment  3/ 3, found:	31.9766	48.375
Length   14/2, alignment  3/ 3, fail:	34.1641	51.5703
Length   14/2, alignment  3/ 9, found:	31.9688	47.3438
Length   14/2, alignment  3/ 9, fail:	34.7969	51.4297
Length   14/2, alignment  3/15, found:	32.3125	48.0859
Length   14/2, alignment  3/15, fail:	34.6172	52.5625
Length   14/2, alignment  9/ 0, found:	32.6875	48.5625
Length   14/2, alignment  9/ 0, fail:	34.8828	51.5312
Length   14/2, alignment  9/ 3, found:	32.3125	48.4766
Length   14/2, alignment  9/ 3, fail:	34.4609	51.4297
Length   14/2, alignment  9/ 9, found:	32.1641	48.2031
Length   14/2, alignment  9/ 9, fail:	34.4219	50.8672
Length   14/2, alignment  9/15, found:	33.0781	47.2969
Length   14/2, alignment  9/15, fail:	34.4297	50.8594
Length   14/2, alignment 15/ 0, found:	33.4062	48.1016
Length   14/2, alignment 15/ 0, fail:	34.8047	50.8359
Length   14/2, alignment 15/ 3, found:	33.2969	48.1953
Length   14/2, alignment 15/ 3, fail:	33.9375	51.3906
Length   14/2, alignment 15/ 9, found:	35.0156	48.125
Length   14/2, alignment 15/ 9, fail:	37.4375	52.4766
Length   14/2, alignment 15/15, found:	35.5625	71.4375
Length   14/2, alignment 15/15, fail:	39.5703	51.4375
Length   16/2, alignment  0/ 0, found:	36.5547	52.5938
Length   16/2, alignment  0/ 0, fail:	31.5469	53.8828
Length   16/2, alignment  0/ 3, found:	37.4141	51.8594
Length   16/2, alignment  0/ 3, fail:	32.7578	52.7969
Length   16/2, alignment  0/ 9, found:	37.7031	53.2734
Length   16/2, alignment  0/ 9, fail:	32.6797	51.3594
Length   16/2, alignment  0/15, found:	37.2734	53.0781
Length   16/2, alignment  0/15, fail:	32.6484	51.125
Length   16/2, alignment  3/ 0, found:	37.3438	51.4688
Length   16/2, alignment  3/ 0, fail:	34.9297	52.9297
Length   16/2, alignment  3/ 3, found:	37.7656	51.9375
Length   16/2, alignment  3/ 3, fail:	31.625	52.5938
Length   16/2, alignment  3/ 9, found:	38.1328	52.1094
Length   16/2, alignment  3/ 9, fail:	32.1797	50.3906
Length   16/2, alignment  3/15, found:	37.3203	52.5391
Length   16/2, alignment  3/15, fail:	31.1562	52.5625
Length   16/2, alignment  9/ 0, found:	35.9922	51.5859
Length   16/2, alignment  9/ 0, fail:	31.1719	50.8984
Length   16/2, alignment  9/ 3, found:	38.1094	51.4609
Length   16/2, alignment  9/ 3, fail:	32.2578	53.0938
Length   16/2, alignment  9/ 9, found:	38.0391	51.4531
Length   16/2, alignment  9/ 9, fail:	32.5156	52.0391
Length   16/2, alignment  9/15, found:	39.7266	50.9219
Length   16/2, alignment  9/15, fail:	32.4062	52.0156
Length   16/2, alignment 15/ 0, found:	39.3047	51.8672
Length   16/2, alignment 15/ 0, fail:	32.6016	52.0547
Length   16/2, alignment 15/ 3, found:	37.7188	51.4297
Length   16/2, alignment 15/ 3, fail:	33.7812	52.5469
Length   16/2, alignment 15/ 9, found:	38.25	52.5781
Length   16/2, alignment 15/ 9, fail:	32.2656	50.9688
Length   16/2, alignment 15/15, found:	37.0469	53.1484
Length   16/2, alignment 15/15, fail:	31.125	50.5781
Length   18/2, alignment  0/ 0, found:	33.5859	54.4375
Length   18/2, alignment  0/ 0, fail:	34.5	53.4688
Length   18/2, alignment  0/ 3, found:	33.5312	52.2969
Length   18/2, alignment  0/ 3, fail:	32.8594	52.8047
Length   18/2, alignment  0/ 9, found:	34.5625	52.625
Length   18/2, alignment  0/ 9, fail:	33.7812	53.9375
Length   18/2, alignment  0/15, found:	34.5	53.2656
Length   18/2, alignment  0/15, fail:	33.2188	53.7969
Length   18/2, alignment  3/ 0, found:	34.0156	52.1172
Length   18/2, alignment  3/ 0, fail:	33.7891	53.75
Length   18/2, alignment  3/ 3, found:	33.875	53.1875
Length   18/2, alignment  3/ 3, fail:	34.8516	53.7578
Length   18/2, alignment  3/ 9, found:	35.3906	53.4297
Length   18/2, alignment  3/ 9, fail:	34.9453	54.9375
Length   18/2, alignment  3/15, found:	35.6172	54.0156
Length   18/2, alignment  3/15, fail:	37.6562	55.0469
Length   18/2, alignment  9/ 0, found:	36.6328	52.6172
Length   18/2, alignment  9/ 0, fail:	33.3516	52.8984
Length   18/2, alignment  9/ 3, found:	33.5078	52.1953
Length   18/2, alignment  9/ 3, fail:	33.7422	52.8906
Length   18/2, alignment  9/ 9, found:	34.75	53.0156
Length   18/2, alignment  9/ 9, fail:	33.75	52.7422
Length   18/2, alignment  9/15, found:	35.5312	52.2578
Length   18/2, alignment  9/15, fail:	34.8594	52.6719
Length   18/2, alignment 15/ 0, found:	34.1562	51.8203
Length   18/2, alignment 15/ 0, fail:	33.7969	52.6016
Length   18/2, alignment 15/ 3, found:	55.6406	53.4609
Length   18/2, alignment 15/ 3, fail:	39.7656	54.0781
Length   18/2, alignment 15/ 9, found:	39.7891	53.2344
Length   18/2, alignment 15/ 9, fail:	39.7656	54.2188
Length   18/2, alignment 15/15, found:	38.8047	51.9688
Length   18/2, alignment 15/15, fail:	38.1328	52.7734
Length   20/2, alignment  0/ 0, found:	34.5703	55.1172
Length   20/2, alignment  0/ 0, fail:	35.3125	55.5781
Length   20/2, alignment  0/ 3, found:	33.6094	54.5547
Length   20/2, alignment  0/ 3, fail:	34	55.3516
Length   20/2, alignment  0/ 9, found:	34.2891	53.7734
Length   20/2, alignment  0/ 9, fail:	35.1016	56.0156
Length   20/2, alignment  0/15, found:	36.7344	55.8828
Length   20/2, alignment  0/15, fail:	35.9844	57.0625
Length   20/2, alignment  3/ 0, found:	34.5703	55.9766
Length   20/2, alignment  3/ 0, fail:	32.75	55.9609
