                       	strcasestr	simple_strcasestr
Length   70/14, alignment  0/ 3, found:	88.1562	167.906
Length   70/14, alignment  0/ 3, fail:	83.5391	142.961
Length   70/14, alignment  0/ 9, found:	87.6953	168.234
Length   70/14, alignment  0/ 9, fail:	85.2812	156.867
Length   70/14, alignment  0/15, found:	92.4609	190.492
Length   70/14, alignment  0/15, fail:	99.9766	181.891
Length   70/14, alignment  3/ 0, found:	114.367	210.914
Length   70/14, alignment  3/ 0, fail:	106.695	178.852
Length   70/14, alignment  3/ 3, found:	110.18	216.367
Length   70/14, alignment  3/ 3, fail:	108.43	181.922
Length   70/14, alignment  3/ 9, found:	110.164	241.234
Length   70/14, alignment  3/ 9, fail:	109.359	183.789
Length   70/14, alignment  3/15, found:	111.047	216.984
Length   70/14, alignment  3/15, fail:	110.992	186.898
Length   70/14, alignment  9/ 0, found:	106.789	215.914
Length   70/14, alignment  9/ 0, fail:	111.328	189.352
Length   70/14, alignment  9/ 3, found:	110.484	215.727
Length   70/14, alignment  9/ 3, fail:	108.344	187.5
Length   70/14, alignment  9/ 9, found:	109.055	216.227
Length   70/14, alignment  9/ 9, fail:	107.297	188.203
Length   70/14, alignment  9/15, found:	110.641	215.312
Length   70/14, alignment  9/15, fail:	108.594	188.055
Length   70/14, alignment 15/ 0, found:	110.727	215.586
Length   70/14, alignment 15/ 0, fail:	109.227	187.906
Length   70/14, alignment 15/ 3, found:	110.18	216.297
Length   70/14, alignment 15/ 3, fail:	107.688	188.32
Length   70/14, alignment 15/ 9, found:	110.469	215.117
Length   70/14, alignment 15/ 9, fail:	109.992	192.562
Length   70/14, alignment 15/15, found:	110.258	215.867
Length   70/14, alignment 15/15, fail:	107.945	204.586
Length   84/14, alignment  0/ 0, found:	120.508	232.305
Length   84/14, alignment  0/ 0, fail:	117.109	200.289
Length   84/14, alignment  0/ 3, found:	119.688	231.695
Length   84/14, alignment  0/ 3, fail:	117.352	201.312
Length   84/14, alignment  0/ 9, found:	119.961	232.25
Length   84/14, alignment  0/ 9, fail:	120.445	203.117
Length   84/14, alignment  0/15, found:	119.445	232.289
Length   84/14, alignment  0/15, fail:	121.625	203.43
Length   84/14, alignment  3/ 0, found:	119.555	232.109
Length   84/14, alignment  3/ 0, fail:	118.312	195.336
Length   84/14, alignment  3/ 3, found:	114.742	233.359
Length   84/14, alignment  3/ 3, fail:	119.102	200.102
Length   84/14, alignment  3/ 9, found:	119.406	232.469
Length   84/14, alignment  3/ 9, fail:	120.773	203.477
Length   84/14, alignment  3/15, found:	120.031	231.547
Length   84/14, alignment  3/15, fail:	119.867	198.875
Length   84/14, alignment  9/ 0, found:	120.875	232.422
Length   84/14, alignment  9/ 0, fail:	143.523	193.297
Length   84/14, alignment  9/ 3, found:	118.781	230.641
Length   84/14, alignment  9/ 3, fail:	120.555	192.977
Length   84/14, alignment  9/ 9, found:	114.734	232.812
Length   84/14, alignment  9/ 9, fail:	121.773	203.008
Length   84/14, alignment  9/15, found:	116.32	230.984
Length   84/14, alignment  9/15, fail:	122.805	193.688
Length   84/14, alignment 15/ 0, found:	120.289	231.922
Length   84/14, alignment 15/ 0, fail:	119.031	194.922
Length   84/14, alignment 15/ 3, found:	118.812	233.008
Length   84/14, alignment 15/ 3, fail:	119.805	193.164
Length   84/14, alignment 15/ 9, found:	118.695	232.703
Length   84/14, alignment 15/ 9, fail:	119.859	193.195
Length   84/14, alignment 15/15, found:	117.055	232.844
Length   84/14, alignment 15/15, fail:	120.297	191.867
Length   98/14, alignment  0/ 0, found:	123.148	250.203
Length   98/14, alignment  0/ 0, fail:	128.766	204.539
Length   98/14, alignment  0/ 3, found:	122.344	264.812
Length   98/14, alignment  0/ 3, fail:	132.117	203.68
Length   98/14, alignment  0/ 9, found:	126.711	248.602
Length   98/14, alignment  0/ 9, fail:	133	205.766
Length   98/14, alignment  0/15, found:	125.359	248.688
Length   98/14, alignment  0/15, fail:	137.906	204.234
Length   98/14, alignment  3/ 0, found:	129.867	249.023
Length   98/14, alignment  3/ 0, fail:	137.562	207.508
Length   98/14, alignment  3/ 3, found:	130.008	248.961
Length   98/14, alignment  3/ 3, fail:	137.188	203.961
Length   98/14, alignment  3/ 9, found:	127.867	249.984
Length   98/14, alignment  3/ 9, fail:	133.82	204.977
Length   98/14, alignment  3/15, found:	128.336	249.969
Length   98/14, alignment  3/15, fail:	131.734	212.477
Length   98/14, alignment  9/ 0, found:	127.453	248.258
Length   98/14, alignment  9/ 0, fail:	134.758	212.641
Length   98/14, alignment  9/ 3, found:	127.805	247.297
Length   98/14, alignment  9/ 3, fail:	154.547	212.203
Length   98/14, alignment  9/ 9, found:	126.391	248.789
Length   98/14, alignment  9/ 9, fail:	131.625	213.078
Length   98/14, alignment  9/15, found:	126.148	247.969
Length   98/14, alignment  9/15, fail:	132.43	211.633
Length   98/14, alignment 15/ 0, found:	126.375	248.148
Length   98/14, alignment 15/ 0, fail:	133.805	211.93
Length   98/14, alignment 15/ 3, found:	125.43	248.727
Length   98/14, alignment 15/ 3, fail:	129.883	212.805
Length   98/14, alignment 15/ 9, found:	121.789	247.609
Length   98/14, alignment 15/ 9, fail:	131.859	212.242
Length   98/14, alignment 15/15, found:	125.391	248.133
Length   98/14, alignment 15/15, fail:	131.789	212.57
Length  112/14, alignment  0/ 0, found:	130.797	265.203
Length  112/14, alignment  0/ 0, fail:	142.766	223.719
Length  112/14, alignment  0/ 3, found:	130.375	265.023
Length  112/14, alignment  0/ 3, fail:	141.414	234.586
Length  112/14, alignment  0/ 9, found:	134.461	264.227
Length  112/14, alignment  0/ 9, fail:	142.883	223
Length  112/14, alignment  0/15, found:	130.688	262.719
Length  112/14, alignment  0/15, fail:	144.734	224.102
Length  112/14, alignment  3/ 0, found:	132.297	263.25
Length  112/14, alignment  3/ 0, fail:	144.742	216.781
Length  112/14, alignment  3/ 3, found:	132.094	263.5
Length  112/14, alignment  3/ 3, fail:	142.742	222.344
Length  112/14, alignment  3/ 9, found:	131.094	264.586
Length  112/14, alignment  3/ 9, fail:	144.211	224.336
Length  112/14, alignment  3/15, found:	133.164	263.922
Length  112/14, alignment  3/15, fail:	144.07	221.867
Length  112/14, alignment  9/ 0, found:	135.156	263.789
Length  112/14, alignment  9/ 0, fail:	142.43	224.156
Length  112/14, alignment  9/ 3, found:	135.734	263.641
Length  112/14, alignment  9/ 3, fail:	164.562	224.297
Length  112/14, alignment  9/ 9, found:	135.281	263.109
Length  112/14, alignment  9/ 9, fail:	140.898	224.891
Length  112/14, alignment  9/15, found:	129.859	262.516
Length  112/14, alignment  9/15, fail:	148.188	214.406
Length  112/14, alignment 15/ 0, found:	129.805	264.469
Length  112/14, alignment 15/ 0, fail:	145.234	224.734
Length  112/14, alignment 15/ 3, found:	131.094	263.656
Length  112/14, alignment 15/ 3, fail:	145.875	214.82
Length  112/14, alignment 15/ 9, found:	130.781	262.734
Length  112/14, alignment 15/ 9, fail:	141.789	223.891
Length  112/14, alignment 15/15, found:	129.656	263.742
Length  112/14, alignment 15/15, fail:	141.68	224.203
Length  126/14, alignment  0/ 0, found:	178.102	281.719
Length  126/14, alignment  0/ 0, fail:	150.266	225.281
Length  126/14, alignment  0/ 3, found:	179.75	302.094
Length  126/14, alignment  0/ 3, fail:	153.961	236.336
Length  126/14, alignment  0/ 9, found:	181.281	280.484
Length  126/14, alignment  0/ 9, fail:	161.922	236.891
Length  126/14, alignment  0/15, found:	179.57	280.984
Length  126/14, alignment  0/15, fail:	156.133	233.461
Length  126/14, alignment  3/ 0, found:	182.328	282.461
Length  126/14, alignment  3/ 0, fail:	151.547	235.477
Length  126/14, alignment  3/ 3, found:	179.164	280.836
Length  126/14, alignment  3/ 3, fail:	154.938	234.156
Length  126/14, alignment  3/ 9, found:	180.742	280.742
Length  126/14, alignment  3/ 9, fail:	152.469	234.516
Length  126/14, alignment  3/15, found:	190.711	279.5
Length  126/14, alignment  3/15, fail:	160.594	233.398
Length  126/14, alignment  9/ 0, found:	181.289	300.961
Length  126/14, alignment  9/ 0, fail:	155.281	236.859
Length  126/14, alignment  9/ 3, found:	187.984	280.508
Length  126/14, alignment  9/ 3, fail:	155.93	234.094
Length  126/14, alignment  9/ 9, found:	179.711	280.586
Length  126/14, alignment  9/ 9, fail:	154.305	236.039
Length  126/14, alignment  9/15, found:	183.312	279.227
Length  126/14, alignment  9/15, fail:	154.883	227.953
Length  126/14, alignment 15/ 0, found:	178.391	281.062
Length  126/14, alignment 15/ 0, fail:	156.945	234.508
Length  126/14, alignment 15/ 3, found:	185.117	281.523
Length  126/14, alignment 15/ 3, fail:	156.375	238.078
Length  126/14, alignment 15/ 9, found:	178.453	284.773
Length  126/14, alignment 15/ 9, fail:	149.234	225.359
Length  126/14, alignment 15/15, found:	171.055	286.18
Length  126/14, alignment 15/15, fail:	147.867	217.758
Length  140/14, alignment  0/ 0, found:	145.781	286.945
Length  140/14, alignment  0/ 0, fail:	144.648	217.938
Length  140/14, alignment  0/ 3, found:	143.453	286.711
Length  140/14, alignment  0/ 3, fail:	141.297	227.031
Length  140/14, alignment  0/ 9, found:	147.055	286.492
Length  140/14, alignment  0/ 9, fail:	147.781	213.469
Length  140/14, alignment  0/15, found:	145.328	287.102
Length  140/14, alignment  0/15, fail:	146.969	217.648
Length  140/14, alignment  3/ 0, found:	145.789	287.453
Length  140/14, alignment  3/ 0, fail:	145.469	216.297
Length  140/14, alignment  3/ 3, found:	145.617	286.141
Length  140/14, alignment  3/ 3, fail:	146.805	216.891
Length  140/14, alignment  3/ 9, found:	145.453	286.375
Length  140/14, alignment  3/ 9, fail:	149.852	233.75
Length  140/14, alignment  3/15, found:	144.75	286.156
Length  140/14, alignment  3/15, fail:	150.766	221.805
Length  140/14, alignment  9/ 0, found:	132.43	267.703
Length  140/14, alignment  9/ 0, fail:	134.078	202.695
Length  140/14, alignment  9/ 3, found:	131.75	267.297
Length  140/14, alignment  9/ 3, fail:	133.852	203.906
Length  140/14, alignment  9/ 9, found:	138.266	267.453
Length  140/14, alignment  9/ 9, fail:	136.844	199.555
Length  140/14, alignment  9/15, found:	132.789	267.445
Length  140/14, alignment  9/15, fail:	134.586	198.805
Length  140/14, alignment 15/ 0, found:	134.758	267.812
Length  140/14, alignment 15/ 0, fail:	134.375	212.219
Length  140/14, alignment 15/ 3, found:	137.227	267.148
Length  140/14, alignment 15/ 3, fail:	139.359	212.016
Length  140/14, alignment 15/ 9, found:	132.906	266.367
Length  140/14, alignment 15/ 9, fail:	133.648	226.867
Length  140/14, alignment 15/15, found:	137.516	267.461
Length  140/14, alignment 15/15, fail:	132.977	198.195
Length  154/14, alignment  0/ 0, found:	140.445	283.07
Length  154/14, alignment  0/ 0, fail:	179.852	213.375
Length  154/14, alignment  0/ 3, found:	141.883	282.492
Length  154/14, alignment  0/ 3, fail:	154.977	209.039
Length  154/14, alignment  0/ 9, found:	144.508	283.008
Length  154/14, alignment  0/ 9, fail:	149.383	213.375
Length  154/14, alignment  0/15, found:	143.023	282.492
Length  154/14, alignment  0/15, fail:	149.602	209.32
Length  154/14, alignment  3/ 0, found:	144.609	281.367
Length  154/14, alignment  3/ 0, fail:	151.648	224.57
Length  154/14, alignment  3/ 3, found:	142.664	281.422
Length  154/14, alignment  3/ 3, fail:	149.898	224.32
Length  154/14, alignment  3/ 9, found:	142.695	301.711
Length  154/14, alignment  3/ 9, fail:	148.805	213.719
Length  154/14, alignment  3/15, found:	142.375	281.312
Length  154/14, alignment  3/15, fail:	148.445	224.469
Length  154/14, alignment  9/ 0, found:	143.984	285.945
Length  154/14, alignment  9/ 0, fail:	153.18	229.023
Length  154/14, alignment  9/ 3, found:	142.016	285.852
Length  154/14, alignment  9/ 3, fail:	150.938	227.516
Length  154/14, alignment  9/ 9, found:	146.719	284.492
Length  154/14, alignment  9/ 9, fail:	157.086	224.016
Length  154/14, alignment  9/15, found:	147.289	285.344
Length  154/14, alignment  9/15, fail:	153.938	227.5
Length  154/14, alignment 15/ 0, found:	142.344	284.672
Length  154/14, alignment 15/ 0, fail:	151.609	225.539
Length  154/14, alignment 15/ 3, found:	146.852	285.32
Length  154/14, alignment 15/ 3, fail:	156.359	240
Length  154/14, alignment 15/ 9, found:	147.602	285.109
Length  154/14, alignment 15/ 9, fail:	154.758	212.336
Length  154/14, alignment 15/15, found:	143.258	284.211
Length  154/14, alignment 15/15, fail:	152.641	224.734
Length  168/14, alignment  0/ 0, found:	150.547	298.984
Length  168/14, alignment  0/ 0, fail:	164.18	243.734
Length  168/14, alignment  0/ 3, found:	153.781	298.422
Length  168/14, alignment  0/ 3, fail:	162.023	244.312
Length  168/14, alignment  0/ 9, found:	149.812	299.836
Length  168/14, alignment  0/ 9, fail:	159.344	240.188
Length  168/14, alignment  0/15, found:	151.109	298.797
Length  168/14, alignment  0/15, fail:	164.789	240.062
Length  168/14, alignment  3/ 0, found:	151.781	299.562
Length  168/14, alignment  3/ 0, fail:	164.242	243.398
Length  168/14, alignment  3/ 3, found:	153.586	299.961
Length  168/14, alignment  3/ 3, fail:	161.5	244.57
Length  168/14, alignment  3/ 9, found:	149.539	300.844
Length  168/14, alignment  3/ 9, fail:	162.438	244.234
Length  168/14, alignment  3/15, found:	150.039	299.312
Length  168/14, alignment  3/15, fail:	163.133	226.32
Length  168/14, alignment  9/ 0, found:	154.703	299.211
Length  168/14, alignment  9/ 0, fail:	162.312	234.062
Length  168/14, alignment  9/ 3, found:	154.758	299.758
Length  168/14, alignment  9/ 3, fail:	162.602	225.211
Length  168/14, alignment  9/ 9, found:	149.609	301.141
Length  168/14, alignment  9/ 9, fail:	166.578	239.219
Length  168/14, alignment  9/15, found:	149.5	299.969
Length  168/14, alignment  9/15, fail:	163.789	221.531
Length  168/14, alignment 15/ 0, found:	180.008	298.594
Length  168/14, alignment 15/ 0, fail:	162.062	227.211
Length  168/14, alignment 15/ 3, found:	154.586	299.891
Length  168/14, alignment 15/ 3, fail:	160.859	234.469
Length  168/14, alignment 15/ 9, found:	153.703	299.977
Length  168/14, alignment 15/ 9, fail:	163.258	237.312
Length  168/14, alignment 15/15, found:	154.695	298.875
Length  168/14, alignment 15/15, fail:	167.898	237.711
Length  182/14, alignment  0/ 0, found:	161.07	315.672
Length  182/14, alignment  0/ 0, fail:	174.266	250.125
Length  182/14, alignment  0/ 3, found:	160.656	313.664
Length  182/14, alignment  0/ 3, fail:	176.445	250.109
Length  182/14, alignment  0/ 9, found:	159.805	314.977
Length  182/14, alignment  0/ 9, fail:	171.359	267.75
Length  182/14, alignment  0/15, found:	162.031	314.297
Length  182/14, alignment  0/15, fail:	175.531	249.016
Length  182/14, alignment  3/ 0, found:	161.938	314.203
Length  182/14, alignment  3/ 0, fail:	171.797	234.758
Length  182/14, alignment  3/ 3, found:	158.594	313.336
Length  182/14, alignment  3/ 3, fail:	169.867	250.016
Length  182/14, alignment  3/ 9, found:	161.547	313.984
Length  182/14, alignment  3/ 9, fail:	170.141	245.984
Length  182/14, alignment  3/15, found:	160.898	314
Length  182/14, alignment  3/15, fail:	176.766	234.398
Length  182/14, alignment  9/ 0, found:	159.383	314.086
Length  182/14, alignment  9/ 0, fail:	181.742	230.797
Length  182/14, alignment  9/ 3, found:	150.07	295.844
Length  182/14, alignment  9/ 3, fail:	162.141	236.359
Length  182/14, alignment  9/ 9, found:	151.766	294.836
Length  182/14, alignment  9/ 9, fail:	164.867	233.891
Length  182/14, alignment  9/15, found:	151.766	294.281
Length  182/14, alignment  9/15, fail:	160.805	221.75
Length  182/14, alignment 15/ 0, found:	152.641	295.734
Length  182/14, alignment 15/ 0, fail:	163.227	221.5
Length  182/14, alignment 15/ 3, found:	149.438	296.195
Length  182/14, alignment 15/ 3, fail:	161.266	222.125
Length  182/14, alignment 15/ 9, found:	149.648	294.695
Length  182/14, alignment 15/ 9, fail:	164.047	218.102
Length  182/14, alignment 15/15, found:	152.906	295.414
Length  182/14, alignment 15/15, fail:	163.797	234.398
Length  196/14, alignment  0/ 0, found:	156.602	310.523
Length  196/14, alignment  0/ 0, fail:	172.586	271.391
Length  196/14, alignment  0/ 3, found:	158.406	308.531
Length  196/14, alignment  0/ 3, fail:	171.008	240.961
Length  196/14, alignment  0/ 9, found:	156.172	307.812
Length  196/14, alignment  0/ 9, fail:	171.984	245.062
Length  196/14, alignment  0/15, found:	159.867	309.023
Length  196/14, alignment  0/15, fail:	174.398	244.453
Length  196/14, alignment  3/ 0, found:	157.711	317.867
Length  196/14, alignment  3/ 0, fail:	179.078	248.453
Length  196/14, alignment  3/ 3, found:	167.898	319.766
Length  196/14, alignment  3/ 3, fail:	183.898	261.445
Length  196/14, alignment  3/ 9, found:	158.305	309.172
Length  196/14, alignment  3/ 9, fail:	177.883	231.492
Length  196/14, alignment  3/15, found:	166.297	310
Length  196/14, alignment  3/15, fail:	192.359	246.734
Length  196/14, alignment  9/ 0, found:	159.039	309.312
Length  196/14, alignment  9/ 0, fail:	168.852	245.82
Length  196/14, alignment  9/ 3, found:	165.953	311
Length  196/14, alignment  9/ 3, fail:	171.938	246.078
Length  196/14, alignment  9/ 9, found:	159.758	309.367
Length  196/14, alignment  9/ 9, fail:	169.719	227.398
Length  196/14, alignment  9/15, found:	159.719	308.023
Length  196/14, alignment  9/15, fail:	171.398	241.906
Length  196/14, alignment 15/ 0, found:	156.109	310.336
Length  196/14, alignment 15/ 0, fail:	171.844	241.688
Length  196/14, alignment 15/ 3, found:	156.281	311.102
Length  196/14, alignment 15/ 3, fail:	177.398	245.773
Length  196/14, alignment 15/ 9, found:	156.523	332.078
Length  196/14, alignment 15/ 9, fail:	176.594	245.664
Length  196/14, alignment 15/15, found:	159.914	310.008
Length  196/14, alignment 15/15, fail:	174.68	245.445
Length  210/14, alignment  0/ 0, found:	205.047	355.156
Length  210/14, alignment  0/ 0, fail:	183.016	249.867
Length  210/14, alignment  0/ 3, found:	202.797	355.766
Length  210/14, alignment  0/ 3, fail:	183.938	250.68
Length  210/14, alignment  0/ 9, found:	206.609	344.297
Length  210/14, alignment  0/ 9, fail:	183.453	239.477
Length  210/14, alignment  0/15, found:	200.984	354.648
Length  210/14, alignment  0/15, fail:	183.18	239.109
Length  210/14, alignment  3/ 0, found:	200.82	349.984
Length  210/14, alignment  3/ 0, fail:	202.133	255.344
Length  210/14, alignment  3/ 3, found:	197.016	353.383
Length  210/14, alignment  3/ 3, fail:	179.07	240.117
Length  210/14, alignment  3/ 9, found:	202.633	354.172
Length  210/14, alignment  3/ 9, fail:	180.156	234.172
Length  210/14, alignment  3/15, found:	205.383	352.562
Length  210/14, alignment  3/15, fail:	183.789	239.242
Length  210/14, alignment  9/ 0, found:	200.773	346.516
Length  210/14, alignment  9/ 0, fail:	178.758	239.633
Length  210/14, alignment  9/ 3, found:	199.898	345.953
Length  210/14, alignment  9/ 3, fail:	187.031	238.398
Length  210/14, alignment  9/ 9, found:	197.383	350.695
Length  210/14, alignment  9/ 9, fail:	184.305	262.922
Length  210/14, alignment  9/15, found:	199.141	348.133
Length  210/14, alignment  9/15, fail:	183.859	234.398
Length  210/14, alignment 15/ 0, found:	200.305	355.953
Length  210/14, alignment 15/ 0, fail:	184.586	240.703
Length  210/14, alignment 15/ 3, found:	200.273	355.891
Length  210/14, alignment 15/ 3, fail:	181.484	239.758
Length  210/14, alignment 15/ 9, found:	201.625	347.266
Length  210/14, alignment 15/ 9, fail:	180.203	240.031
Length  210/14, alignment 15/15, found:	202.992	352.672
Length  210/14, alignment 15/15, fail:	186.883	239.148
Length   30/15, alignment  0/ 0, found:	81.6094	149.828
Length   30/15, alignment  0/ 0, fail:	63.0547	132.211
Length   30/15, alignment  0/ 3, found:	81.0938	150.141
Length   30/15, alignment  0/ 3, fail:	62.8438	133.969
Length   30/15, alignment  0/ 9, found:	77.9141	150.062
Length   30/15, alignment  0/ 9, fail:	63.1406	132.031
Length   30/15, alignment  0/15, found:	78.0312	149.945
Length   30/15, alignment  0/15, fail:	61.5547	132.133
Length   30/15, alignment  3/ 0, found:	77.3672	148.688
Length   30/15, alignment  3/ 0, fail:	62.2422	132.68
Length   30/15, alignment  3/ 3, found:	77.9453	150.891
Length   30/15, alignment  3/ 3, fail:	65.0156	130.391
Length   30/15, alignment  3/ 9, found:	79.9297	150.047
Length   30/15, alignment  3/ 9, fail:	66.4453	132.273
Length   30/15, alignment  3/15, found:	79.9844	150.82
Length   30/15, alignment  3/15, fail:	62.9688	132.227
Length   30/15, alignment  9/ 0, found:	77.4219	150.75
Length   30/15, alignment  9/ 0, fail:	63.7188	132.172
Length   30/15, alignment  9/ 3, found:	78.1719	151.602
Length   30/15, alignment  9/ 3, fail:	64.125	133.312
Length   30/15, alignment  9/ 9, found:	77.9688	151.672
Length   30/15, alignment  9/ 9, fail:	63.3906	132.234
Length   30/15, alignment  9/15, found:	77.7344	150.75
Length   30/15, alignment  9/15, fail:	66.4375	132.227
Length   30/15, alignment 15/ 0, found:	76.8672	150.742
Length   30/15, alignment 15/ 0, fail:	65.2891	132.109
Length   30/15, alignment 15/ 3, found:	77.8672	151.688
Length   30/15, alignment 15/ 3, fail:	66.3438	130.562
Length   30/15, alignment 15/ 9, found:	77.9609	151.805
Length   30/15, alignment 15/ 9, fail:	63.2734	132.219
Length   30/15, alignment 15/15, found:	77.6719	149.969
Length   30/15, alignment 15/15, fail:	64.0859	132.203
Length   45/15, alignment  0/ 0, found:	82.7969	187.172
Length   45/15, alignment  0/ 0, fail:	78.4844	148.461
Length   45/15, alignment  0/ 3, found:	81.0703	167.766
Length   45/15, alignment  0/ 3, fail:	77.0156	149.188
Length   45/15, alignment  0/ 9, found:	81.0312	166.734
Length   45/15, alignment  0/ 9, fail:	76.7422	147.547
Length   45/15, alignment  0/15, found:	82.9297	166.578
Length   45/15, alignment  0/15, fail:	77.7734	146.289
Length   45/15, alignment  3/ 0, found:	79.6953	167.344
Length   45/15, alignment  3/ 0, fail:	76.1797	146.32
Length   45/15, alignment  3/ 3, found:	82.4375	167.344
Length   45/15, alignment  3/ 3, fail:	78.0859	146.453
Length   45/15, alignment  3/ 9, found:	80.7734	166.594
Length   45/15, alignment  3/ 9, fail:	77.5078	147.266
Length   45/15, alignment  3/15, found:	83.4922	166.07
Length   45/15, alignment  3/15, fail:	75.2656	147.156
Length   45/15, alignment  9/ 0, found:	79.6719	166.562
Length   45/15, alignment  9/ 0, fail:	76.8281	145.945
Length   45/15, alignment  9/ 3, found:	79.9531	166.531
Length   45/15, alignment  9/ 3, fail:	76.7656	147.156
Length   45/15, alignment  9/ 9, found:	79.625	166.57
Length   45/15, alignment  9/ 9, fail:	77.0234	147.102
Length   45/15, alignment  9/15, found:	81.0547	167.734
Length   45/15, alignment  9/15, fail:	79.1484	146.328
Length   45/15, alignment 15/ 0, found:	80.2812	167.133
Length   45/15, alignment 15/ 0, fail:	95.5	147.914
Length   45/15, alignment 15/ 3, found:	82.7422	166.609
Length   45/15, alignment 15/ 3, fail:	77.4219	146.414
Length   45/15, alignment 15/ 9, found:	81.0312	166.602
Length   45/15, alignment 15/ 9, fail:	77.0156	147.5
Length   45/15, alignment 15/15, found:	81.0391	168.352
Length   45/15, alignment 15/15, fail:	76.8984	145.5
Length   60/15, alignment  0/ 0, found:	93.7188	182.641
Length   60/15, alignment  0/ 0, fail:	84.0234	152.469
Length   60/15, alignment  0/ 3, found:	88.2812	181.562
Length   60/15, alignment  0/ 3, fail:	85.3828	152.945
Length   60/15, alignment  0/ 9, found:	92.7109	180.414
Length   60/15, alignment  0/ 9, fail:	85.8828	153.164
Length   60/15, alignment  0/15, found:	87.8516	181.359
Length   60/15, alignment  0/15, fail:	86.2656	152.641
Length   60/15, alignment  3/ 0, found:	87.3438	180.422
Length   60/15, alignment  3/ 0, fail:	84.625	153.109
Length   60/15, alignment  3/ 3, found:	88.2344	191.094
Length   60/15, alignment  3/ 3, fail:	90.25	162.57
Length   60/15, alignment  3/ 9, found:	97.2578	192.008
Length   60/15, alignment  3/ 9, fail:	90.8516	161.781
Length   60/15, alignment  3/15, found:	97.1641	192.852
Length   60/15, alignment  3/15, fail:	89.0859	162.562
Length   60/15, alignment  9/ 0, found:	95.125	212.758
Length   60/15, alignment  9/ 0, fail:	93.5234	167.688
Length   60/15, alignment  9/ 3, found:	98.2031	192.469
Length   60/15, alignment  9/ 3, fail:	91.5	165.992
Length   60/15, alignment  9/ 9, found:	97.5781	191.703
Length   60/15, alignment  9/ 9, fail:	90.7109	163.648
Length   60/15, alignment  9/15, found:	97.6719	192.242
Length   60/15, alignment  9/15, fail:	92.4297	168.75
Length   60/15, alignment 15/ 0, found:	96.0625	192.992
Length   60/15, alignment 15/ 0, fail:	89.9375	164.562
Length   60/15, alignment 15/ 3, found:	95.1953	192.258
Length   60/15, alignment 15/ 3, fail:	89.4609	163.883
Length   60/15, alignment 15/ 9, found:	95.4531	192.438
Length   60/15, alignment 15/ 9, fail:	89.6953	170.57
Length   60/15, alignment 15/15, found:	95.5312	192.773
Length   60/15, alignment 15/15, fail:	90.5938	168.922
Length   75/15, alignment  0/ 0, found:	104.781	208.078
Length   75/15, alignment  0/ 0, fail:	98.1328	171.117
Length   75/15, alignment  0/ 3, found:	102.539	209.492
Length   75/15, alignment  0/ 3, fail:	98.4844	170.867
Length   75/15, alignment  0/ 9, found:	106.016	209.664
Length   75/15, alignment  0/ 9, fail:	100.578	192.273
Length   75/15, alignment  0/15, found:	106.336	207.133
Length   75/15, alignment  0/15, fail:	103.016	171.008
Length   75/15, alignment  3/ 0, found:	103.445	207.344
Length   75/15, alignment  3/ 0, fail:	98.6328	170.898
Length   75/15, alignment  3/ 3, found:	100.797	208.367
Length   75/15, alignment  3/ 3, fail:	98.2578	178.062
Length   75/15, alignment  3/ 9, found:	100.289	208.82
Length   75/15, alignment  3/ 9, fail:	100.656	177.836
Length   75/15, alignment  3/15, found:	104.508	208.648
Length   75/15, alignment  3/15, fail:	100.211	178.445
Length   75/15, alignment  9/ 0, found:	101.812	208.297
Length   75/15, alignment  9/ 0, fail:	107.914	175.242
Length   75/15, alignment  9/ 3, found:	101.016	207.992
Length   75/15, alignment  9/ 3, fail:	100.508	170.188
Length   75/15, alignment  9/ 9, found:	104.391	207.75
Length   75/15, alignment  9/ 9, fail:	99.7812	170.781
Length   75/15, alignment  9/15, found:	101.938	207.211
Length   75/15, alignment  9/15, fail:	99.6641	170.109
Length   75/15, alignment 15/ 0, found:	104.43	209.453
Length   75/15, alignment 15/ 0, fail:	99.375	196.75
Length   75/15, alignment 15/ 3, found:	103.516	207.516
Length   75/15, alignment 15/ 3, fail:	100.172	170.102
Length   75/15, alignment 15/ 9, found:	104.539	208.266
Length   75/15, alignment 15/ 9, fail:	101.055	171.211
Length   75/15, alignment 15/15, found:	104.68	207.586
Length   75/15, alignment 15/15, fail:	99.0312	170.992
Length   90/15, alignment  0/ 0, found:	111.562	224.469
Length   90/15, alignment  0/ 0, fail:	107.18	180.539
Length   90/15, alignment  0/ 3, found:	114.211	223.477
Length   90/15, alignment  0/ 3, fail:	108.078	179.281
Length   90/15, alignment  0/ 9, found:	109.688	223.586
Length   90/15, alignment  0/ 9, fail:	108.25	179.844
Length   90/15, alignment  0/15, found:	111.328	223.117
Length   90/15, alignment  0/15, fail:	109.102	183.664
Length   90/15, alignment  3/ 0, found:	111.742	224.977
Length   90/15, alignment  3/ 0, fail:	108.562	181.047
Length   90/15, alignment  3/ 3, found:	113.43	224.633
Length   90/15, alignment  3/ 3, fail:	108.234	180.156
Length   90/15, alignment  3/ 9, found:	110.609	224.828
Length   90/15, alignment  3/ 9, fail:	110.086	180.945
Length   90/15, alignment  3/15, found:	111.711	223.32
Length   90/15, alignment  3/15, fail:	110.742	183.867
Length   90/15, alignment  9/ 0, found:	112.508	224.383
Length   90/15, alignment  9/ 0, fail:	109.156	180.297
