                       	oldstrsep	strsep	simple_strsep
Length   18/3, alignment 15/ 9, fail:	13.375	14.1953	83.0312
Length   18/3, alignment 15/15, found:	21.3438	23.625	46.2812
Length   18/3, alignment 15/15, fail:	13.5156	15.4219	83.0234
Length   21/3, alignment  0/ 0, found:	21.1797	23.4297	51.4922
Length   21/3, alignment  0/ 0, fail:	13.5234	11.3516	122.867
Length   21/3, alignment  0/ 3, found:	21.125	23.5469	51.2109
Length   21/3, alignment  0/ 3, fail:	12.6641	12.9531	122.852
Length   21/3, alignment  0/ 9, found:	21.1016	23.4453	51.1797
Length   21/3, alignment  0/ 9, fail:	12.7344	13.3047	122.539
Length   21/3, alignment  0/15, found:	21.1641	23.6562	51.1875
Length   21/3, alignment  0/15, fail:	12.9844	13.375	122.656
Length   21/3, alignment  3/ 0, found:	21.9062	22.8594	51.1719
Length   21/3, alignment  3/ 0, fail:	10.5859	10.3984	103.82
Length   21/3, alignment  3/ 3, found:	21.9141	22.8359	46.1016
Length   21/3, alignment  3/ 3, fail:	12.3594	12.3203	122.68
Length   21/3, alignment  3/ 9, found:	21.7031	22.8438	58.2422
Length   21/3, alignment  3/ 9, fail:	11.9688	11.6484	122.641
Length   21/3, alignment  3/15, found:	21.875	22.9297	51.1328
Length   21/3, alignment  3/15, fail:	12.2266	13.3594	122.602
Length   21/3, alignment  9/ 0, found:	21.3516	23.5234	51.1016
Length   21/3, alignment  9/ 0, fail:	10.4766	10.4609	122.609
Length   21/3, alignment  9/ 3, found:	21.0625	23.4453	51.1094
Length   21/3, alignment  9/ 3, fail:	10.3047	12.2734	120.461
Length   21/3, alignment  9/ 9, found:	19.7031	21.8516	47.6797
Length   21/3, alignment  9/ 9, fail:	11.5469	11.8828	118.219
Length   21/3, alignment  9/15, found:	20.5703	22.75	49.3906
Length   21/3, alignment  9/15, fail:	11.0156	12.3438	118.211
Length   21/3, alignment 15/ 0, found:	20.4141	22.5781	49.2812
Length   21/3, alignment 15/ 0, fail:	11.7422	14.7578	109.789
Length   21/3, alignment 15/ 3, found:	20.4297	22.5078	49.2812
Length   21/3, alignment 15/ 3, fail:	12.3672	14.3672	118.141
Length   21/3, alignment 15/ 9, found:	20.4766	22.5156	49.2734
Length   21/3, alignment 15/ 9, fail:	14.5625	14.1797	109.891
Length   21/3, alignment 15/15, found:	20.4844	22.8281	49.2656
Length   21/3, alignment 15/15, fail:	13.3047	14.3359	109.742
Length   16/4, alignment  0/ 0, found:	20.3906	22.5547	53.1797
Length   16/4, alignment  0/ 0, fail:	12.2031	10.8281	119.766
Length   16/4, alignment  0/ 3, found:	20.3516	22.5703	51.7734
Length   16/4, alignment  0/ 3, fail:	11.6875	12.625	120.648
Length   16/4, alignment  0/ 9, found:	20.3438	22.5625	51.6016
Length   16/4, alignment  0/ 9, fail:	11.6719	12.3594	120.664
Length   16/4, alignment  0/15, found:	20.5625	22.7266	49.8906
Length   16/4, alignment  0/15, fail:	13.0703	13.7734	100.516
Length   16/4, alignment  3/ 0, found:	21.1562	22.1094	50.4531
Length   16/4, alignment  3/ 0, fail:	9.92969	10.2969	117.617
Length   16/4, alignment  3/ 3, found:	21.0156	22.1875	50.4453
Length   16/4, alignment  3/ 3, fail:	10.2891	12.6172	122.188
Length   16/4, alignment  3/ 9, found:	20.9609	22.0859	50.4453
Length   16/4, alignment  3/ 9, fail:	10.3594	11.9062	103.312
Length   16/4, alignment  3/15, found:	21.1484	22.1797	50.4453
Length   16/4, alignment  3/15, fail:	12.0156	11.7969	113.164
Length   16/4, alignment  9/ 0, found:	20.4609	22.6016	50.4375
Length   16/4, alignment  9/ 0, fail:	9.94531	10.0625	113.742
Length   16/4, alignment  9/ 3, found:	20.4922	22.5703	50.4531
Length   16/4, alignment  9/ 3, fail:	10.0234	11.8828	113.148
Length   16/4, alignment  9/ 9, found:	20.4375	22.5781	50.4531
Length   16/4, alignment  9/ 9, fail:	11.5547	11.1094	116.031
Length   16/4, alignment  9/15, found:	20.4922	22.7969	51.625
Length   16/4, alignment  9/15, fail:	10.9688	12.2891	106.828
Length   16/4, alignment 15/ 0, found:	20.4375	22.6172	51.5938
Length   16/4, alignment 15/ 0, fail:	9.9375	10.1094	120.375
Length   16/4, alignment 15/ 3, found:	20.3359	22.6094	51.625
Length   16/4, alignment 15/ 3, fail:	10.3516	11.7734	106.297
Length   16/4, alignment 15/ 9, found:	20.2969	22.6094	47.625
Length   16/4, alignment 15/ 9, fail:	9.9375	11.8359	93.2422
Length   16/4, alignment 15/15, found:	20.5078	22.7422	47.625
Length   16/4, alignment 15/15, fail:	11.6641	12.3828	94.2578
Length   20/4, alignment  0/ 0, found:	20.3828	22.7031	56.5391
Length   20/4, alignment  0/ 0, fail:	12.2031	11.2891	98.0156
Length   20/4, alignment  0/ 3, found:	20.4219	22.6797	56.2266
Length   20/4, alignment  0/ 3, fail:	11.7188	13.5	96.8516
Length   20/4, alignment  0/ 9, found:	20.3359	22.6719	55.7031
Length   20/4, alignment  0/ 9, fail:	12.1797	12.3203	98.0234
Length   20/4, alignment  0/15, found:	20.5078	22.75	56.2656
Length   20/4, alignment  0/15, fail:	13.2188	13.5156	97.9609
Length   20/4, alignment  3/ 0, found:	21.0078	22.0938	55.6094
Length   20/4, alignment  3/ 0, fail:	9.97656	10.0547	110.727
Length   20/4, alignment  3/ 3, found:	20.9844	22.1875	59.1953
Length   20/4, alignment  3/ 3, fail:	10.3828	11.7188	110.641
Length   20/4, alignment  3/ 9, found:	20.9141	22.1797	59.1484
Length   20/4, alignment  3/ 9, fail:	9.95312	11.6875	110.211
Length   20/4, alignment  3/15, found:	21.1875	22.1875	61.2969
Length   20/4, alignment  3/15, fail:	10.8672	12.3203	110.25
Length   20/4, alignment  9/ 0, found:	20.4219	22.6484	59.2188
Length   20/4, alignment  9/ 0, fail:	10.1328	10.0859	111.594
Length   20/4, alignment  9/ 3, found:	20.375	22.7656	60.6406
Length   20/4, alignment  9/ 3, fail:	11.5547	11.6875	111.625
Length   20/4, alignment  9/ 9, found:	20.2891	22.6094	59.1172
Length   20/4, alignment  9/ 9, fail:	11.5234	11.8359	110.172
Length   20/4, alignment  9/15, found:	20.7891	22.8828	61.1719
Length   20/4, alignment  9/15, fail:	10.8359	12.3359	110.227
Length   20/4, alignment 15/ 0, found:	20.3984	22.6797	61.1719
Length   20/4, alignment 15/ 0, fail:	11.5234	14.7891	110.5
Length   20/4, alignment 15/ 3, found:	20.3203	22.6953	61.1797
Length   20/4, alignment 15/ 3, fail:	12.3047	14.2422	110.133
Length   20/4, alignment 15/ 9, found:	20.3125	22.625	61.375
Length   20/4, alignment 15/ 9, fail:	12.2656	14.3359	110.227
Length   20/4, alignment 15/15, found:	20.5156	22.8281	61.3125
Length   20/4, alignment 15/15, fail:	14.1797	14.3438	110.273
Length   24/4, alignment  0/ 0, found:	20.4062	22.6641	73.6172
Length   24/4, alignment  0/ 0, fail:	12.2891	10.6328	156.312
Length   24/4, alignment  0/ 3, found:	20.4375	22.6094	72.6641
Length   24/4, alignment  0/ 3, fail:	12.8125	14.0781	156.141
Length   24/4, alignment  0/ 9, found:	20.4062	22.625	72.7734
Length   24/4, alignment  0/ 9, fail:	12.2891	13.5156	163
Length   24/4, alignment  0/15, found:	20.6016	22.6719	71.6172
Length   24/4, alignment  0/15, fail:	11.7891	13.0078	155.453
Length   24/4, alignment  3/ 0, found:	21.0859	22.1484	71.625
Length   24/4, alignment  3/ 0, fail:	10.0156	10.0312	155.422
Length   24/4, alignment  3/ 3, found:	21.0391	22.2266	71.6172
Length   24/4, alignment  3/ 3, fail:	10.1016	11.9688	148.719
Length   24/4, alignment  3/ 9, found:	21.0234	22.0703	72.1719
Length   24/4, alignment  3/ 9, fail:	10.0781	11.7109	150.75
Length   24/4, alignment  3/15, found:	21.1875	22.2188	73.3359
Length   24/4, alignment  3/15, fail:	10.9844	12.3281	148.758
Length   24/4, alignment  9/ 0, found:	20.5312	22.6172	73.3672
Length   24/4, alignment  9/ 0, fail:	11.5234	13.625	148.727
Length   24/4, alignment  9/ 3, found:	20.4844	22.5938	73.2969
Length   24/4, alignment  9/ 3, fail:	12.5547	14.1016	151.484
Length   24/4, alignment  9/ 9, found:	20.4375	22.5781	72.1719
Length   24/4, alignment  9/ 9, fail:	12.6406	13.9141	150.586
Length   24/4, alignment  9/15, found:	20.6016	22.7344	73.1875
Length   24/4, alignment  9/15, fail:	13.0391	14.2344	148.969
Length   24/4, alignment 15/ 0, found:	20.4062	22.5625	72.1797
Length   24/4, alignment 15/ 0, fail:	11.4375	13.9844	150.664
Length   24/4, alignment 15/ 3, found:	20.3516	22.5781	72.1641
Length   24/4, alignment 15/ 3, fail:	13.9062	13.5938	147.727
Length   24/4, alignment 15/ 9, found:	20.3281	22.6641	72.1641
Length   24/4, alignment 15/ 9, fail:	12.2344	13.4531	147.742
Length   24/4, alignment 15/15, found:	20.5234	22.6484	72.1641
Length   24/4, alignment 15/15, fail:	14.6641	14.7734	156.016
Length   28/4, alignment  0/ 0, found:	20.4062	22.5234	81.8516
Length   28/4, alignment  0/ 0, fail:	12.2734	10.4688	179.883
Length   28/4, alignment  0/ 3, found:	20.3203	22.5547	82.6406
Length   28/4, alignment  0/ 3, fail:	12.3594	12.7891	179.883
Length   28/4, alignment  0/ 9, found:	20.3516	22.5781	82.5547
Length   28/4, alignment  0/ 9, fail:	12.9688	12.6484	181.328
Length   28/4, alignment  0/15, found:	20.4766	22.75	83.5
Length   28/4, alignment  0/15, fail:	13.9844	13.5547	144.57
Length   28/4, alignment  3/ 0, found:	20.5859	22.5703	80.1719
Length   28/4, alignment  3/ 0, fail:	9.9375	10.0938	232.234
Length   28/4, alignment  3/ 3, found:	20.3203	22.6406	82.4766
Length   28/4, alignment  3/ 3, fail:	10.6406	11.7422	180.406
Length   28/4, alignment  3/ 9, found:	20.3438	22.5078	82.4453
Length   28/4, alignment  3/ 9, fail:	11.5547	11.7109	180.172
Length   28/4, alignment  3/15, found:	20.5234	22.7578	82.4141
Length   28/4, alignment  3/15, fail:	11.7188	12.4688	181.195
Length   28/4, alignment  9/ 0, found:	20.4688	22.5547	83.5859
Length   28/4, alignment  9/ 0, fail:	11.8359	13.9922	181.086
Length   28/4, alignment  9/ 3, found:	20.3594	22.5234	83.5781
Length   28/4, alignment  9/ 3, fail:	12.8359	13.3984	179.977
Length   28/4, alignment  9/ 9, found:	20.3281	22.5547	82.4609
Length   28/4, alignment  9/ 9, fail:	14.5703	13.2812	179.836
Length   28/4, alignment  9/15, found:	20.5547	22.7734	82.4297
Length   28/4, alignment  9/15, fail:	12.9922	14.2422	181.188
Length   28/4, alignment 15/ 0, found:	20.5	22.7812	83.4531
Length   28/4, alignment 15/ 0, fail:	11.3906	14.5938	181.117
Length   28/4, alignment 15/ 3, found:	20.3281	22.5078	82.4375
Length   28/4, alignment 15/ 3, fail:	13.7969	13.2344	181.148
Length   28/4, alignment 15/ 9, found:	20.4688	22.5	83.4688
Length   28/4, alignment 15/ 9, fail:	12.2266	13.2734	181.188
Length   28/4, alignment 15/15, found:	20.5156	22.7812	83.6016
Length   28/4, alignment 15/15, fail:	13.0391	14.1875	178.969
Length   20/5, alignment  0/ 0, found:	20.4062	22.6797	88.4609
Length   20/5, alignment  0/ 0, fail:	12.2031	10.6406	167.539
Length   20/5, alignment  0/ 3, found:	20.3359	22.6562	88.0469
Length   20/5, alignment  0/ 3, fail:	12.3594	12.375	167.133
Length   20/5, alignment  0/ 9, found:	20.3594	22.6016	87.9922
Length   20/5, alignment  0/ 9, fail:	12.2188	12.4375	166.961
Length   20/5, alignment  0/15, found:	20.4219	22.7031	93.1641
Length   20/5, alignment  0/15, fail:	12.3672	12.9766	177.867
Length   20/5, alignment  3/ 0, found:	21.0938	22.0234	93.1875
Length   20/5, alignment  3/ 0, fail:	10.1484	10.1328	166.922
Length   20/5, alignment  3/ 3, found:	21.1562	22.0625	69.3828
Length   20/5, alignment  3/ 3, fail:	10.4062	11.7422	161.281
Length   20/5, alignment  3/ 9, found:	20.9219	22.0859	76.7656
Length   20/5, alignment  3/ 9, fail:	11.2969	11.2656	144.023
Length   20/5, alignment  3/15, found:	21.2188	22.1172	75.5938
Length   20/5, alignment  3/15, fail:	11.7969	11.8438	142.922
Length   20/5, alignment  9/ 0, found:	20.4453	22.5625	75.5938
Length   20/5, alignment  9/ 0, fail:	10.0938	10.0547	142.844
