                       	oldstrsep	strsep	simple_strsep
Length  105/15, alignment  9/ 3, found:	19.6172	21.8281	574.242
Length  105/15, alignment  9/ 3, fail:	23.1953	23.6328	1080.67
Length  105/15, alignment  9/ 9, found:	19.625	21.9453	552.992
Length  105/15, alignment  9/ 9, fail:	23.2344	23.5781	1080.43
Length  105/15, alignment  9/15, found:	19.6562	21.7422	551.484
Length  105/15, alignment  9/15, fail:	22.9688	23.6484	1080.25
Length  105/15, alignment 15/ 0, found:	20.1797	22.2734	551.648
Length  105/15, alignment 15/ 0, fail:	22.0625	22.2734	1106.91
Length  105/15, alignment 15/ 3, found:	20.7188	22.9375	569.078
Length  105/15, alignment 15/ 3, fail:	24.1875	24.4375	1119.38
Length  105/15, alignment 15/ 9, found:	20.7422	22.8359	571.445
Length  105/15, alignment 15/ 9, fail:	23.9453	24.5	1119.69
Length  105/15, alignment 15/15, found:	20.8828	22.9531	567.922
Length  105/15, alignment 15/15, fail:	24.0234	24.5078	1116.07
Length   64/16, alignment  0/ 0, found:	21.0938	22.9141	402.109
Length   64/16, alignment  0/ 0, fail:	17.2031	17.4688	735.133
Length   64/16, alignment  0/ 3, found:	20.4844	22.6641	378.93
Length   64/16, alignment  0/ 3, fail:	17.2031	17.5234	740.008
Length   64/16, alignment  0/ 9, found:	20.4766	22.6797	375.922
Length   64/16, alignment  0/ 9, fail:	16.7812	17.8438	738.805
Length   64/16, alignment  0/15, found:	20.3516	22.5547	376.812
Length   64/16, alignment  0/15, fail:	17.3984	17.7266	740.391
Length   64/16, alignment  3/ 0, found:	20.7188	22.9766	378.227
Length   64/16, alignment  3/ 0, fail:	16.5938	17.2344	738.43
Length   64/16, alignment  3/ 3, found:	20.6172	22.6719	394.852
Length   64/16, alignment  3/ 3, fail:	17.2969	18.1562	762.359
Length   64/16, alignment  3/ 9, found:	20.3984	22.5547	397.055
Length   64/16, alignment  3/ 9, fail:	17.5234	18.0703	744.344
Length   64/16, alignment  3/15, found:	20.3984	22.6562	376.633
Length   64/16, alignment  3/15, fail:	17.8984	18.1797	762.359
Length   64/16, alignment  9/ 0, found:	20.4609	22.6172	377.625
Length   64/16, alignment  9/ 0, fail:	17.0312	16.7656	762.555
Length   64/16, alignment  9/ 3, found:	20.2812	22.4844	377.477
Length   64/16, alignment  9/ 3, fail:	17.0391	18.1094	738.82
Length   64/16, alignment  9/ 9, found:	20.3047	22.5625	402.641
Length   64/16, alignment  9/ 9, fail:	17.9453	18.1562	737.969
Length   64/16, alignment  9/15, found:	20.3047	22.5156	377.18
Length   64/16, alignment  9/15, fail:	17.0234	18.0547	762.484
Length   64/16, alignment 15/ 0, found:	20.3516	22.6406	394.477
Length   64/16, alignment 15/ 0, fail:	16.4141	16.5781	762.578
Length   64/16, alignment 15/ 3, found:	20.2734	22.6094	394.602
Length   64/16, alignment 15/ 3, fail:	18.0938	18.0547	762.438
Length   64/16, alignment 15/ 9, found:	20.2734	22.5078	378.547
Length   64/16, alignment 15/ 9, fail:	18.5625	17.9922	737.5
Length   64/16, alignment 15/15, found:	20.2891	22.5938	415.492
Length   64/16, alignment 15/15, fail:	17.0625	18.0391	762.5
Length   80/16, alignment  0/ 0, found:	20.875	23.0234	484.609
Length   80/16, alignment  0/ 0, fail:	18.9922	19.1719	942.125
Length   80/16, alignment  0/ 3, found:	20.3594	22.5703	484.836
Length   80/16, alignment  0/ 3, fail:	19.375	19.8281	942
Length   80/16, alignment  0/ 9, found:	20.7031	22.5703	484.609
Length   80/16, alignment  0/ 9, fail:	19.1016	19.6172	947.969
Length   80/16, alignment  0/15, found:	20.3516	22.6328	495.914
Length   80/16, alignment  0/15, fail:	19.0859	19.6016	913.508
Length   80/16, alignment  3/ 0, found:	20.3516	22.6172	464.664
Length   80/16, alignment  3/ 0, fail:	18.5547	19.2422	910.898
Length   80/16, alignment  3/ 3, found:	20.3438	22.6094	464.789
Length   80/16, alignment  3/ 3, fail:	19.8438	20.2734	913.664
Length   80/16, alignment  3/ 9, found:	20.3125	22.5859	464.219
Length   80/16, alignment  3/ 9, fail:	19.8438	20.3516	936.062
Length   80/16, alignment  3/15, found:	21.0625	23.3438	512.461
Length   80/16, alignment  3/15, fail:	20.7344	20.9531	975.531
Length   80/16, alignment  9/ 0, found:	21.8203	24.0703	502.547
Length   80/16, alignment  9/ 0, fail:	19.1797	19.625	977.141
Length   80/16, alignment  9/ 3, found:	21.1484	23.4062	502.633
Length   80/16, alignment  9/ 3, fail:	20.4062	21.2734	975.539
Length   80/16, alignment  9/ 9, found:	21.1719	23.5	481.82
Length   80/16, alignment  9/ 9, fail:	20.2188	20.9844	952.906
Length   80/16, alignment  9/15, found:	21.1484	23.7734	503.891
Length   80/16, alignment  9/15, fail:	20.3516	20.9688	953.219
Length   80/16, alignment 15/ 0, found:	21.3516	23.8203	482.078
Length   80/16, alignment 15/ 0, fail:	18.7266	19.625	951.047
Length   80/16, alignment 15/ 3, found:	21.2422	23.4922	484.133
Length   80/16, alignment 15/ 3, fail:	20.2266	20.9375	975.453
Length   80/16, alignment 15/ 9, found:	21.1328	23.5078	502.938
Length   80/16, alignment 15/ 9, fail:	20.1641	20.8984	977.062
Length   80/16, alignment 15/15, found:	21.1094	23.4531	528.016
Length   80/16, alignment 15/15, fail:	20.3281	21.0938	947.719
Length   96/16, alignment  0/ 0, found:	21.7344	23.8438	573.812
Length   96/16, alignment  0/ 0, fail:	21.4844	21.7891	1126.76
Length   96/16, alignment  0/ 3, found:	21.875	23.7031	571.367
Length   96/16, alignment  0/ 3, fail:	22.1328	29.1719	1083.89
Length   96/16, alignment  0/ 9, found:	20.7578	22.9922	551.883
Length   96/16, alignment  0/ 9, fail:	21.2188	21.7578	1103.34
Length   96/16, alignment  0/15, found:	20.7734	22.8594	554.289
Length   96/16, alignment  0/15, fail:	21.2266	21.8438	1087.08
Length   96/16, alignment  3/ 0, found:	20.5703	22.625	553.242
Length   96/16, alignment  3/ 0, fail:	20.8438	21.5625	1081.09
Length   96/16, alignment  3/ 3, found:	20.3281	22.6641	553.469
Length   96/16, alignment  3/ 3, fail:	21.9609	22.4609	1084.66
Length   96/16, alignment  3/ 9, found:	20.5234	22.6328	574.469
Length   96/16, alignment  3/ 9, fail:	22.0078	22.5391	1120.55
Length   96/16, alignment  3/15, found:	20.3672	22.7656	573.758
Length   96/16, alignment  3/15, fail:	21.7891	22.3906	1078.36
Length   96/16, alignment  9/ 0, found:	20.4844	22.6172	553.75
Length   96/16, alignment  9/ 0, fail:	20.4922	21	1084.52
Length   96/16, alignment  9/ 3, found:	20.3281	22.6641	551.578
Length   96/16, alignment  9/ 3, fail:	21.9219	22.2812	1105.2
Length   96/16, alignment  9/ 9, found:	20.3516	22.6562	551.539
Length   96/16, alignment  9/ 9, fail:	21.9375	22.375	1086.41
Length   96/16, alignment  9/15, found:	20.3359	22.5859	551.461
Length   96/16, alignment  9/15, fail:	21.8203	22.2812	1083.91
Length   96/16, alignment 15/ 0, found:	20.7266	22.6328	553.133
Length   96/16, alignment 15/ 0, fail:	20.4609	21.0469	1084.86
Length   96/16, alignment 15/ 3, found:	20.3984	22.5938	575.375
Length   96/16, alignment 15/ 3, fail:	21.7812	22.5234	1118.95
Length   96/16, alignment 15/ 9, found:	20.3438	22.6172	553.867
Length   96/16, alignment 15/ 9, fail:	21.625	22.4922	1084.48
Length   96/16, alignment 15/15, found:	20.3359	22.6016	552.023
Length   96/16, alignment 15/15, fail:	21.6562	22.3672	1085.45
Length  112/16, alignment  0/ 0, found:	20.7188	22.6953	639.07
Length  112/16, alignment  0/ 0, fail:	22.4141	23.25	1279.57
Length  112/16, alignment  0/ 3, found:	20.9375	22.7812	664.578
Length  112/16, alignment  0/ 3, fail:	23.7812	24.8984	1260.26
Length  112/16, alignment  0/ 9, found:	20.7109	22.7812	639.711
Length  112/16, alignment  0/ 9, fail:	23.2656	23.9453	1261.44
Length  112/16, alignment  0/15, found:	20.8047	22.8125	639.641
Length  112/16, alignment  0/15, fail:	23.125	24.0703	1277.1
Length  112/16, alignment  3/ 0, found:	20.9062	22.9297	641.133
Length  112/16, alignment  3/ 0, fail:	23.0469	23.5312	1261.34
Length  112/16, alignment  3/ 3, found:	20.3438	22.8203	641
Length  112/16, alignment  3/ 3, fail:	24.2422	24.5312	1260.44
Length  112/16, alignment  3/ 9, found:	20.3047	22.5312	638.672
Length  112/16, alignment  3/ 9, fail:	23.9609	24.5547	1279
Length  112/16, alignment  3/15, found:	20.3516	22.6016	640.141
Length  112/16, alignment  3/15, fail:	23.9766	24.5	1260.12
Length  112/16, alignment  9/ 0, found:	21.2266	23.3281	638.203
Length  112/16, alignment  9/ 0, fail:	22.6641	23.5312	1259.88
Length  112/16, alignment  9/ 3, found:	20.9297	22.9375	639.375
Length  112/16, alignment  9/ 3, fail:	23.875	24.5625	1281.25
Length  112/16, alignment  9/ 9, found:	20.6328	22.8125	639.82
Length  112/16, alignment  9/ 9, fail:	23.8828	24.5312	1260.95
Length  112/16, alignment  9/15, found:	20.6797	22.8672	637.82
Length  112/16, alignment  9/15, fail:	23.8984	24.4688	1261.28
Length  112/16, alignment 15/ 0, found:	20.9062	23.4922	639.031
Length  112/16, alignment 15/ 0, fail:	22.3125	23.0156	1284.81
Length  112/16, alignment 15/ 3, found:	20.8984	22.8047	640.961
Length  112/16, alignment 15/ 3, fail:	23.9531	24.4453	1216.75
Length  112/16, alignment 15/ 9, found:	18.5938	20.5859	579.484
Length  112/16, alignment 15/ 9, fail:	21.5156	23.1953	1131.5
Length  112/16, alignment 15/15, found:	18.5938	20.5938	578.852
Length  112/16, alignment 15/15, fail:	21.4922	22.0078	1131.7
Length   68/17, alignment  0/ 0, found:	102.172	53.1172	404.617
Length   68/17, alignment  0/ 0, fail:	64.0312	65.7734	735.273
Length   68/17, alignment  0/ 3, found:	49.5312	50.9609	380.93
Length   68/17, alignment  0/ 3, fail:	64.9844	65.4688	739.867
Length   68/17, alignment  0/ 9, found:	51.3594	48.2266	380.602
Length   68/17, alignment  0/ 9, fail:	64.1875	64.8281	776.719
Length   68/17, alignment  0/15, found:	52.5625	54.2578	406.703
Length   68/17, alignment  0/15, fail:	67.8906	70.3203	790.312
Length   68/17, alignment  3/ 0, found:	55.4375	54.1094	407.055
Length   68/17, alignment  3/ 0, fail:	68.3203	98.8828	789.602
Length   68/17, alignment  3/ 3, found:	52.125	53.6562	409.727
Length   68/17, alignment  3/ 3, fail:	71.2188	72.375	819.352
Length   68/17, alignment  3/ 9, found:	57.5859	52.2109	425.922
Length   68/17, alignment  3/ 9, fail:	70.2578	71.3906	817.625
Length   68/17, alignment  3/15, found:	54.7969	55.9766	421.297
Length   68/17, alignment  3/15, fail:	70.6016	71.8828	818.148
Length   68/17, alignment  9/ 0, found:	57.6875	55.8281	421.562
Length   68/17, alignment  9/ 0, fail:	70.9453	71.8125	859.93
Length   68/17, alignment  9/ 3, found:	54.8359	54.3828	421.469
Length   68/17, alignment  9/ 3, fail:	70.1328	71.1953	823.992
Length   68/17, alignment  9/ 9, found:	57.1172	51.8438	421.523
Length   68/17, alignment  9/ 9, fail:	70.4453	70.0703	823.742
Length   68/17, alignment  9/15, found:	54.7812	55.4531	440.336
Length   68/17, alignment  9/15, fail:	71.2734	72.0938	820.883
Length   68/17, alignment 15/ 0, found:	57.7109	55.4062	440.211
Length   68/17, alignment 15/ 0, fail:	70.5469	72.5312	839.016
Length   68/17, alignment 15/ 3, found:	53.5938	56.0391	427.383
Length   68/17, alignment 15/ 3, fail:	69.8672	72.4844	869.5
Length   68/17, alignment 15/ 9, found:	57.5703	53.9766	443.141
Length   68/17, alignment 15/ 9, fail:	71.5469	71.3125	870.047
Length   68/17, alignment 15/15, found:	54.8203	55.7891	421.477
Length   68/17, alignment 15/15, fail:	70.75	71.6797	822.562
Length   85/17, alignment  0/ 0, found:	60.7578	58.2656	518
Length   85/17, alignment  0/ 0, fail:	107.555	84.4062	1019.83
Length   85/17, alignment  0/ 3, found:	57.4141	58.3281	517.852
Length   85/17, alignment  0/ 3, fail:	83.0156	83.5938	1022
Length   85/17, alignment  0/ 9, found:	61.2031	56.3672	516.938
Length   85/17, alignment  0/ 9, fail:	84.5	81.0547	1018.45
Length   85/17, alignment  0/15, found:	56.7812	57.3984	516.211
Length   85/17, alignment  0/15, fail:	81.6016	83.3906	1041.02
Length   85/17, alignment  3/ 0, found:	60.5469	58.2656	514.625
Length   85/17, alignment  3/ 0, fail:	84.8359	82.9219	1022.28
Length   85/17, alignment  3/ 3, found:	55.9141	57.3672	515.68
Length   85/17, alignment  3/ 3, fail:	81.9922	82.6953	1019.17
Length   85/17, alignment  3/ 9, found:	60.4922	56.1797	512.586
Length   85/17, alignment  3/ 9, fail:	84.5469	79.4219	1016.97
Length   85/17, alignment  3/15, found:	56.4219	81.2422	511.789
Length   85/17, alignment  3/15, fail:	83.2188	83.2656	1023.64
Length   85/17, alignment  9/ 0, found:	59.7734	57.2812	518.219
Length   85/17, alignment  9/ 0, fail:	84.1406	82.5781	1066.38
Length   85/17, alignment  9/ 3, found:	56.5312	56.4922	513.266
Length   85/17, alignment  9/ 3, fail:	82.0938	82.7891	1071.31
Length   85/17, alignment  9/ 9, found:	60.3125	56.1328	553.438
Length   85/17, alignment  9/ 9, fail:	85.1875	79.3906	1016.25
Length   85/17, alignment  9/15, found:	57.6172	57.2734	514.086
Length   85/17, alignment  9/15, fail:	82.8906	83.3906	1014.62
Length   85/17, alignment 15/ 0, found:	60.9844	58.1172	514.102
Length   85/17, alignment 15/ 0, fail:	83.8125	83.2422	1014.88
Length   85/17, alignment 15/ 3, found:	56.4375	57.3281	512.117
Length   85/17, alignment 15/ 3, fail:	81.6797	84	1038.02
Length   85/17, alignment 15/ 9, found:	59.3828	55.9766	514.078
Length   85/17, alignment 15/ 9, fail:	84.1016	79.6875	1065.27
Length   85/17, alignment 15/15, found:	56.4453	57.8594	539.461
Length   85/17, alignment 15/15, fail:	83.0625	83.2344	1065.43
Length  102/17, alignment  0/ 0, found:	63.4844	62.2188	617.203
Length  102/17, alignment  0/ 0, fail:	91.7812	92.4609	1235.25
Length  102/17, alignment  0/ 3, found:	60.4766	62.1094	617.406
Length  102/17, alignment  0/ 3, fail:	90.5938	91.3672	1200.51
Length  102/17, alignment  0/ 9, found:	60.7891	61.5	643.188
Length  102/17, alignment  0/ 9, fail:	90.0469	90.7266	1200.54
Length  102/17, alignment  0/15, found:	58.5469	61.0703	616.672
Length  102/17, alignment  0/15, fail:	87.875	87	1180.04
Length  102/17, alignment  3/ 0, found:	59.4922	59.3281	624.773
Length  102/17, alignment  3/ 0, fail:	87.75	88.1641	1226.12
Length  102/17, alignment  3/ 3, found:	59.2344	59.3438	597.82
Length  102/17, alignment  3/ 3, fail:	86.1328	87.4141	1225.98
Length  102/17, alignment  3/ 9, found:	60.3359	58.9219	620.969
Length  102/17, alignment  3/ 9, fail:	87.5234	86.8281	1193.98
Length  102/17, alignment  3/15, found:	57.3203	58.6875	597.508
Length  102/17, alignment  3/15, fail:	87.0469	87.4375	1163.7
Length  102/17, alignment  9/ 0, found:	59.0234	58.6719	596.938
Length  102/17, alignment  9/ 0, fail:	87.9609	87.9609	1163.53
Length  102/17, alignment  9/ 3, found:	57.3984	58.1172	595.641
Length  102/17, alignment  9/ 3, fail:	86.2109	87.1641	1176.56
Length  102/17, alignment  9/ 9, found:	59.3438	58.4219	597.969
Length  102/17, alignment  9/ 9, fail:	86.4922	87.0156	1159.51
Length  102/17, alignment  9/15, found:	57.4375	58.3281	596.078
Length  102/17, alignment  9/15, fail:	85.7188	87.0859	1159.46
Length  102/17, alignment 15/ 0, found:	58.5078	58.8203	596.766
Length  102/17, alignment 15/ 0, fail:	87.5234	87.7266	1180.33
Length  102/17, alignment 15/ 3, found:	56.8281	58.4375	621.367
Length  102/17, alignment 15/ 3, fail:	86.2812	86.9531	1165.79
Length  102/17, alignment 15/ 9, found:	57.5625	59.0156	596.648
Length  102/17, alignment 15/ 9, fail:	86.4922	87.1172	1161.37
Length  102/17, alignment 15/15, found:	56.5391	58.4219	595.859
Length  102/17, alignment 15/15, fail:	86.0391	86.6719	1184.61
Length  119/17, alignment  0/ 0, found:	63.1484	63.7969	684.062
Length  119/17, alignment  0/ 0, fail:	99.0859	100.125	1347.28
Length  119/17, alignment  0/ 3, found:	62.7891	62.9141	683.883
Length  119/17, alignment  0/ 3, fail:	98.4531	99.8906	1347.44
Length  119/17, alignment  0/ 9, found:	62.9766	63.6328	707.508
Length  119/17, alignment  0/ 9, fail:	98.4844	97.6641	1346.96
Length  119/17, alignment  0/15, found:	61.4688	62.2656	684.961
Length  119/17, alignment  0/15, fail:	98.3828	99.4766	1347.17
Length  119/17, alignment  3/ 0, found:	61.9141	62.9688	684.469
Length  119/17, alignment  3/ 0, fail:	98.9844	99.8125	1368.52
Length  119/17, alignment  3/ 3, found:	61.7188	62.1562	685.328
Length  119/17, alignment  3/ 3, fail:	97.6328	99.4141	1351.51
Length  119/17, alignment  3/ 9, found:	62.0781	62.5391	684.234
Length  119/17, alignment  3/ 9, fail:	97.4062	96.8906	1347.43
Length  119/17, alignment  3/15, found:	62.3594	62.375	707.297
Length  119/17, alignment  3/15, fail:	98.1875	98.8906	1387.47
Length  119/17, alignment  9/ 0, found:	63.9375	65.5781	710.531
Length  119/17, alignment  9/ 0, fail:	101.789	103.242	1394.98
Length  119/17, alignment  9/ 3, found:	63.5469	64.2656	710.258
Length  119/17, alignment  9/ 3, fail:	101.578	103.164	1414.32
Length  119/17, alignment  9/ 9, found:	64.6875	64.8828	708.594
Length  119/17, alignment  9/ 9, fail:	101.273	100.562	1394.95
Length  119/17, alignment  9/15, found:	62.8984	64.6719	710.094
Length  119/17, alignment  9/15, fail:	100.805	103.477	1395.12
Length  119/17, alignment 15/ 0, found:	64.5078	64.8438	725.961
Length  119/17, alignment 15/ 0, fail:	101.922	103.055	1395.58
Length  119/17, alignment 15/ 3, found:	64.4062	64.4688	708.391
Length  119/17, alignment 15/ 3, fail:	103.07	103.516	1395.44
Length  119/17, alignment 15/ 9, found:	63.9609	65.3906	709.125
Length  119/17, alignment 15/ 9, fail:	101.891	100.82	1411.43
Length  119/17, alignment 15/15, found:	63.3359	64.5	709.477
Length  119/17, alignment 15/15, fail:	101.758	103.016	1405.39
Length   72/18, alignment  0/ 0, found:	59.5703	56.6875	466.438
Length   72/18, alignment  0/ 0, fail:	76.0859	77.0938	900.945
Length   72/18, alignment  0/ 3, found:	55.3203	56.7656	462.562
Length   72/18, alignment  0/ 3, fail:	75.8516	77.2969	901.258
Length   72/18, alignment  0/ 9, found:	58.5391	53.7422	467.078
Length   72/18, alignment  0/ 9, fail:	74.0469	74.7656	900.375
Length   72/18, alignment  0/15, found:	54.7578	55.5547	463.414
Length   72/18, alignment  0/15, fail:	75.0625	76.75	906.414
Length   72/18, alignment  3/ 0, found:	58.1875	56.5	463.375
Length   72/18, alignment  3/ 0, fail:	75.0625	76.1719	900.242
Length   72/18, alignment  3/ 3, found:	54.9219	55.8516	465.586
Length   72/18, alignment  3/ 3, fail:	74.9141	76.3828	915.742
Length   72/18, alignment  3/ 9, found:	58.7188	53.5859	466.867
Length   72/18, alignment  3/ 9, fail:	74.0391	73.3984	900.57
Length   72/18, alignment  3/15, found:	54.6328	55.4062	466.422
Length   72/18, alignment  3/15, fail:	75.4922	76.0625	900.008
Length   72/18, alignment  9/ 0, found:	59	56.4922	465.414
Length   72/18, alignment  9/ 0, fail:	75.3125	76.2734	900.188
Length   72/18, alignment  9/ 3, found:	54.8438	54.8516	465.867
Length   72/18, alignment  9/ 3, fail:	75.8984	92.4375	901.922
Length   72/18, alignment  9/ 9, found:	57.2969	52.7969	465.688
Length   72/18, alignment  9/ 9, fail:	74.7344	74.5625	900.273
Length   72/18, alignment  9/15, found:	55.0547	55.5234	465.391
Length   72/18, alignment  9/15, fail:	75.5859	76.1094	900.164
Length   72/18, alignment 15/ 0, found:	58.9062	56.6641	467.164
Length   72/18, alignment 15/ 0, fail:	75.8906	75.9453	900.07
Length   72/18, alignment 15/ 3, found:	55.2031	55.3672	481.453
Length   72/18, alignment 15/ 3, fail:	75.4688	76.375	902.594
Length   72/18, alignment 15/ 9, found:	52.8281	52.7188	465.625
Length   72/18, alignment 15/ 9, fail:	74.4766	73.5781	900.117
Length   72/18, alignment 15/15, found:	55.7812	54.8203	469.758
Length   72/18, alignment 15/15, fail:	76.1719	76.3281	900.289
Length   90/18, alignment  0/ 0, found:	62.4609	59.8281	575.719
Length   90/18, alignment  0/ 0, fail:	88.7656	86.6641	1132.39
Length   90/18, alignment  0/ 3, found:	58.5156	59.3125	576.008
Length   90/18, alignment  0/ 3, fail:	85.8906	85.5938	1116.42
Length   90/18, alignment  0/ 9, found:	60.6094	57.4062	578.383
Length   90/18, alignment  0/ 9, fail:	88.0625	84.1641	1116.3
Length   90/18, alignment  0/15, found:	57.9844	58.3828	576.023
Length   90/18, alignment  0/15, fail:	85.0703	85.5938	1134.34
Length   90/18, alignment  3/ 0, found:	61.6406	59.0859	576.508
Length   90/18, alignment  3/ 0, fail:	86.9219	85.9531	1116.3
Length   90/18, alignment  3/ 3, found:	59.3281	58.1797	576.719
Length   90/18, alignment  3/ 3, fail:	84.8203	84.3359	1165.63
Length   90/18, alignment  3/ 9, found:	60.8438	56.7188	597.227
Length   90/18, alignment  3/ 9, fail:	83.3672	82.4922	1169.2
Length   90/18, alignment  3/15, found:	57.8594	57.9922	575.32
Length   90/18, alignment  3/15, fail:	84.4297	84.5234	1117.89
Length   90/18, alignment  9/ 0, found:	61.4766	57.9844	574.82
Length   90/18, alignment  9/ 0, fail:	88.0859	85.8906	1116.16
Length   90/18, alignment  9/ 3, found:	56.1797	57.4375	575.633
Length   90/18, alignment  9/ 3, fail:	84.3438	84.9141	1136.8
Length   90/18, alignment  9/ 9, found:	60.1719	58.2812	576.039
Length   90/18, alignment  9/ 9, fail:	86.5391	82.375	1081.3
Length   90/18, alignment  9/15, found:	47.4609	48.8125	486.836
Length   90/18, alignment  9/15, fail:	71.7188	71.7266	946.953
Length   90/18, alignment 15/ 0, found:	52.2578	50.6406	488.883
Length   90/18, alignment 15/ 0, fail:	74.3359	73.0078	947.312
Length   90/18, alignment 15/ 3, found:	48.1953	49.2344	496.586
Length   90/18, alignment 15/ 3, fail:	71.4453	71.4453	948.664
Length   90/18, alignment 15/ 9, found:	51.9062	49.8906	488.312
Length   90/18, alignment 15/ 9, fail:	75.1406	70.0547	947.023
Length   90/18, alignment 15/15, found:	48.4609	49.0312	488.539
Length   90/18, alignment 15/15, fail:	71.5781	71.8438	946.852
Length  108/18, alignment  0/ 0, found:	54.2344	53.9922	580.867
Length  108/18, alignment  0/ 0, fail:	82.0469	81.75	1152.38
Length  108/18, alignment  0/ 3, found:	52.4141	53.1797	578.906
Length  108/18, alignment  0/ 3, fail:	80.1484	82.2422	1130.63
Length  108/18, alignment  0/ 9, found:	53.1953	53.5234	580.789
Length  108/18, alignment  0/ 9, fail:	80.9531	80.5625	1130.56
Length  108/18, alignment  0/15, found:	52.5	53.0625	579.898
Length  108/18, alignment  0/15, fail:	80.0234	80.5781	1145.66
Length  108/18, alignment  3/ 0, found:	54.2734	53.5391	579.32
Length  108/18, alignment  3/ 0, fail:	80.2344	82.0938	1132.22
Length  108/18, alignment  3/ 3, found:	51.4922	52.7578	579.805
Length  108/18, alignment  3/ 3, fail:	79.8672	82.3906	1132.34
Length  108/18, alignment  3/ 9, found:	52.9141	53.3359	578.719
Length  108/18, alignment  3/ 9, fail:	80.5469	85.9297	1147.96
Length  108/18, alignment  3/15, found:	51.5469	54.6562	639.5
Length  108/18, alignment  3/15, fail:	84.9609	88.8359	1204.29
Length  108/18, alignment  9/ 0, found:	56.7031	56.4531	616.359
Length  108/18, alignment  9/ 0, fail:	86.2656	86.3672	1203.79
Length  108/18, alignment  9/ 3, found:	54.3828	56.0469	615.734
Length  108/18, alignment  9/ 3, fail:	84.6562	86.1719	1224.59
Length  108/18, alignment  9/ 9, found:	56.6719	56.4766	639.641
Length  108/18, alignment  9/ 9, fail:	85.9375	86.3828	1354.25
Length  108/18, alignment  9/15, found:	55.4766	55.7344	616.977
Length  108/18, alignment  9/15, fail:	85.0156	87.7188	1204.27
Length  108/18, alignment 15/ 0, found:	57.1953	56.9531	660.773
Length  108/18, alignment 15/ 0, fail:	91.9297	92.4766	1308.48
Length  108/18, alignment 15/ 3, found:	59.7656	60.0469	661.477
Length  108/18, alignment 15/ 3, fail:	91.1016	93.8359	1286.22
Length  108/18, alignment 15/ 9, found:	61.1797	60.2188	660.336
Length  108/18, alignment 15/ 9, fail:	91.7422	95.2109	1286.3
Length  108/18, alignment 15/15, found:	58.9688	59.8047	658.086
Length  108/18, alignment 15/15, fail:	111.266	95.9844	1286.58
Length  126/18, alignment  0/ 0, found:	67.3516	67.4531	765.688
Length  126/18, alignment  0/ 0, fail:	105.336	105.547	1495.02
Length  126/18, alignment  0/ 3, found:	65.1641	66.625	765.008
Length  126/18, alignment  0/ 3, fail:	103.438	105.156	1514.9
Length  126/18, alignment  0/ 9, found:	66.8047	65.7578	763.039
Length  126/18, alignment  0/ 9, fail:	105.172	101.68	1496.43
Length  126/18, alignment  0/15, found:	64.6016	65.8984	761.883
Length  126/18, alignment  0/15, fail:	102.945	104.195	1494.9
Length  126/18, alignment  3/ 0, found:	66.1719	66.9766	785.172
Length  126/18, alignment  3/ 0, fail:	105.359	104.578	1493.52
Length  126/18, alignment  3/ 3, found:	61.7031	62.2734	714.703
Length  126/18, alignment  3/ 3, fail:	97.5781	98.0625	1439.94
Length  126/18, alignment  3/ 9, found:	67.0312	65.3984	762.383
Length  126/18, alignment  3/ 9, fail:	104.781	100.547	1514.94
Length  126/18, alignment  3/15, found:	65.125	66.9219	767.188
Length  126/18, alignment  3/15, fail:	103.023	104.406	1499.16
Length  126/18, alignment  9/ 0, found:	66.2188	66.8359	763.609
Length  126/18, alignment  9/ 0, fail:	103.984	104.148	1522.21
Length  126/18, alignment  9/ 3, found:	65.8594	65.6797	793.992
Length  126/18, alignment  9/ 3, fail:	102.844	104.344	1557.19
Length  126/18, alignment  9/ 9, found:	66.7109	65.2734	764.031
Length  126/18, alignment  9/ 9, fail:	102.555	101.312	1494.76
Length  126/18, alignment  9/15, found:	63.7109	66.6953	785.438
Length  126/18, alignment  9/15, fail:	102.891	104.672	1495.05
Length  126/18, alignment 15/ 0, found:	64.8594	66.9375	763.453
Length  126/18, alignment 15/ 0, fail:	104.375	104	1500.21
Length  126/18, alignment 15/ 3, found:	63.9062	66.5312	764.797
Length  126/18, alignment 15/ 3, fail:	103.953	104.25	1551.66
Length  126/18, alignment 15/ 9, found:	66.5391	64.9688	764.211
Length  126/18, alignment 15/ 9, fail:	105.039	101.016	1495.14
Length  126/18, alignment 15/15, found:	63.9844	65.3828	763.039
Length  126/18, alignment 15/15, fail:	104.328	104.273	1528.35
Length   76/19, alignment  0/ 0, found:	58.7734	57.3281	502.586
Length   76/19, alignment  0/ 0, fail:	77.0078	76.4453	956.734
Length   76/19, alignment  0/ 3, found:	54.7812	55.8203	501.539
Length   76/19, alignment  0/ 3, fail:	77.2734	77.9766	955.578
Length   76/19, alignment  0/ 9, found:	58.4922	52.2891	501.555
Length   76/19, alignment  0/ 9, fail:	77.4531	74.8203	955.578
Length   76/19, alignment  0/15, found:	55.3438	57.3594	518.969
Length   76/19, alignment  0/15, fail:	79.1328	100.953	991.977
Length   76/19, alignment  3/ 0, found:	60.4531	57.7656	519.969
Length   76/19, alignment  3/ 0, fail:	79.5703	79.9219	989.523
Length   76/19, alignment  3/ 3, found:	56.1875	55.25	520.633
Length   76/19, alignment  3/ 3, fail:	79.7734	80.1094	989.648
