                       	__stpcpy_chk	normal_stpcpy	simple_stpcpy_chk
Length 1024, alignment  7/ 7:	25.9025	20.7365	655.673
Length 1024, alignment  7/ 7:	26.8512	18.5181	576.616
Length    0, alignment  0/ 0:	7.55817	3.55914	3.11218
Length    0, alignment  0/ 0:	7.25824	3.55634	3.11218
Length    0, alignment  0/ 0:	7.5556	3.9718	2.6684
Length    1, alignment  0/ 0:	7.55609	3.56525	2.66882
Length    1, alignment  0/ 1:	7.55518	4.54559	3.11224
Length    1, alignment  1/ 0:	7.55518	4.00092	3.55609
Length    2, alignment  0/ 0:	7.5553	3.11407	5.11157
Length    2, alignment  0/ 2:	7.55505	3.59375	5.0946
Length    2, alignment  2/ 0:	7.55548	3.12292	4.8905
Length    3, alignment  0/ 0:	8.4455	3.58929	5.55817
Length    3, alignment  0/ 3:	8.44385	3.67566	5.33356
Length    3, alignment  3/ 0:	7.99921	3.55664	5.77802
Length    4, alignment  0/ 0:	7.99896	3.55829	7.99982
Length    4, alignment  0/ 4:	8.07709	4.40356	7.5553
Length    4, alignment  4/ 0:	7.11151	4.00043	7.55573
Length    5, alignment  0/ 0:	7.11102	4.43524	5.78461
Length    5, alignment  0/ 5:	7.55487	3.11224	5.55817
Length    5, alignment  5/ 0:	7.11194	4.00079	5.5567
Length    6, alignment  0/ 0:	7.11066	4.4165	6.47803
Length    6, alignment  0/ 6:	7.11096	3.5567	6.46362
Length    6, alignment  6/ 0:	7.55475	3.55841	6.46375
Length    7, alignment  0/ 0:	8.44495	3.11249	6.91284
Length    7, alignment  0/ 7:	7.11139	4.00067	6.46802
Length    7, alignment  7/ 0:	7.11139	4.0014	6.91534
Length    8, alignment  0/ 0:	7.31128	2.67358	8.44421
Length    8, alignment  0/ 0:	7.1106	3.56067	8.44482
Length    8, alignment  0/ 0:	7.11072	4.00128	8.27771
Length    9, alignment  0/ 0:	7.16406	3.396	9.72467
Length    9, alignment  0/ 1:	7.75769	3.39594	9.26776
Length    9, alignment  1/ 0:	7.95306	3.39569	9.72406
Length   10, alignment  0/ 0:	7.27325	3.76935	10.2101
Length   10, alignment  0/ 2:	7.93622	3.39453	10.1857
Length   10, alignment  2/ 0:	7.75763	4.3642	9.73206
Length   11, alignment  0/ 0:	7.75714	3.37781	10.3798
Length   11, alignment  0/ 3:	7.75708	3.39441	10.699
Length   11, alignment  3/ 0:	8.24164	3.88336	10.5602
Length   12, alignment  0/ 0:	7.75696	2.9151	13.3755
Length   12, alignment  0/ 4:	8.25787	3.61353	13.5783
Length   12, alignment  4/ 0:	8.50574	4.41431	14.2126
Length   13, alignment  0/ 0:	8.25806	3.10352	15.1193
Length   13, alignment  0/ 5:	7.74188	4.1344	14.9352
Length   13, alignment  5/ 0:	8.25793	4.3114	14.9349
Length   14, alignment  0/ 0:	8.25793	3.49731	15.5021
Length   14, alignment  0/ 6:	8.48889	3.61377	15.5042
Length   14, alignment  6/ 0:	8.25812	4.12946	15.5269
Length   15, alignment  0/ 0:	8.77478	3.1026	11.9154
Length   15, alignment  0/ 7:	9.2901	4.64581	11.8284
Length   15, alignment  7/ 0:	8.77368	4.12982	11.9157
Length   16, alignment  7/ 2:	8.77374	4.12915	12.6112
Length   32, alignment  6/ 4:	8.78308	4.13159	20.8906
Length   64, alignment  5/ 6:	9.47803	5.16388	40.2781
Length  128, alignment  4/ 0:	10.3311	5.55499	77.5339
Length  256, alignment  3/ 2:	13.075	7.51752	147.452
Length  512, alignment  2/ 4:	16.7474	11.8908	314
Length 1024, alignment  1/ 6:	29.6248	24.2411	614.704
Length   16, alignment  1/ 2:	8.26202	4.13031	12.4404
Length   16, alignment  1/ 1:	8.77386	4.12994	14.1548
Length   16, alignment  1/ 1:	8.77435	4.13068	12.4285
Length   32, alignment  2/ 4:	8.77997	4.28827	20.8226
Length   32, alignment  4/ 2:	8.77771	5.15076	19.9677
Length   32, alignment  2/ 2:	8.73181	3.88037	19.6212
