                       	basic_strstr	twoway_strstr	__strstr_sse2_unaligned	__strstr_sse2
Length  192/ 13, alignment  0/ 9, fail :	122.562	124.625	24.8125	78.0625
Length  192/ 14, alignment  1/ 3, found:	121.5	23.75	31.4375	24.375
Length  192/ 14, alignment  0/ 9, fail :	119.438	16.1875	24.5	16.75
Length  192/ 15, alignment  1/ 3, found:	123.75	23.4375	30.5	22.5
Length  192/ 15, alignment  0/ 9, fail :	115.75	15.3125	23.75	16.1875
Length  192/ 16, alignment  1/ 3, found:	122.625	23.125	29.875	22.9375
Length  192/ 16, alignment  0/ 9, fail :	115.625	14.75	24.1875	15.625
Length  224/  1, alignment  1/ 3, found:	164.688	17.75	18.875	15.9375
Length  224/  1, alignment  0/ 9, fail :	170.562	16.25	18	16.8125
Length  224/  2, alignment  1/ 3, found:	176.438	172.375	27.3125	288.75
Length  224/  2, alignment  0/ 9, fail :	174.062	163.812	25.125	264.688
Length  224/  3, alignment  1/ 3, found:	174.125	348	43.3125	275.625
Length  224/  3, alignment  0/ 9, fail :	170.875	436.125	37.8125	266.188
Length  224/  4, alignment  1/ 3, found:	196.438	261.5	31.25	151.25
Length  224/  4, alignment  0/ 9, fail :	186.188	240.75	25.5	147.938
Length  224/  5, alignment  1/ 3, found:	234.625	142.938	32.0625	95.8125
Length  224/  5, alignment  0/ 9, fail :	146.875	130.312	24.4375	91.5
Length  224/  6, alignment  1/ 3, found:	194.312	268.188	45.3125	112.812
Length  224/  6, alignment  0/ 9, fail :	188.312	261.688	38.875	110.312
Length  224/  7, alignment  1/ 3, found:	187.312	84.1875	37.125	105.625
Length  224/  7, alignment  0/ 9, fail :	183.062	72.0625	28.625	96.75
Length  224/  8, alignment  1/ 3, found:	190	79.5625	34.3125	101.062
Length  224/  8, alignment  0/ 9, fail :	184.688	68.375	31.375	95.5
Length  224/  9, alignment  1/ 3, found:	167.625	421.75	42.3125	100.375
Length  224/  9, alignment  0/ 9, fail :	156.188	413.375	36.125	93.9375
Length  224/ 10, alignment  1/ 3, found:	166.25	510.625	33	104.75
Length  224/ 10, alignment  0/ 9, fail :	158.125	507.625	25.0625	98.5625
Length  224/ 11, alignment  1/ 3, found:	193.312	512	41.3125	98.375
Length  224/ 11, alignment  0/ 9, fail :	189.812	499.938	35.125	92.75
Length  224/ 12, alignment  1/ 3, found:	159.688	500.625	32.5	93.75
Length  224/ 12, alignment  0/ 9, fail :	152.562	487.5	25.5625	95.0625
Length  224/ 13, alignment  1/ 3, found:	168.875	25.8125	31.875	27.3125
Length  224/ 13, alignment  0/ 9, fail :	169.438	23.875	24.5	21.8125
Length  224/ 14, alignment  1/ 3, found:	167.188	22.9375	30.9375	26.4375
Length  224/ 14, alignment  0/ 9, fail :	168.875	16.125	24.25	15.0625
Length  224/ 15, alignment  1/ 3, found:	164.375	23.5	37.875	21.75
Length  224/ 15, alignment  0/ 9, fail :	163.125	15.1875	24.5625	15.125
Length  224/ 16, alignment  1/ 3, found:	233.188	542.938	49.125	97.5
Length  224/ 16, alignment  0/ 9, fail :	222.562	507.188	34.5625	89.75
Length  256/  1, alignment  1/ 3, found:	183.5	18.375	21.0625	19.5
Length  256/  1, alignment  0/ 9, fail :	187.938	27.25	19.875	21.5
Length  256/  2, alignment  1/ 3, found:	182.875	82.1875	31.0625	339.375
Length  256/  2, alignment  0/ 9, fail :	171.938	71.0625	31.625	317
Length  256/  3, alignment  1/ 3, found:	166.438	114.438	36.875	134.062
Length  256/  3, alignment  0/ 9, fail :	163.938	104.562	44.125	129.625
Length  256/  4, alignment  1/ 3, found:	248.688	129.375	33	285.312
Length  256/  4, alignment  0/ 9, fail :	247.5	118.438	35.25	153.625
Length  256/  5, alignment  1/ 3, found:	208.625	556.688	39.25	162.75
Length  256/  5, alignment  0/ 9, fail :	203.688	528.75	34.75	150.312
Length  256/  6, alignment  1/ 3, found:	187.375	139.125	36.8125	188.75
Length  256/  6, alignment  0/ 9, fail :	179.438	124.562	33.8125	127.562
Length  256/  7, alignment  1/ 3, found:	266	125.25	52.5625	113.562
Length  256/  7, alignment  0/ 9, fail :	266.125	102.438	43.3125	111
Length  256/  8, alignment  1/ 3, found:	230.875	99.8125	44.8125	109.938
Length  256/  8, alignment  0/ 9, fail :	229.125	78.5	40.25	108.188
Length  256/  9, alignment  1/ 3, found:	185.75	95.75	39.9375	105.562
Length  256/  9, alignment  0/ 9, fail :	178	77.3125	42.875	103.375
Length  256/ 10, alignment  1/ 3, found:	185.75	90.3125	36	112.5
Length  256/ 10, alignment  0/ 9, fail :	180.562	74.75	33.4375	105.5
Length  256/ 11, alignment  1/ 3, found:	178.875	91.0625	37.9375	114.25
Length  256/ 11, alignment  0/ 9, fail :	169.125	74.3125	34.9375	108.25
Length  256/ 12, alignment  1/ 3, found:	186.188	93.5625	42.125	99.5
Length  256/ 12, alignment  0/ 9, fail :	183.125	75.0625	38.875	93.6875
Length  256/ 13, alignment  1/ 3, found:	185.812	192.938	34.125	100.75
Length  256/ 13, alignment  0/ 9, fail :	183.562	168.625	29.875	91.0625
Length  256/ 14, alignment  1/ 3, found:	170.188	139.75	34.25	93.8125
Length  256/ 14, alignment  0/ 9, fail :	163.688	117.062	28.75	82.3125
Length  256/ 15, alignment  1/ 3, found:	163.062	135.875	33.9375	92.5
Length  256/ 15, alignment  0/ 9, fail :	161.062	115.25	28.25	85.9375
Length  256/ 16, alignment  1/ 3, found:	189.812	24.5	32.8125	24.75
Length  256/ 16, alignment  0/ 9, fail :	194.188	20	28.4375	21.875
Length  256/ 16, alignment  1/11, found:	183.188	23.5	32.25	22
Length  256/ 16, alignment 14/ 5, fail :	190.5	18	27.5	16.625
Length  256/ 32, alignment  1/11, found:	162.188	414.625	43.25	108.5
Length  256/ 32, alignment 14/ 5, fail :	155.688	346.312	28.75	99.75
Length  256/ 64, alignment  1/11, found:	236.375	553.938	77.625	142.875
Length  256/ 64, alignment 14/ 5, fail :	256.438	442.188	40.25	130.312
Length  256/128, alignment  1/11, found:	171.438	843	98.6875	234
Length  256/128, alignment 14/ 5, fail :	177.625	658.938	27.625	203.875
Length  256/256, alignment  1/11, found:	194.5	44.0625	319.312	41.875
Length  256/256, alignment 14/ 5, fail :	190.812	30.125	38.25	26.0625
Length  512/ 16, alignment  1/11, found:	409.125	844.875	47.375	165.5
Length  512/ 16, alignment 14/ 5, fail :	428.188	820.375	49	150.062
Length  512/ 32, alignment  1/11, found:	434.5	534.188	81.1875	117.75
Length  512/ 32, alignment 14/ 5, fail :	400	497.562	54.8125	110.188
Length  512/ 64, alignment  1/11, found:	376.688	595.188	105.75	143.625
Length  512/ 64, alignment 14/ 5, fail :	363.875	493.25	71.9375	146.125
Length  512/128, alignment  1/11, found:	341.938	843.125	112.812	232.562
Length  512/128, alignment 14/ 5, fail :	362.375	661.062	58.75	211.375
Length  512/256, alignment  1/11, found:	397.188	1506.44	231.625	387.438
Length  512/256, alignment 14/ 5, fail :	425.188	1160.44	86.3125	381.062
Length 1024/ 16, alignment  1/11, found:	862.562	2358.06	143.062	233.812
Length 1024/ 16, alignment 14/ 5, fail :	814.812	2380.69	125.812	204.125
Length 1024/ 32, alignment  1/11, found:	1062.31	754.188	126.562	211.375
Length 1024/ 32, alignment 14/ 5, fail :	959.25	757.25	101.5	196.562
Length 1024/ 64, alignment  1/11, found:	907.938	857.938	188.812	197
Length 1024/ 64, alignment 14/ 5, fail :	871.812	765.438	158.812	193.188
Length 1024/128, alignment  1/11, found:	753.75	1057.62	163.875	276.875
Length 1024/128, alignment 14/ 5, fail :	728.875	922.125	96.6875	250.812
Length 1024/256, alignment  1/11, found:	752.438	1423.12	287.25	416.562
Length 1024/256, alignment 14/ 5, fail :	729.25	1113.5	112.875	395.25
Length 2048/ 16, alignment  1/11, found:	1982.44	4918.75	194.688	462.625
Length 2048/ 16, alignment 14/ 5, fail :	1937.88	4832.94	199.062	430.625
Length 2048/ 32, alignment  1/11, found:	1931.12	1086.69	219.438	337.562
Length 2048/ 32, alignment 14/ 5, fail :	1936.81	1020.44	193.562	313.812
Length 2048/ 64, alignment  1/11, found:	1457.88	1131.25	233	351.5
Length 2048/ 64, alignment 14/ 5, fail :	1418	1025.31	205.312	326.625
Length 2048/128, alignment  1/11, found:	1717.5	1377.38	360.438	348
Length 2048/128, alignment 14/ 5, fail :	1680.81	1291.69	282.5	327.812
Length 2048/256, alignment  1/11, found:	1561.38	1959.31	473	486.562
Length 2048/256, alignment 14/ 5, fail :	1509.69	1643.81	308.5	515.188
Length 4096/ 16, alignment  1/11, found:	3307.5	9789.75	472.812	778.062
Length 4096/ 16, alignment 14/ 5, fail :	3169	9818.38	433.562	727.938
Length 4096/ 32, alignment  1/11, found:	4002.56	2269	477.125	691.125
Length 4096/ 32, alignment 14/ 5, fail :	3950.38	2177.81	442.688	646
Length 4096/ 64, alignment  1/11, found:	2790.62	1777.44	568.25	495.875
Length 4096/ 64, alignment 14/ 5, fail :	2794.62	1671.44	441	471.688
Length 4096/128, alignment  1/11, found:	2945.81	1666.19	451.562	414.25
Length 4096/128, alignment 14/ 5, fail :	2919.31	1454.69	386.5	390.875
Length 4096/256, alignment  1/11, found:	3059.19	2362.75	1011.88	716.188
Length 4096/256, alignment 14/ 5, fail :	3001.75	2127.12	774.875	687.938
Length 8192/ 16, alignment  1/11, found:	5774.12	20534	811.625	1137.25
Length 8192/ 16, alignment 14/ 5, fail :	5751.94	20580.4	801.188	1099.69
Length 8192/ 32, alignment  1/11, found:	5999.31	4033.75	690.625	922.125
Length 8192/ 32, alignment 14/ 5, fail :	5967.31	3911.5	710	881.562
Length 8192/ 64, alignment  1/11, found:	5881.69	2569.88	934.5	716.062
Length 8192/ 64, alignment 14/ 5, fail :	5936.88	2429.56	869.75	673.188
Length 8192/128, alignment  1/11, found:	7829.44	3103.75	969.438	831.5
Length 8192/128, alignment 14/ 5, fail :	7886.12	2924.88	894.938	797.25
Length 8192/256, alignment  1/11, found:	6529.38	3234.25	1751.12	1142.62
Length 8192/256, alignment 14/ 5, fail :	6615.94	2828.44	1474.44	1103.31
Length 16384/ 16, alignment  1/11, found:	15609.7	1448.19	1531.56	2387.38
Length 16384/ 16, alignment 14/ 5, fail :	15575.8	1404.81	1551.94	2403.06
Length 16384/ 32, alignment  1/11, found:	11697.2	7173.62	1289.69	1931.44
Length 16384/ 32, alignment 14/ 5, fail :	11785.6	6967.56	1272.31	1870.12
Length 16384/ 64, alignment  1/11, found:	12487	5170.44	1883.31	1952
Length 16384/ 64, alignment 14/ 5, fail :	12396.4	4960.69	1815.94	1879
Length 16384/128, alignment  1/11, found:	11357.3	4258.38	1797	1986.25
Length 16384/128, alignment 14/ 5, fail :	11318.8	4088	1718.06	1952.38
Length 16384/256, alignment  1/11, found:	11945.4	4657.88	2661.81	1993.62
Length 16384/256, alignment 14/ 5, fail :	11937.1	4202.56	2453.81	1922.06
Length 32768/ 16, alignment  1/11, found:	26546.7	81783.9	5199.25	5715.5
Length 32768/ 16, alignment 14/ 5, fail :	26461.7	81821.1	5181.62	5592.19
Length 32768/ 32, alignment  1/11, found:	23998.8	16900.4	3162.25	4747.31
Length 32768/ 32, alignment 14/ 5, fail :	24915.7	17377.9	3187.06	4663.69
Length 32768/ 64, alignment  1/11, found:	25395.9	13770.1	4505.5	3097.56
Length 32768/ 64, alignment 14/ 5, fail :	25313.2	13279.9	4493.62	2989.31
Length 32768/128, alignment  1/11, found:	26842.2	14665.8	3395.81	3960.12
Length 32768/128, alignment 14/ 5, fail :	27024.8	14200.1	3352.44	3894.44
Length 32768/256, alignment  1/11, found:	28226	10125.9	6254.81	3415.31
Length 32768/256, alignment 14/ 5, fail :	28234.7	9566.81	6206.31	3286.56
Length 65536/ 16, alignment  1/11, found:	53614.8	174506	5074.75	13293.6
Length 65536/ 16, alignment 14/ 5, fail :	55802.3	178820	5127.56	13039.7
Length 65536/ 32, alignment  1/11, found:	52740.2	33396.8	5839.44	6669
Length 65536/ 32, alignment 14/ 5, fail :	52791.4	27808.9	4676.81	5315.38
Length 65536/ 64, alignment  1/11, found:	42602.1	22494.4	7132.12	5318.38
Length 65536/ 64, alignment 14/ 5, fail :	42514.9	22520	7060.19	5253.69
Length 65536/128, alignment  1/11, found:	36913.9	11460.2	7172.62	5028.19
Length 65536/128, alignment 14/ 5, fail :	35931.8	10840.8	6842.69	4754
Length 65536/256, alignment  1/11, found:	53769	11408.5	11880.2	3833.75
Length 65536/256, alignment 14/ 5, fail :	58337.1	11067.8	11718.2	3743.81
Length 65536/ 64, complex needle 1:	980769	27933	500348	502710
Length 65536/ 64, complex needle 2:	1.40906e+06	170156	488179	438733
Length 65536/ 64, complex needle 3:	391626	820544	224968	9863.56
Length 65536/256, complex needle 1:	4.09723e+06	21933.7	466083	498201
Length 65536/256, complex needle 2:	5.98432e+06	157515	497731	484384
Length 65536/256, complex needle 3:	444784	738929	205918	2767.12
Length 65536/1024, complex needle 1:	1.70186e+07	11991.6	101332	9671.81
Length 65536/1024, complex needle 2:	1.93555e+07	148762	207983	172024
Length 65536/1024, complex needle 3:	478502	716015	179579	822623
